y,rr,longstring,person_total,eta
1,-1.807184,0.505868,-0.644625,-5.342842
1,0.662841,-0.168623,0.460653,2.018509
1,-0.772395,-1.011736,-0.415314,-4.129781
1,0.729324,3.372454,0.674491,6.903912
0,-0.434693,-1.011736,0.927287,-1.294088
0,0.729324,3.372454,0.674491,6.903912
0,-0.445820,0.000000,0.060459,-1.314229
1,0.218562,-0.843113,1.503339,1.492273
1,0.696030,-0.674491,-0.494616,0.104041
0,0.495426,-0.337245,-0.093549,0.563508
1,0.249588,-0.843113,0.880568,0.679054
1,-1.006466,0.674491,-0.887882,-3.340996
0,-0.069611,-0.843113,0.164444,-1.205569
0,0.412334,-0.674491,-0.618509,-0.833310
0,-1.786211,0.168623,-0.492576,-5.486940
0,-2.554869,0.843113,-1.306551,-7.876898
0,-3.197848,0.674491,-1.331256,-9.842319
1,-0.395148,-0.674491,-0.445073,-2.744217
1,0.422637,-0.674491,0.590529,0.934183
0,-1.547448,0.674491,-0.470617,-4.187962
0,-0.053588,-0.505868,-0.399764,-1.555621
0,-2.538039,0.000000,-1.296489,-8.864954
0,-0.906764,0.674491,-1.460355,-3.898081
0,-2.512117,0.843113,-1.673803,-8.291020
0,-2.015832,0.337245,-0.944117,-6.541611
0,-2.569049,-0.505868,-1.202362,-9.441008
0,-0.562750,-0.843113,-0.718803,-3.796093
0,-0.115148,-0.505868,0.165341,-0.907090
1,-0.362645,0.674491,-0.153435,-0.561448
1,-2.354498,-0.505868,-1.727843,-9.623174
0,0.123714,0.843113,0.643760,2.096612
0,-2.876751,-0.505868,-1.288693,-10.388535
1,0.219056,0.505868,0.882716,2.276564
0,-0.781121,-1.011736,-0.580319,-4.390587
0,-2.829329,0.505868,-1.580530,-9.424551
0,0.545578,0.337245,0.355682,2.182237
0,-1.397021,-0.337245,-0.935089,-5.710984
1,-0.292465,-0.843113,-0.551997,-2.832866
0,-0.277038,-0.843113,0.238018,-1.654681
0,-2.680080,-0.168623,-0.936826,-8.936924
0,-2.569934,0.843113,-1.330863,-7.952192
0,-1.487893,1.011736,-1.238314,-4.714383
0,-2.685816,-0.337245,-0.524770,-8.568792
1,0.339855,-0.843113,-0.816301,-1.521390
0,-2.439248,-0.505868,-0.504623,-8.089594
0,-1.895682,1.517604,-0.473057,-4.075639
0,-2.612325,0.843113,-1.473295,-8.270586
1,-2.906016,0.674491,-1.554695,-9.383043
0,-1.517855,-0.168623,-0.866621,-5.726242
0,0.003427,-0.168623,-0.813318,-1.579190
0,0.503325,-0.337245,-0.199643,0.431961
0,0.519180,0.000000,-0.176207,0.927137
0,0.103255,-0.674491,1.377246,1.211808
0,0.620953,-0.337245,0.331580,1.511172
0,-2.705343,0.000000,-1.643294,-9.811680
0,-0.122145,-0.674491,0.191950,-1.097031
1,-0.366577,-0.843113,0.313734,-1.785288
1,-0.213558,-0.337245,1.254676,0.606781
1,0.729324,3.372454,0.674491,6.903912
1,-0.332219,-0.505868,-0.590974,-2.576298
1,-1.438936,-1.011736,-0.565012,-6.128608
1,0.729324,3.372454,0.674491,6.903912
1,0.354247,0.337245,0.374192,1.696951
0,-1.981836,1.348982,-1.132337,-5.464437
1,0.317589,-0.843113,0.059821,-0.320139
0,-0.479576,1.180359,-0.779928,-1.147351
0,-2.680254,0.674491,-1.462211,-8.645902
1,-0.220788,-1.180359,0.707176,-1.248038
0,0.455908,1.180359,-0.849609,1.255350
1,-0.194874,-0.337245,0.129682,-0.962206
1,0.489511,0.168623,-0.099763,1.167280
0,-2.647770,-0.505868,-1.027957,-9.400647
0,-0.943597,0.843113,-0.960538,-3.067829
0,-2.702028,0.674491,-1.629257,-8.944555
0,-0.835693,-0.505868,-0.950626,-4.440968
1,-0.012342,-0.843113,-0.601784,-2.155019
0,0.239492,1.180359,-0.700950,0.890243
1,-1.624866,-0.337245,-1.222272,-6.733891
0,-2.678229,0.843113,-1.277795,-8.165576
0,0.211697,-1.011736,-0.165858,-1.137753
0,0.729324,3.372454,0.674491,6.903912
0,-2.704952,-0.674491,-0.606928,-9.157256
1,-0.021264,-0.674491,0.909849,0.206015
0,-2.690717,-0.168623,-1.465304,-9.725916
0,-2.525713,-0.505868,-1.543759,-9.816362
0,0.029967,-0.337245,-0.398462,-1.120675
0,-2.594155,0.843113,-1.554431,-8.338734
1,0.729324,3.372454,0.674491,6.903912
0,0.625701,-0.168623,-0.169992,1.011576
1,-2.554625,-0.505868,-1.062239,-9.200764
0,-0.934796,0.843113,-0.954088,-3.035001
0,-1.978704,0.000000,-0.969634,-6.898020
0,-1.064062,-1.011736,-0.420285,-4.917319
1,-2.443105,0.674491,-1.417666,-7.947279
0,-2.750979,0.674491,-1.520352,-8.918805
1,-0.018737,-0.505868,-0.479106,-1.576555
1,0.729324,3.372454,0.674491,6.903912
0,0.427147,0.674491,1.056284,3.292628
0,-0.670527,0.843113,-0.857499,-2.188921
0,-2.745849,0.843113,-1.742181,-9.014799
1,0.386419,-0.674491,0.568137,0.805052
0,0.455458,-0.843113,-0.321666,-0.500253
1,-2.051716,-0.337245,-1.423100,-8.164981
1,-0.718115,-0.337245,-0.876745,-3.810540
0,0.448094,-0.168623,-0.306023,0.340609
1,0.604205,-0.843113,-0.035980,0.308865
1,0.279828,-0.505868,-0.655793,-1.031985
0,0.729324,3.372454,0.674491,6.903912
0,-0.686566,-0.505868,-0.975535,-4.077810
0,-1.637955,-0.168623,-0.584693,-5.641859
0,0.677400,-0.505868,0.133593,1.167763
0,-2.779445,0.843113,-1.556563,-8.837563
0,-1.607959,0.337245,-0.677951,-5.067267
1,-2.631918,-0.674491,-1.153363,-9.748220
1,0.729324,3.372454,0.674491,6.903912
0,0.178581,0.168623,-0.559265,-0.325914
1,0.729324,3.372454,0.674491,6.903912
0,-1.941520,-0.168623,-1.338693,-7.539156
0,0.278004,-0.843113,-0.520305,-1.260912
0,-0.845397,0.674491,-0.919691,-2.955815
0,-2.710977,0.168623,-1.531000,-9.455638
0,-0.551056,0.843113,-1.015519,-2.096670
0,0.729324,3.372454,0.674491,6.903912
1,0.411820,-1.011736,0.416255,0.235415
0,-0.364187,-1.011736,0.173305,-2.190498
0,0.318834,-1.011736,0.610512,0.266179
0,-0.016428,-0.674491,0.064217,-0.997994
0,-0.072528,-1.180359,0.858697,-0.633301
