name,n,J,rate,gate
warning300,812,301,0.261,1.0000
smarvus,4000,141,0.100,1.0000
opsy_16pf,4000,163,0.008,1.0000
douglas,2071,50,0.801,1.0000
duckworth,3874,50,0.260,1.0000
krause,1783,49,0.448,1.0000
alvarez19,1887,6,0.087,0.8994
ivanov21,869,41,0.203,1.0000
mastroianni22,1004,100,0.029,1.0000
moss23,2107,8,0.101,1.0000
ogrady19,358,30,0.059,1.0000
pennycook20,853,30,0.272,1.0000
