y,rr,longstring,person_total,eta
1,1.204002,4.046945,0.973557,9.442401
1,-0.872670,-0.674491,-0.487200,-4.082501
1,0.637809,-1.348982,-0.422293,-0.785709
1,-1.210794,2.023472,0.110065,-0.775441
1,0.238578,3.372454,-0.537554,3.846618
0,-0.747942,1.348982,-0.849618,-1.756171
0,-1.661269,-0.674491,0.671121,-4.525534
1,-0.257958,3.372454,0.821559,4.473986
0,0.032887,0.000000,-0.344068,-0.615556
0,-0.888017,1.348982,-0.269622,-1.296281
0,-0.714889,0.000000,-0.439995,-2.754355
1,-1.530787,0.674491,1.814774,-0.854478
0,0.100367,0.000000,-0.494631,-0.651682
1,-0.526862,0.674491,-0.556842,-1.581367
0,-0.322746,-0.674491,1.199348,-0.184012
0,-0.104665,-0.674491,-0.968441,-2.720182
0,-0.216157,1.348982,-0.882166,-0.380165
1,-0.149304,0.000000,-0.925716,-1.940075
1,-0.081286,2.697963,0.383639,3.478427
1,-0.576142,0.000000,-0.759371,-2.842736
0,-0.690231,0.000000,-0.691133,-3.049792
1,1.888300,0.674491,-0.153558,5.461006
1,0.818329,1.348982,-0.255214,3.289952
0,-0.342406,0.000000,-0.646713,-2.055226
0,0.025552,0.674491,-0.484667,0.000538
1,-1.989385,2.023472,0.644095,-2.090118
0,-2.596713,0.000000,0.506201,-6.427693
1,2.060745,-1.348982,1.552463,5.863369
0,-0.488684,-0.674491,0.928644,-1.017567
1,1.257246,-0.674491,0.798661,3.466787
1,-0.398354,0.000000,-1.041945,-2.773698
1,1.492814,12.140834,1.278022,20.709959
0,-0.292580,-1.348982,-0.098198,-2.808655
1,1.601320,4.721435,0.487309,10.643762
1,-0.378880,0.000000,-0.543108,-2.003717
1,-0.557600,-0.674491,-0.572639,-3.362454
0,0.496292,0.000000,-0.460050,0.457420
1,1.552271,0.000000,0.111971,4.105993
0,1.212647,1.348982,-0.498277,3.995196
1,-1.143152,2.023472,-0.586382,-1.596715
1,-0.356848,0.000000,-0.296073,-1.589261
1,1.420997,0.000000,1.659558,5.981890
0,0.390876,0.000000,-0.765530,-0.264246
1,0.461706,4.721435,2.596722,10.630267
0,-1.826241,0.000000,-0.006982,-5.104738
1,-1.922361,0.000000,0.251249,-4.990295
0,-0.422485,0.000000,-1.029110,-2.819791
1,0.763195,0.674491,1.026893,4.149460
1,-0.127509,2.023472,1.200105,3.691672
1,-0.389588,0.674491,-0.797397,-1.560260
1,1.013825,0.000000,-0.603035,1.636363
1,-0.826279,0.674491,1.665277,0.815364
0,-2.090951,0.674491,1.257144,-3.155736
1,-0.052532,0.674491,-0.890013,-0.791717
1,0.368436,-1.348982,1.256629,0.909694
1,-0.231293,0.000000,-1.063577,-2.357840
0,-0.226988,0.000000,-0.844112,-2.030490
1,-0.380665,0.000000,-0.909021,-2.535080
1,1.049877,2.023472,0.217995,5.428533
1,-0.756701,0.000000,-0.909766,-3.542275
0,-0.871610,0.000000,-0.516475,-3.283738
1,1.931077,1.348982,1.731963,9.126967
1,0.569328,1.348982,-0.627955,2.087313
0,-0.297207,0.000000,-0.958561,-2.383072
1,-1.976011,1.348982,0.807840,-2.656743
0,-0.457187,-0.674491,-0.490580,-2.975697
0,0.027173,-0.674491,1.912409,1.778396
1,-1.167921,-0.674491,-0.297908,-4.600064
1,-0.910295,0.000000,-0.992186,-4.071840
0,-0.385216,0.000000,-0.428287,-1.855431
1,-0.623167,0.000000,-0.489079,-2.579580
0,-1.946937,0.674491,0.057952,-4.496172
1,-0.589472,0.000000,-0.602895,-2.653218
1,-0.978868,0.000000,-0.446080,-3.469411
0,-0.517382,-1.348982,-0.932298,-4.610486
1,0.413116,0.674491,-0.094967,1.598323
0,-0.368901,0.000000,0.629676,-0.289263
0,0.810420,0.674491,-0.587516,1.952520
1,-0.097227,0.000000,-0.421754,-1.075487
1,1.240236,0.000000,-0.673565,2.140649
1,-0.137562,0.000000,-1.003726,-2.020923
1,-0.171268,0.000000,-0.315373,-1.120498
0,-0.279488,0.000000,-0.680356,-1.935297
1,-0.239329,0.000000,-0.464345,-1.516988
1,-1.222179,0.000000,0.182738,-3.215484
1,-2.150349,0.674491,0.903981,-3.822898
1,-0.991660,0.000000,0.081046,-2.745054
0,-1.036284,-0.674491,-0.137659,-4.017240
1,0.073995,0.000000,-0.176909,-0.265010
1,0.356103,0.000000,-0.985321,-0.673585
1,0.729760,0.000000,0.051189,1.817813
1,-0.545103,0.674491,-0.622281,-1.724346
