name,n,J,rate
warning300,812,301,0.261
smarvus,4000,141,0.100
opsy_16pf,4000,163,0.008
douglas,2071,50,0.801
duckworth,3874,50,0.260
krause,1783,49,0.448
alvarez19,1887,6,0.087
ivanov21,869,41,0.203
mastroianni22,1004,100,0.029
moss23,2107,8,0.101
ogrady19,358,30,0.059
pennycook20,853,30,0.272
