"param","shipped","boot_lo","boot_md","boot_hi"
"b0",-0.1057,-1.4525970455101,-0.0379500264960625,1.18085519894714
"rr",2.7645,3.19919764171109,5.08834026458736,12.650047714874
"longstring",1.2689,1.43226877385812,2.23992010711553,5.33889128563659
"person_total",1.4452,0.995328136617654,2.28188738653057,7.44360207717759
