y,rr,eta,pt
0,0.832194,1.530036,-0.460050
1,1.507506,4.223620,0.111971
0,1.532741,5.123174,-0.498277
1,-1.146365,-1.554682,-0.586382
1,-0.441826,-1.755012,-0.296073
1,1.306309,5.903986,1.659558
0,0.285794,-0.421967,-0.765530
1,0.401153,10.747101,2.596722
0,-1.874885,-5.298909,-0.006982
1,-1.945623,-5.121269,0.251249
0,-0.440667,-2.811193,-1.029110
1,0.659727,4.058043,1.026893
1,-0.158527,3.758027,1.200105
1,-0.370504,-1.426496,-0.797397
1,0.983677,1.742169,-0.603035
1,-0.589054,1.528379,1.665277
0,-2.017300,-3.009840,1.257144
1,-0.167097,-0.998026,-0.890013
1,0.598309,1.652683,1.256629
1,-0.255369,-2.348751,-1.063577
0,-0.220306,-1.934646,-0.844112
1,-0.446776,-2.654529,-0.909021
1,0.775234,4.920065,0.217995
1,-0.765242,-3.536005,-0.909766
0,-0.861057,-3.232502,-0.516475
1,1.933629,9.454573,1.731963
1,0.492224,2.059256,-0.627955
0,-0.304669,-2.333270,-0.958561
1,-2.097150,-3.024059,0.807840
0,-0.414343,-2.816000,-0.490580
0,0.056473,1.958373,1.912409
1,-1.376272,-5.196802,-0.297908
1,-0.884673,-3.985286,-0.992186
0,-0.451204,-1.972013,-0.428287
1,-0.616931,-2.518022,-0.489079
0,-2.168480,-5.160849,0.057952
1,-0.582505,-2.587337,-0.602895
1,-1.008162,-3.537439,-0.446080
0,-0.563758,-4.723288,-0.932298
1,0.277397,1.379780,-0.094967
0,-0.468123,-0.489817,0.629676
0,0.691636,1.813111,-0.587516
1,-0.091345,-0.967742,-0.421754
1,1.181834,2.188043,-0.673565
1,-0.180501,-2.055279,-1.003726
1,-0.216994,-1.161358,-0.315373
0,-0.145993,-1.492548,-0.680356
1,-0.275413,-1.538150,-0.464345
1,-1.163182,-3.057224,0.182738
1,-2.033855,-3.565996,0.903981
1,-1.062642,-2.926247,0.081046
0,-1.077851,-4.140226,-0.137659
1,0.087465,-0.119573,-0.176909
1,0.256596,-0.820325,-0.985321
1,0.616544,1.672715,0.051189
1,-0.674491,-2.013788,-0.622281
1,-0.577054,-2.606761,-0.626762
1,0.998454,1.238859,0.204854
0,0.545714,0.156792,-0.862256
1,0.090526,1.698042,-0.701703
1,0.064419,-1.118432,-0.823982
1,-0.275017,-2.293989,-0.395892
1,-2.137313,-6.166627,-0.105400
1,0.443662,6.589798,2.007619
1,0.806475,3.164499,0.720107
1,0.928833,1.684283,0.646240
0,0.702686,1.645498,-0.724633
1,-0.574755,-3.057646,-0.350937
1,0.195072,2.454706,0.806303
0,-2.356421,-6.938606,-0.220439
1,0.294655,-0.935785,-0.545805
1,-0.306800,-1.617338,-0.459098
1,-1.599278,-4.919666,-0.271770
0,-0.588312,-0.583633,-0.981959
1,-0.096585,-0.465486,-0.064196
1,1.751237,4.995515,1.364269
1,0.302249,-0.345256,-0.151717
1,-1.755965,-2.949059,0.799298
1,1.486635,5.846297,1.866907
1,-0.398958,-3.478756,-0.386392
0,-0.176437,-1.847866,-0.867981
1,-0.086063,-0.931238,0.185610
1,1.193782,7.020127,2.647119
1,0.133160,-2.294266,-0.584670
1,-0.819430,-3.259897,-0.615059
0,0.974029,5.181740,2.387627
1,-1.030665,-2.157776,-0.040593
1,-0.234308,-1.708302,-0.660709
1,1.370501,4.198407,0.948808
1,0.595441,0.682876,-0.001148
1,1.520999,6.199103,2.045296
1,1.997890,10.969922,2.065370
1,0.193999,-1.628748,-0.832754
1,0.945723,6.208112,3.151966
0,-1.989323,-2.906612,1.275054
1,1.607439,12.425967,2.635341
0,-0.342778,-0.791273,-1.003103
1,1.475468,4.857604,1.796356
1,-0.654614,2.735496,2.033735
1,1.426479,3.239345,-0.414099
1,1.890909,3.924680,-0.236076
1,-0.500355,-3.117041,-1.126563
0,-0.201277,-2.074252,-0.977112
1,-0.025936,1.974447,0.304542
1,-0.495305,-1.010934,-0.863331
1,0.947987,1.406276,-0.767183
0,-0.883621,-2.658702,-0.076275
0,-0.379742,-2.439793,-0.888664
1,-0.428006,-0.561775,-0.681273
1,-0.646257,-3.679373,-0.644365
1,-2.278164,-6.098412,0.211232
0,-2.125709,-6.022518,-0.027882
1,0.387261,1.509781,-0.215169
1,-2.405649,-5.476663,0.293103
1,0.597671,0.503166,-0.721972
0,0.678301,1.365039,-0.279839
1,1.973971,6.588090,0.855762
1,-0.659575,-2.529102,0.177038
1,-1.178062,-4.241274,0.576321
1,-0.593772,-2.395186,-1.040593
1,0.929641,2.698116,0.754003
1,3.195943,50.019519,1.921032
0,-0.553398,-2.074991,-0.304057
1,0.097020,-0.658020,-0.567764
1,0.417465,1.991585,-0.531774
0,0.145903,-1.381125,-0.569410
1,-0.122942,-1.644930,-0.829891
1,-0.072672,-0.111522,-0.457224
1,-0.413522,-2.381702,-0.783851
0,-1.501773,-5.165459,-0.036152
1,-0.510492,-1.866477,-0.834060
1,1.935280,11.932012,1.666429
1,0.323671,0.545775,-0.760570
1,0.098959,1.242425,0.743531
1,-0.024134,-1.114388,-0.651792
1,-1.023524,-2.677326,0.178456
0,0.478996,1.062909,-0.699860
1,0.475505,-1.366816,-0.005581
1,-0.265007,-0.441552,-0.909883
1,-0.977460,-2.217289,0.408663
1,-2.582830,-6.824540,0.291582
1,0.799286,1.718437,0.325472
1,-0.665824,-0.729256,0.249967
1,-0.031818,-1.192665,-0.691257
1,-0.530525,-3.066589,-1.033942
0,0.698814,3.916109,1.446124
1,-1.127664,-4.082704,-0.002572
1,-2.502082,-2.746691,1.182141
1,0.188088,0.520003,0.073161
1,-1.000180,-3.615359,-0.515265
1,-0.553497,-2.991682,-0.938167
1,-1.122291,-1.936265,0.287952
1,-0.503317,-2.736173,-0.857357
1,0.098648,0.237627,-0.543349
1,-1.555058,-3.672049,0.506925
0,-1.127992,-3.139870,0.058237
1,0.253903,2.527919,0.152215
1,-0.076892,-1.532109,-0.247702
0,-0.179367,1.548807,-0.288692
0,-0.090554,2.361602,-0.488381
1,-1.355824,-2.554182,0.899316
1,-0.597144,-2.518583,-0.527318
1,-0.816736,-3.636265,-0.880639
0,-0.554583,-2.340539,-0.485535
1,0.012360,1.025627,0.166964
1,1.913580,6.992877,1.251374
1,-0.042977,-1.595004,-0.948307
1,-0.142723,-1.729994,-0.850910
0,-0.761277,-3.500455,-0.300542
1,1.327579,7.537118,2.748911
1,-2.279298,-3.940386,1.706638
1,-1.529511,-3.741887,0.409733
1,-0.300860,-1.578362,-0.443493
1,-0.104011,-1.130915,-0.510432
0,0.289288,-0.954971,0.043395
1,-0.776041,-0.878963,0.357211
1,-0.452453,-3.313474,-0.761906
1,1.378649,3.311353,0.319429
1,-0.680540,-2.873566,-0.613420
1,-0.997442,5.796262,3.030780
1,-0.622493,-2.139562,-0.216565
1,-1.185562,0.462800,1.476795
0,-2.112199,-1.221672,1.491570
1,-0.421127,-2.821471,-0.481390
1,-0.283126,-3.671479,-0.741319
1,-1.137639,-1.873486,0.360750
1,-0.240148,-0.999142,-0.158839
1,0.950651,3.234084,-0.691955
1,-0.446052,-2.274677,-0.647569
1,-0.250300,-2.255717,-1.008900
1,-0.297167,-1.185029,-0.178391
1,0.662712,-0.198941,-0.739999
1,-0.192061,-1.970088,-0.922665
