y,rr,eta,pt
0,-3.219166,-10.572950,-0.936826
0,-3.014286,-9.292230,-1.330863
0,-1.809312,-5.613362,-1.238314
0,-3.235348,-10.236148,-0.524770
1,0.338973,-1.418153,-0.816301
0,-2.712190,-8.974727,-0.504623
0,-2.499197,-5.772705,-0.473057
0,-2.943589,-9.302630,-1.473295
1,-3.197162,-10.335238,-1.554695
0,-1.699440,-6.270208,-0.866621
0,0.526258,-0.040233,-0.813318
0,0.684790,1.070948,-0.199643
0,0.675046,1.505809,-0.176207
0,0.063558,1.204541,1.377246
0,0.388578,1.019792,0.331580
0,-3.201808,-11.331987,-1.643294
0,-0.133143,-1.052229,0.191950
1,0.599790,0.936000,0.313734
1,-0.301708,0.445554,1.254676
1,0.891054,7.611700,0.674491
1,-0.360831,-2.599189,-0.590974
1,-1.390091,-6.048953,-0.565012
1,0.891054,7.611700,0.674491
1,0.537028,2.347627,0.374192
0,-2.141260,-5.949945,-1.132337
1,0.300160,-0.259280,0.059821
0,-0.132776,-0.102154,-0.779928
0,-3.112300,-9.966979,-1.462211
1,-0.305701,-1.426558,0.707176
0,0.766445,2.283040,-0.849609
1,-0.422144,-1.513230,0.129682
1,0.623395,1.687462,-0.099763
0,-3.029143,-10.607265,-1.027957
0,-1.246363,-3.869613,-0.960538
0,-3.028979,-9.978054,-1.629257
0,-0.387048,-3.191434,-0.950626
1,0.320572,-1.159003,-0.601784
0,0.317867,1.257786,-0.700950
1,-1.640925,-6.836397,-1.222272
0,-3.210891,-9.759050,-1.277795
0,0.638165,0.135017,-0.165858
0,0.891054,7.611700,0.674491
0,-3.091805,-10.385989,-0.606928
1,0.049187,0.489331,0.909849
0,-2.965285,-10.634853,-1.465304
0,-2.810388,-10.747953,-1.543759
0,-0.147570,-1.517445,-0.398462
0,-3.194654,-10.113958,-1.554431
1,0.891054,7.611700,0.674491
0,0.295937,0.252779,-0.169992
1,-2.906570,-10.317957,-1.062239
0,-1.119537,-3.509683,-0.954088
0,-2.306336,-7.882881,-0.969634
0,-0.886722,-4.448232,-0.420285
1,-2.805854,-9.055433,-1.417666
0,-3.259295,-10.457373,-1.520352
1,0.074461,-1.234153,-0.479106
1,0.891054,7.611700,0.674491
0,-0.022391,2.214804,1.056284
0,0.617248,1.431251,-0.857499
0,-2.802543,-9.301303,-1.742181
1,0.430153,1.048668,0.568137
0,0.445964,-0.407531,-0.321666
1,-2.279064,-8.890767,-1.423100
1,-0.742717,-3.853944,-0.876745
0,0.519826,0.675130,-0.306023
1,0.045831,-1.100825,-0.035980
1,0.205944,-1.126016,-0.655793
0,0.891054,7.611700,0.674491
0,-0.655788,-3.970365,-0.975535
0,-1.673872,-5.792082,-0.584693
0,-0.503952,-1.947701,0.133593
0,-3.489343,-10.931707,-1.556563
0,-1.890579,-5.884051,-0.677951
1,-3.139449,-11.307409,-1.153363
1,0.891054,7.611700,0.674491
0,0.551038,0.823360,-0.559265
