"DS","It","nF","N","efaD_auc","coup_auc","wt_auc","mah_auc","efaD_mcc15","coup_mcc15","wt_mcc15","mah_mcc","efaD_or","coup_or","wt_or"
"Schroeders",60,"~10",605,0.583272785068798,0.613255528813405,0.570864175105581,0.536794423504836,0.1263342251911,0.182041036326776,0.0576408079628327,0.0448804043432808,0.149975935589961,0.215065553276351,0.173743544427245
"Schneider",31,"~5",1649,0.459260693435005,0.728756106279042,0.313478493983081,0.724314905278208,-0.0193835790146059,0.113784767675594,-0.0976303472364321,0.207998098183229,-0.00949201818139158,0.27916751637245,-0.0534292251926848
"Niessen",100,"~5",180,0.586888888888889,0.637333333333333,0.582,0.436444444444444,0.0371070925389655,0.072606139034503,-0.0341992784028385,0,0.151345270085406,0.174607573942395,0.12
"Goldammer_S1",60,"~8",291,0.604538500764916,0.716828148903621,0.586741458439572,0.786588475267721,0.166652550371861,0.313785585267529,0.130135115081984,0.256630010736637,0.197187468528393,0.364179285814528,0.225155537080035
"Goldammer_S2",60,"~6",265,0.599104074619539,0.656296023564065,0.584253804614629,0.795103092783505,0.095611634783267,0.286113631120747,0.14917324392234,0.266363200007055,0.186566943053195,0.354209433546365,0.179866550711099
"Goldammer_S3",60,"~7",523,0.532436003303055,0.456465730800991,0.529843104872007,0.549826589595376,0.0957236947993219,-0.0322667920332553,0.0998989061902074,0.0111460262931958,0.117664221137636,0.00687212842277224,0.102407986307154
