experiment,size,rate,scenario,fold,calib_mode,mcc,f1,auc,sens,spec,thr,n_tr,n_te,rate_te
v3_calibration,30,0.1,B,0,oracle_clean,0.4559083884449214,0.48837209302325585,0.8324561510131151,0.5753424657534246,0.9494232475598935,0.16312321428571436,4800,1200,0.060833333333333336
v3_calibration,30,0.1,B,0,blind95,0.5334892164620934,0.5563909774436091,0.8324561510131151,0.5068493150684932,0.9795918367346939,0.24582559523809497,4800,1200,0.060833333333333336
v3_calibration,30,0.1,B,0,rate_aware,0.49355410573302444,0.5241379310344828,0.8324561510131151,0.5205479452054794,0.9698314108251996,0.2121959523809521,4800,1200,0.060833333333333336
v3_calibration,30,0.1,B,0,fixed05,0.5114944944510897,0.49056603773584906,0.8324561510131151,0.3561643835616438,0.9937888198757764,0.5,4800,1200,0.060833333333333336
v3_calibration,30,0.1,B,1,oracle_clean,0.3992127221814074,0.43636363636363634,0.8504912825059101,0.5,0.949468085106383,0.1461041666666666,4800,1200,0.06
v3_calibration,30,0.1,B,1,blind95,0.44114662395451837,0.4696969696969697,0.8504912825059101,0.4305555555555556,0.974290780141844,0.2300729166666665,4800,1200,0.06
v3_calibration,30,0.1,B,1,rate_aware,0.405471873894888,0.4413793103448276,0.8504912825059101,0.4444444444444444,0.9636524822695035,0.18333290426587293,4800,1200,0.06
v3_calibration,30,0.1,B,1,fixed05,0.5021197473401562,0.4421052631578948,0.8504912825059101,0.2916666666666667,0.99822695035461,0.5,4800,1200,0.06
v3_calibration,30,0.1,B,2,oracle_clean,0.35700028292483893,0.39751552795031053,0.7763679570527975,0.4444444444444444,0.949468085106383,0.18279374999999992,4800,1200,0.06
v3_calibration,30,0.1,B,2,blind95,0.40894614045418853,0.43939393939393945,0.7763679570527975,0.4027777777777778,0.9725177304964538,0.24404464285714275,4800,1200,0.06
v3_calibration,30,0.1,B,2,rate_aware,0.3761111299488425,0.41379310344827586,0.7763679570527975,0.4166666666666667,0.9618794326241135,0.20702419022817461,4800,1200,0.06
v3_calibration,30,0.1,B,2,fixed05,0.5153167707478461,0.4583333333333333,0.7763679570527975,0.3055555555555556,0.99822695035461,0.5,4800,1200,0.06
v3_calibration,30,0.1,B,3,oracle_clean,0.48919887353197594,0.5172413793103449,0.8496971040189125,0.625,0.949468085106383,0.1453192460317458,4800,1200,0.06
v3_calibration,30,0.1,B,3,blind95,0.5216478327053429,0.5454545454545454,0.8496971040189125,0.5,0.9787234042553191,0.236789880952381,4800,1200,0.06
v3_calibration,30,0.1,B,3,rate_aware,0.49355410573302444,0.5241379310344828,0.8496971040189125,0.5277777777777778,0.9689716312056738,0.19015546626984126,4800,1200,0.06
v3_calibration,30,0.1,B,3,fixed05,0.5653028787873138,0.52,0.8496971040189125,0.3611111111111111,0.99822695035461,0.5,4800,1200,0.06
v3_calibration,30,0.1,B,4,oracle_clean,0.3992127221814074,0.43636363636363634,0.8380368400315208,0.5,0.949468085106383,0.16999374999999992,4800,1200,0.06
v3_calibration,30,0.1,B,4,blind95,0.45724686570468326,0.4848484848484848,0.8380368400315208,0.4444444444444444,0.975177304964539,0.2370660714285714,4800,1200,0.06
v3_calibration,30,0.1,B,4,rate_aware,0.4201522458679107,0.4551724137931034,0.8380368400315208,0.4583333333333333,0.9645390070921985,0.20840028149801593,4800,1200,0.06
v3_calibration,30,0.1,B,4,fixed05,0.5278570122822659,0.509433962264151,0.8380368400315208,0.375,0.9937943262411347,0.5,4800,1200,0.06
v3_calibration,30,0.2,B,0,oracle_clean,0.479564526651089,0.5367647058823529,0.8211412492526838,0.5,0.9497153700189753,0.3003380952380952,4800,1200,0.12166666666666667
v3_calibration,30,0.2,B,0,blind95,0.47604813829821246,0.4660194174757281,0.8211412492526838,0.3287671232876712,0.9886148007590133,0.5010398809523801,4800,1200,0.12166666666666667
v3_calibration,30,0.2,B,0,rate_aware,0.44633620129448154,0.5136986301369864,0.8211412492526838,0.5136986301369864,0.9326375711574952,0.2695051587301587,4800,1200,0.12166666666666667
v3_calibration,30,0.2,B,0,fixed05,0.48253054467257844,0.4734299516908213,0.8211412492526838,0.3356164383561644,0.9886148007590133,0.5,4800,1200,0.12166666666666667
v3_calibration,30,0.2,B,1,oracle_clean,0.4217268994332648,0.48091603053435117,0.8051649294273608,0.4315068493150685,0.9497153700189753,0.28952023809523775,4800,1200,0.12166666666666667
v3_calibration,30,0.2,B,1,blind95,0.4292620804802063,0.42718446601941745,0.8051649294273608,0.3013698630136986,0.9848197343453511,0.4913779761904756,4800,1200,0.12166666666666667
v3_calibration,30,0.2,B,1,rate_aware,0.44633620129448154,0.5136986301369864,0.8051649294273608,0.5136986301369864,0.9326375711574952,0.2487331944444445,4800,1200,0.12166666666666667
v3_calibration,30,0.2,B,1,fixed05,0.4292620804802063,0.42718446601941745,0.8051649294273608,0.3013698630136986,0.9848197343453511,0.5,4800,1200,0.12166666666666667
v3_calibration,30,0.2,B,2,oracle_clean,0.41575487721755144,0.47509578544061304,0.8205109043175378,0.4246575342465753,0.9497153700189753,0.3254378968253967,4800,1200,0.12166666666666667
v3_calibration,30,0.2,B,2,blind95,0.4643516238437109,0.4563106796116505,0.8205109043175378,0.3219178082191781,0.9876660341555977,0.5612967261904761,4800,1200,0.12166666666666667
v3_calibration,30,0.2,B,2,rate_aware,0.4151438746068467,0.4863013698630137,0.8205109043175378,0.4863013698630137,0.928842504743833,0.2830161904761905,4800,1200,0.12166666666666667
v3_calibration,30,0.2,B,2,fixed05,0.4555900086995395,0.46511627906976744,0.8205109043175378,0.3424657534246575,0.9819734345351043,0.5,4800,1200,0.12166666666666667
v3_calibration,30,0.2,B,3,oracle_clean,0.5018270666879092,0.5579710144927537,0.8541043903199812,0.5273972602739726,0.9497153700189753,0.3342089285714285,4800,1200,0.12166666666666667
v3_calibration,30,0.2,B,3,blind95,0.5579237394797232,0.5339805825242718,0.8541043903199812,0.3767123287671233,0.9952561669829222,0.6463434523809514,4800,1200,0.12166666666666667
v3_calibration,30,0.2,B,3,rate_aware,0.49312469132593384,0.5547945205479452,0.8541043903199812,0.5547945205479452,0.9383301707779886,0.30974410714285716,4800,1200,0.12166666666666667
v3_calibration,30,0.2,B,3,fixed05,0.5607469020802671,0.5596330275229358,0.8541043903199812,0.4178082191780822,0.9895635673624289,0.5,4800,1200,0.12166666666666667
v3_calibration,30,0.2,B,4,oracle_clean,0.4625546765646601,0.5204460966542751,0.823685373398144,0.4794520547945205,0.9497153700189753,0.2857041666666666,4800,1200,0.12166666666666667
v3_calibration,30,0.2,B,4,blind95,0.47604813829821246,0.4660194174757281,0.823685373398144,0.3287671232876712,0.9886148007590133,0.4814650793650794,4800,1200,0.12166666666666667
v3_calibration,30,0.2,B,4,rate_aware,0.45413428296639025,0.5205479452054794,0.823685373398144,0.5205479452054794,0.9335863377609108,0.24324587962962957,4800,1200,0.12166666666666667
v3_calibration,30,0.2,B,4,fixed05,0.44943277250165553,0.43564356435643564,0.823685373398144,0.3013698630136986,0.9886148007590133,0.5,4800,1200,0.12166666666666667
v3_calibration,30,0.4,B,0,oracle_clean,0.5050518368724938,0.5811965811965812,0.796892932013282,0.4755244755244755,0.949671772428884,0.44390158730158724,4800,1200,0.23833333333333334
v3_calibration,30,0.4,B,0,blind95,0.3831995194497898,0.3294797687861271,0.796892932013282,0.1993006993006993,0.9967177242888403,0.8791125,4800,1200,0.23833333333333334
v3_calibration,30,0.4,B,0,rate_aware,0.438327900511926,0.5724258289703316,0.796892932013282,0.5734265734265734,0.8654266958424508,0.3160197172619047,4800,1200,0.23833333333333334
v3_calibration,30,0.4,B,0,fixed05,0.49543708804699926,0.5491990846681921,0.796892932013282,0.4195804195804196,0.9660831509846827,0.5,4800,1200,0.23833333333333334
v3_calibration,30,0.4,B,1,oracle_clean,0.49597275354732634,0.5720430107526882,0.7980616210922558,0.46503496503496505,0.949671772428884,0.5197037698412694,4800,1200,0.23833333333333334
v3_calibration,30,0.4,B,1,blind95,0.4101222023151146,0.3468208092485549,0.7980616210922558,0.2097902097902098,1.0,0.9188642857142857,4800,1200,0.23833333333333334
v3_calibration,30,0.4,B,1,rate_aware,0.4795937988498398,0.6038394415357766,0.7980616210922558,0.6048951048951049,0.87527352297593,0.3654076636904763,4800,1200,0.23833333333333334
v3_calibration,30,0.4,B,1,fixed05,0.4837349393739671,0.570230607966457,0.7980616210922558,0.4755244755244755,0.9398249452954048,0.5,4800,1200,0.23833333333333334
v3_calibration,30,0.4,B,2,oracle_clean,0.47757746847603283,0.5533769063180829,0.8007299046686356,0.44405594405594406,0.949671772428884,0.4641190476190468,4800,1200,0.23833333333333334
v3_calibration,30,0.4,B,2,blind95,0.3921737470715647,0.3352601156069364,0.8007299046686356,0.20279720279720279,0.9978118161925602,0.8965476190476183,4800,1200,0.23833333333333334
v3_calibration,30,0.4,B,2,rate_aware,0.46125339958854483,0.5898778359511343,0.8007299046686356,0.5909090909090909,0.8708971553610503,0.3376284970238096,4800,1200,0.23833333333333334
v3_calibration,30,0.4,B,2,fixed05,0.4668825927110895,0.5306122448979592,0.8007299046686356,0.4090909090909091,0.9584245076586433,0.5,4800,1200,0.23833333333333334
v3_calibration,30,0.4,B,3,oracle_clean,0.4556851576056891,0.5309734513274336,0.7927441814203302,0.4195804195804196,0.949671772428884,0.4579157738095235,4800,1200,0.23833333333333334
v3_calibration,30,0.4,B,3,blind95,0.3921737470715647,0.3352601156069364,0.7927441814203302,0.20279720279720279,0.9978118161925602,0.9039833333333332,4800,1200,0.23833333333333334
v3_calibration,30,0.4,B,3,rate_aware,0.4429130003272498,0.5759162303664921,0.7927441814203302,0.5769230769230769,0.8665207877461707,0.30591257440476194,4800,1200,0.23833333333333334
v3_calibration,30,0.4,B,3,fixed05,0.46471810420040977,0.5197215777262181,0.7927441814203302,0.3916083916083916,0.9638949671772429,0.5,4800,1200,0.23833333333333334
v3_calibration,30,0.4,B,4,oracle_clean,0.4762039498524882,0.5521739130434783,0.7937457781712851,0.4425087108013937,0.9496166484118291,0.4538523809523808,4800,1200,0.23916666666666667
v3_calibration,30,0.4,B,4,blind95,0.391256086022019,0.33429394812680113,0.7937457781712851,0.20209059233449478,0.9978094194961665,0.9061392857142855,4800,1200,0.23916666666666667
v3_calibration,30,0.4,B,4,rate_aware,0.438327900511926,0.5724258289703316,0.7937457781712851,0.5714285714285714,0.8663745892661555,0.30140479166666667,4800,1200,0.23916666666666667
