"gt_threshold","n_positive","n_negative","mcc_zrr","mcc_triad","mcc_ensemble"
0,4800,7200,0.37994677020831,0.480359131248308,0.493644978023601
0.1,4312,7688,0.419733807913065,0.506997025384245,0.527133047530951
0.2,3913,8087,0.43835248707027,0.524843603698599,0.545472961048259
0.3,3358,8642,0.420134430401255,0.544439273565363,0.572177279499885
0.4,2894,9106,0.393180347894538,0.55654367713721,0.580819906221581
0.5,2414,9586,0.36653587199194,0.550942205278996,0.571089887945306
0.6,1932,10068,0.307114699540952,0.546917374840151,0.544563633363683
0.7,1533,10467,0.295293308676095,0.514226764916747,0.516922440134043
0.8,968,11032,0.293223351050989,0.491685867078925,0.50429125251649
0.9,486,11514,0.391153813356544,0.470771899310099,0.462241736014227
