"Dataset","Items","N","std_AUC","std_MCC15","std_oracle","pf_mean_AUC","pf_mean_oracle","pf_min_AUC","pf_min_oracle","pf_comb_AUC","pf_comb_oracle","pf_prop_oracle"
"Schroeders",60,605,0.604264111529903,0.178030205946583,0.219328511819142,0.58840425048817,0.155540305685578,0.545184142409518,0.0914765662353391,0.58659915535171,0.161934656599942,0.161841658616596
"Schneider",31,1649,0.728178243774574,0.116501420533248,0.297754745828512,0.469376265935899,0.0222872828490291,0.523165137614679,0.0999922504737824,0.475011914690814,0.0655316334988032,0.000218264332027114
"Niessen",100,180,0.615333333333333,0.119522860933439,0.204089008964311,0.612444444444444,0.182574185835055,0.491333333333333,0.0993807989999907,0.611333333333333,0.237022731569989,0.167131567616219
"Goldammer_S1",60,291,0.709382967873534,0.330381016074457,0.349005878773603,0.547628760836308,0.141431793833018,0.445436002039776,0.0251787935062361,0.494798572157063,0.131614157154337,0.161073939466333
"Goldammer_S2",60,265,0.664027982326951,0.31375606606391,0.338681813875282,0.604995090819833,0.193601333234344,0.471281296023564,0.0242507385042012,0.565721649484536,0.160261698945373,0.236654946573112
"Goldammer_S3",60,523,0.455012386457473,-0.0466361396089423,0.0188133976084869,0.481932287365813,0.0486202252217119,0.529083402146986,0.0798889840959115,0.499355904211396,0.0595723817466794,0.0827331130161165
