"nF","ipf","total_items","rep","alpha","beta","mcc_z15","mcc_oracle"
8,10,80,2,0.5,0.3,0.2663,0.3631
8,10,80,2,0.5,0.5,0.2663,0.36
8,10,80,2,0.5,0.8,0.2639,0.3583
8,10,80,2,0.5,1,0.2616,0.3572
8,10,80,2,0.5,1.5,0.252,0.3569
8,10,80,2,1,0.3,0.2663,0.36
8,10,80,2,1,0.5,0.2663,0.36
8,10,80,2,1,0.8,0.2544,0.3506
8,10,80,2,1,1,0.2497,0.3477
8,10,80,2,1,1.5,0.245,0.3417
8,10,80,2,1.5,0.3,0.2663,0.36
8,10,80,2,1.5,0.5,0.2639,0.36
8,10,80,2,1.5,0.8,0.2497,0.3538
8,10,80,2,1.5,1,0.2473,0.36
8,10,80,2,1.5,1.5,0.2355,0.3504
8,10,80,2,2,0.3,0.2663,0.36
8,10,80,2,2,0.5,0.2639,0.3508
8,10,80,2,2,0.8,0.2473,0.3561
8,10,80,2,2,1,0.245,0.3576
8,10,80,2,2,1.5,0.2394,0.342
8,10,80,2,2.5,0.3,0.2663,0.36
8,10,80,2,2.5,0.5,0.2639,0.3606
8,10,80,2,2.5,0.8,0.2473,0.3697
8,10,80,2,2.5,1,0.2402,0.3561
8,10,80,2,2.5,1.5,0.2553,0.3229
8,10,80,2,3,0.3,0.2663,0.36
8,10,80,2,3,0.5,0.2639,0.3606
8,10,80,2,3,0.8,0.245,0.3631
8,10,80,2,3,1,0.262,0.3647
8,10,80,2,3,1.5,0.2486,0.3156
8,10,80,3,0,0.3,0.452,0.4782
8,10,80,3,0,0.5,0.452,0.4782
8,10,80,3,0,0.8,0.452,0.4782
8,10,80,3,0,1,0.452,0.4782
8,10,80,3,0,1.5,0.452,0.4782
8,10,80,3,0.5,0.3,0.452,0.4782
8,10,80,3,0.5,0.5,0.452,0.4825
8,10,80,3,0.5,0.8,0.4454,0.4868
8,10,80,3,0.5,1,0.4389,0.4868
8,10,80,3,0.5,1.5,0.4325,0.4868
8,10,80,3,1,0.3,0.452,0.4782
8,10,80,3,1,0.5,0.4454,0.4868
8,10,80,3,1,0.8,0.4357,0.4868
8,10,80,3,1,1,0.4486,0.4913
8,10,80,3,1,1.5,0.4271,0.4957
8,10,80,3,1.5,0.3,0.452,0.4825
8,10,80,3,1.5,0.5,0.4454,0.4913
8,10,80,3,1.5,0.8,0.4486,0.4957
8,10,80,3,1.5,1,0.4392,0.4913
8,10,80,3,1.5,1.5,0.4182,0.4869
8,10,80,3,2,0.3,0.452,0.4825
8,10,80,3,2,0.5,0.4614,0.4957
8,10,80,3,2,0.8,0.4423,0.4957
8,10,80,3,2,1,0.4271,0.4957
8,10,80,3,2,1.5,0.4011,0.4937
8,10,80,3,2.5,0.3,0.452,0.4868
8,10,80,3,2.5,0.5,0.4614,0.4957
8,10,80,3,2.5,0.8,0.4392,0.4992
8,10,80,3,2.5,1,0.4241,0.4957
8,10,80,3,2.5,1.5,0.3792,0.4937
8,10,80,3,3,0.3,0.452,0.4868
8,10,80,3,3,0.5,0.4582,0.4957
8,10,80,3,3,0.8,0.4271,0.5096
8,10,80,3,3,1,0.4182,0.5096
8,10,80,3,3,1.5,0.3775,0.5096
8,10,80,4,0,0.3,0.3601,0.4279
8,10,80,4,0,0.5,0.3601,0.4279
8,10,80,4,0,0.8,0.3601,0.4279
8,10,80,4,0,1,0.3601,0.4279
8,10,80,4,0,1.5,0.3601,0.4279
8,10,80,4,0.5,0.3,0.3601,0.4443
8,10,80,4,0.5,0.5,0.3601,0.4443
8,10,80,4,0.5,0.8,0.3572,0.4486
8,10,80,4,0.5,1,0.3572,0.4443
8,10,80,4,0.5,1.5,0.3458,0.432
8,10,80,4,1,0.3,0.3601,0.4443
8,10,80,4,1,0.5,0.3572,0.4443
8,10,80,4,1,0.8,0.3515,0.4443
8,10,80,4,1,1,0.343,0.4486
8,10,80,4,1,1.5,0.332,0.424
8,10,80,4,1.5,0.3,0.3601,0.4443
8,10,80,4,1.5,0.5,0.3572,0.432
8,10,80,4,1.5,0.8,0.3458,0.4486
8,10,80,4,1.5,1,0.3348,0.4358
8,10,80,4,1.5,1.5,0.3432,0.4328
8,10,80,4,2,0.3,0.3601,0.4443
8,10,80,4,2,0.5,0.3572,0.4486
8,10,80,4,2,0.8,0.3403,0.4443
8,10,80,4,2,1,0.332,0.4366
8,10,80,4,2,1.5,0.3518,0.4253
8,10,80,4,2.5,0.3,0.3601,0.4443
8,10,80,4,2.5,0.5,0.3572,0.4486
8,10,80,4,2.5,0.8,0.3348,0.4481
8,10,80,4,2.5,1,0.3485,0.4405
8,10,80,4,2.5,1.5,0.3466,0.3961
8,10,80,4,3,0.3,0.3601,0.447
8,10,80,4,3,0.5,0.3572,0.4443
8,10,80,4,3,0.8,0.3512,0.4366
8,10,80,4,3,1,0.3597,0.4328
8,10,80,4,3,1.5,0.3389,0.3928
8,10,80,5,0,0.3,0.341,0.4072
8,10,80,5,0,0.5,0.341,0.4072
8,10,80,5,0,0.8,0.341,0.4072
8,10,80,5,0,1,0.341,0.4072
8,10,80,5,0,1.5,0.341,0.4072
8,10,80,5,0.5,0.3,0.341,0.4072
8,10,80,5,0.5,0.5,0.341,0.4072
8,10,80,5,0.5,0.8,0.3385,0.4133
8,10,80,5,0.5,1,0.3385,0.4036
8,10,80,5,0.5,1.5,0.3336,0.4039
8,10,80,5,1,0.3,0.341,0.4072
8,10,80,5,1,0.5,0.341,0.4233
8,10,80,5,1,0.8,0.3385,0.4072
8,10,80,5,1,1,0.3336,0.405
8,10,80,5,1,1.5,0.3288,0.405
8,10,80,5,1.5,0.3,0.341,0.4072
8,10,80,5,1.5,0.5,0.3385,0.4133
8,10,80,5,1.5,0.8,0.3336,0.405
8,10,80,5,1.5,1,0.3312,0.4067
8,10,80,5,1.5,1.5,0.324,0.4067
8,10,80,5,2,0.3,0.341,0.4233
8,10,80,5,2,0.5,0.3385,0.4106
8,10,80,5,2,0.8,0.3336,0.4124
8,10,80,5,2,1,0.3264,0.4102
8,10,80,5,2,1.5,0.3146,0.4096
8,10,80,5,2.5,0.3,0.341,0.4233
8,10,80,5,2.5,0.5,0.3385,0.414
8,10,80,5,2.5,0.8,0.3312,0.405
8,10,80,5,2.5,1,0.3264,0.4096
8,10,80,5,2.5,1.5,0.3029,0.4153
8,10,80,5,3,0.3,0.341,0.4233
8,10,80,5,3,0.5,0.3385,0.414
8,10,80,5,3,0.8,0.3312,0.4096
8,10,80,5,3,1,0.3216,0.4096
8,10,80,5,3,1.5,0.2983,0.4011
16,10,160,1,0,0.3,0.8006,0.85
16,10,160,1,0,0.5,0.8006,0.85
16,10,160,1,0,0.8,0.8006,0.85
16,10,160,1,0,1,0.8006,0.85
16,10,160,1,0,1.5,0.8006,0.85
16,10,160,1,0.5,0.3,0.8006,0.85
16,10,160,1,0.5,0.5,0.8006,0.85
16,10,160,1,0.5,0.8,0.7906,0.85
16,10,160,1,0.5,1,0.8058,0.85
16,10,160,1,0.5,1.5,0.8263,0.85
16,10,160,1,1,0.3,0.8006,0.85
16,10,160,1,1,0.5,0.8006,0.85
16,10,160,1,1,0.8,0.8209,0.85
16,10,160,1,1,1,0.817,0.85
16,10,160,1,1,1.5,0.8056,0.85
16,10,160,1,1.5,0.3,0.8006,0.85
16,10,160,1,1.5,0.5,0.8006,0.85
16,10,160,1,1.5,0.8,0.832,0.85
16,10,160,1,1.5,1,0.8142,0.85
16,10,160,1,1.5,1.5,0.7972,0.85
16,10,160,1,2,0.3,0.8006,0.85
16,10,160,1,2,0.5,0.7906,0.85
16,10,160,1,2,0.8,0.832,0.85
16,10,160,1,2,1,0.7972,0.85
16,10,160,1,2,1.5,0.781,0.85
16,10,160,1,2.5,0.3,0.8006,0.85
16,10,160,1,2.5,0.5,0.7906,0.85
16,10,160,1,2.5,0.8,0.8142,0.85
16,10,160,1,2.5,1,0.7972,0.85
16,10,160,1,2.5,1.5,0.7731,0.8374
16,10,160,1,3,0.3,0.8006,0.85
16,10,160,1,3,0.5,0.8058,0.85
16,10,160,1,3,0.8,0.7972,0.85
16,10,160,1,3,1,0.7972,0.85
16,10,160,1,3,1.5,0.7579,0.8456
16,10,160,2,0,0.3,0.792,0.8028
16,10,160,2,0,0.5,0.792,0.8028
16,10,160,2,0,0.8,0.792,0.8028
16,10,160,2,0,1,0.792,0.8028
16,10,160,2,0,1.5,0.792,0.8028
16,10,160,2,0.5,0.3,0.792,0.8028
16,10,160,2,0.5,0.5,0.792,0.8028
16,10,160,2,0.5,0.8,0.7971,0.8028
16,10,160,2,0.5,1,0.7971,0.8139
16,10,160,2,0.5,1.5,0.7971,0.8028
16,10,160,2,1,0.3,0.792,0.8028
16,10,160,2,1,0.5,0.7971,0.8028
16,10,160,2,1,0.8,0.7971,0.8075
16,10,160,2,1,1,0.7971,0.8075
16,10,160,2,1,1.5,0.7583,0.8075
16,10,160,2,1.5,0.3,0.792,0.8028
16,10,160,2,1.5,0.5,0.7971,0.8075
16,10,160,2,1.5,0.8,0.7971,0.8075
16,10,160,2,1.5,1,0.7772,0.8075
16,10,160,2,1.5,1.5,0.765,0.8075
16,10,160,2,2,0.3,0.792,0.8028
16,10,160,2,2,0.5,0.7971,0.8075
16,10,160,2,2,0.8,0.7772,0.8075
16,10,160,2,2,1,0.7676,0.8075
16,10,160,2,2,1.5,0.7633,0.8075
16,10,160,2,2.5,0.3,0.8075,0.8075
16,10,160,2,2.5,0.5,0.7971,0.8075
16,10,160,2,2.5,0.8,0.7772,0.8182
16,10,160,2,2.5,1,0.7492,0.8182
16,10,160,2,2.5,1.5,0.7388,0.8182
16,10,160,2,3,0.3,0.8075,0.8075
16,10,160,2,3,0.5,0.7971,0.8075
16,10,160,2,3,0.8,0.7676,0.8182
16,10,160,2,3,1,0.765,0.8182
16,10,160,2,3,1.5,0.7233,0.8182
16,10,160,3,0,0.3,0.7558,0.7636
16,10,160,3,0,0.5,0.7558,0.7636
16,10,160,3,0,0.8,0.7558,0.7636
16,10,160,3,0,1,0.7558,0.7636
16,10,160,3,0,1.5,0.7558,0.7636
16,10,160,3,0.5,0.3,0.7558,0.7636
16,10,160,3,0.5,0.5,0.772,0.772
16,10,160,3,0.5,0.8,0.7636,0.774
16,10,160,3,0.5,1,0.7636,0.7636
16,10,160,3,0.5,1.5,0.7636,0.774
16,10,160,3,1,0.3,0.7558,0.7636
16,10,160,3,1,0.5,0.7636,0.774
16,10,160,3,1,0.8,0.7636,0.774
16,10,160,3,1,1,0.7636,0.774
16,10,160,3,1,1.5,0.7553,0.7692
16,10,160,3,1.5,0.3,0.772,0.772
16,10,160,3,1.5,0.5,0.7636,0.774
16,10,160,3,1.5,0.8,0.7636,0.774
16,10,160,3,1.5,1,0.7553,0.774
16,10,160,3,1.5,1.5,0.724,0.7733
16,10,160,3,2,0.3,0.772,0.772
16,10,160,3,2,0.5,0.7636,0.786
16,10,160,3,2,0.8,0.7636,0.774
16,10,160,3,2,1,0.7553,0.7733
16,10,160,3,2,1.5,0.7403,0.7733
16,10,160,3,2.5,0.3,0.772,0.774
16,10,160,3,2.5,0.5,0.7636,0.786
16,10,160,3,2.5,0.8,0.7553,0.7788
16,10,160,3,2.5,1,0.724,0.7788
16,10,160,3,2.5,1.5,0.7257,0.7733
16,10,160,3,3,0.3,0.772,0.774
16,10,160,3,3,0.5,0.7636,0.786
16,10,160,3,3,0.8,0.7553,0.7788
16,10,160,3,3,1,0.724,0.7841
16,10,160,3,3,1.5,0.7187,0.7733
16,10,160,4,0,0.3,0.8594,0.8672
16,10,160,4,0,0.5,0.8594,0.8672
16,10,160,4,0,0.8,0.8594,0.8672
16,10,160,4,0,1,0.8594,0.8672
16,10,160,4,0,1.5,0.8594,0.8672
16,10,160,4,0.5,0.3,0.8594,0.8672
16,10,160,4,0.5,0.5,0.8594,0.882
16,10,160,4,0.5,0.8,0.8486,0.882
16,10,160,4,0.5,1,0.8486,0.882
16,10,160,4,0.5,1.5,0.8381,0.882
16,10,160,4,1,0.3,0.8594,0.8672
16,10,160,4,1,0.5,0.8486,0.882
16,10,160,4,1,0.8,0.8486,0.882
16,10,160,4,1,1,0.8381,0.882
16,10,160,4,1,1.5,0.8179,0.882
16,10,160,4,1.5,0.3,0.8594,0.882
16,10,160,4,1.5,0.5,0.8486,0.882
16,10,160,4,1.5,0.8,0.8381,0.882
16,10,160,4,1.5,1,0.8278,0.882
16,10,160,4,1.5,1.5,0.8179,0.882
16,10,160,4,2,0.3,0.8594,0.882
16,10,160,4,2,0.5,0.8486,0.882
16,10,160,4,2,0.8,0.8381,0.882
16,10,160,4,2,1,0.8179,0.882
16,10,160,4,2,1.5,0.7988,0.882
16,10,160,4,2.5,0.3,0.8594,0.882
16,10,160,4,2.5,0.5,0.8486,0.882
16,10,160,4,2.5,0.8,0.8278,0.882
16,10,160,4,2.5,1,0.8179,0.882
16,10,160,4,2.5,1.5,0.7988,0.882
16,10,160,4,3,0.3,0.8594,0.882
16,10,160,4,3,0.5,0.8486,0.882
16,10,160,4,3,0.8,0.8278,0.882
16,10,160,4,3,1,0.8082,0.882
16,10,160,4,3,1.5,0.7896,0.882
16,10,160,5,0,0.3,0.6943,0.7785
16,10,160,5,0,0.5,0.6943,0.7785
16,10,160,5,0,0.8,0.6943,0.7785
16,10,160,5,0,1,0.6943,0.7785
16,10,160,5,0,1.5,0.6943,0.7785
16,10,160,5,0.5,0.3,0.6943,0.7785
16,10,160,5,0.5,0.5,0.6943,0.7785
16,10,160,5,0.5,0.8,0.6861,0.7785
16,10,160,5,0.5,1,0.6861,0.7785
16,10,160,5,0.5,1.5,0.6869,0.7785
16,10,160,5,1,0.3,0.6943,0.7785
16,10,160,5,1,0.5,0.6861,0.7785
16,10,160,5,1,0.8,0.6782,0.7775
16,10,160,5,1,1,0.6869,0.7785
16,10,160,5,1,1.5,0.6956,0.7775
16,10,160,5,1.5,0.3,0.6943,0.7785
16,10,160,5,1.5,0.5,0.6861,0.7785
16,10,160,5,1.5,0.8,0.6869,0.7785
16,10,160,5,1.5,1,0.7032,0.7785
16,10,160,5,1.5,1.5,0.6972,0.7785
16,10,160,5,2,0.3,0.6943,0.7785
16,10,160,5,2,0.5,0.6861,0.7785
16,10,160,5,2,0.8,0.7032,0.7775
16,10,160,5,2,1,0.7118,0.7775
16,10,160,5,2,1.5,0.6994,0.7775
16,10,160,5,2.5,0.3,0.6943,0.7785
16,10,160,5,2.5,0.5,0.6861,0.7785
16,10,160,5,2.5,0.8,0.7193,0.7785
16,10,160,5,2.5,1,0.7044,0.7721
16,10,160,5,2.5,1.5,0.6994,0.7775
16,10,160,5,3,0.3,0.6943,0.7785
16,10,160,5,3,0.5,0.6861,0.7785
16,10,160,5,3,0.8,0.7118,0.7721
16,10,160,5,3,1,0.6972,0.7775
16,10,160,5,3,1.5,0.6859,0.7673
30,10,300,1,0,0.3,0.773,0.853
30,10,300,1,0,0.5,0.773,0.853
30,10,300,1,0,0.8,0.773,0.853
30,10,300,1,0,1,0.773,0.853
30,10,300,1,0,1.5,0.773,0.853
30,10,300,1,0.5,0.3,0.773,0.853
30,10,300,1,0.5,0.5,0.773,0.8684
30,10,300,1,0.5,0.8,0.773,0.8684
30,10,300,1,0.5,1,0.773,0.8684
30,10,300,1,0.5,1.5,0.773,0.8684
30,10,300,1,1,0.3,0.773,0.8684
30,10,300,1,1,0.5,0.773,0.8684
30,10,300,1,1,0.8,0.773,0.8684
30,10,300,1,1,1,0.773,0.8684
30,10,300,1,1,1.5,0.7894,0.8684
30,10,300,1,1.5,0.3,0.773,0.8684
30,10,300,1,1.5,0.5,0.773,0.8684
30,10,300,1,1.5,0.8,0.773,0.8684
30,10,300,1,1.5,1,0.773,0.8684
30,10,300,1,1.5,1.5,0.8054,0.8837
30,10,300,1,2,0.3,0.773,0.8684
30,10,300,1,2,0.5,0.773,0.8684
30,10,300,1,2,0.8,0.7894,0.8684
30,10,300,1,2,1,0.8054,0.8684
30,10,300,1,2,1.5,0.8213,0.8837
30,10,300,1,2.5,0.3,0.773,0.8684
30,10,300,1,2.5,0.5,0.773,0.8684
30,10,300,1,2.5,0.8,0.8054,0.8684
30,10,300,1,2.5,1,0.8054,0.8837
30,10,300,1,2.5,1.5,0.8213,0.8988
30,10,300,1,3,0.3,0.773,0.8684
30,10,300,1,3,0.5,0.773,0.8684
30,10,300,1,3,0.8,0.8054,0.8684
30,10,300,1,3,1,0.8054,0.8837
30,10,300,1,3,1.5,0.8371,0.8988
30,10,300,2,0,0.3,0.7459,0.8098
30,10,300,2,0,0.5,0.7459,0.8098
30,10,300,2,0,0.8,0.7459,0.8098
30,10,300,2,0,1,0.7459,0.8098
30,10,300,2,0,1.5,0.7459,0.8098
30,10,300,2,0.5,0.3,0.7459,0.8098
30,10,300,2,0.5,0.5,0.7459,0.8098
30,10,300,2,0.5,0.8,0.7459,0.8098
30,10,300,2,0.5,1,0.7459,0.8098
30,10,300,2,0.5,1.5,0.7459,0.8098
30,10,300,2,1,0.3,0.7459,0.8098
30,10,300,2,1,0.5,0.7459,0.8098
30,10,300,2,1,0.8,0.7459,0.8098
30,10,300,2,1,1,0.7459,0.8098
30,10,300,2,1,1.5,0.7459,0.8253
30,10,300,2,1.5,0.3,0.7459,0.8098
30,10,300,2,1.5,0.5,0.7459,0.8098
30,10,300,2,1.5,0.8,0.7459,0.8098
30,10,300,2,1.5,1,0.7459,0.8098
30,10,300,2,1.5,1.5,0.7459,0.8253
30,10,300,2,2,0.3,0.7459,0.8098
30,10,300,2,2,0.5,0.7459,0.8098
30,10,300,2,2,0.8,0.7459,0.8098
30,10,300,2,2,1,0.7459,0.8253
30,10,300,2,2,1.5,0.7459,0.8253
30,10,300,2,2.5,0.3,0.7459,0.8098
30,10,300,2,2.5,0.5,0.7459,0.8098
30,10,300,2,2.5,0.8,0.7459,0.8098
30,10,300,2,2.5,1,0.7459,0.8253
30,10,300,2,2.5,1.5,0.7459,0.8255
30,10,300,2,3,0.3,0.7459,0.8098
30,10,300,2,3,0.5,0.7459,0.8098
30,10,300,2,3,0.8,0.7459,0.8253
30,10,300,2,3,1,0.7459,0.8253
30,10,300,2,3,1.5,0.7622,0.8255
30,10,300,3,0,0.3,0.7783,0.8561
30,10,300,3,0,0.5,0.7783,0.8561
30,10,300,3,0,0.8,0.7783,0.8561
30,10,300,3,0,1,0.7783,0.8561
30,10,300,3,0,1.5,0.7783,0.8561
30,10,300,3,0.5,0.3,0.7783,0.8561
30,10,300,3,0.5,0.5,0.7783,0.8561
30,10,300,3,0.5,0.8,0.7941,0.8561
30,10,300,3,0.5,1,0.7941,0.8561
30,10,300,3,0.5,1.5,0.7941,0.8561
30,10,300,3,1,0.3,0.7783,0.8561
30,10,300,3,1,0.5,0.7941,0.8561
30,10,300,3,1,0.8,0.7941,0.8561
30,10,300,3,1,1,0.8098,0.8561
30,10,300,3,1,1.5,0.8406,0.8573
30,10,300,3,1.5,0.3,0.7783,0.8561
30,10,300,3,1.5,0.5,0.7941,0.8561
30,10,300,3,1.5,0.8,0.8253,0.8561
30,10,300,3,1.5,1,0.8253,0.8573
30,10,300,3,1.5,1.5,0.8406,0.8573
30,10,300,3,2,0.3,0.7783,0.8561
30,10,300,3,2,0.5,0.7941,0.8561
30,10,300,3,2,0.8,0.8253,0.8573
30,10,300,3,2,1,0.8406,0.8573
30,10,300,3,2,1.5,0.8406,0.8712
30,10,300,3,2.5,0.3,0.7941,0.8561
30,10,300,3,2.5,0.5,0.8253,0.8561
30,10,300,3,2.5,0.8,0.8253,0.8712
30,10,300,3,2.5,1,0.8406,0.8573
30,10,300,3,2.5,1.5,0.8409,0.8712
30,10,300,3,3,0.3,0.7941,0.8561
30,10,300,3,3,0.5,0.8253,0.8561
30,10,300,3,3,0.8,0.8406,0.8573
30,10,300,3,3,1,0.8406,0.8712
30,10,300,3,3,1.5,0.8409,0.8712
30,10,300,4,0,0.3,0.7578,0.8064
30,10,300,4,0,0.5,0.7578,0.8064
30,10,300,4,0,0.8,0.7578,0.8064
30,10,300,4,0,1,0.7578,0.8064
30,10,300,4,0,1.5,0.7578,0.8064
30,10,300,4,0.5,0.3,0.7578,0.8064
30,10,300,4,0.5,0.5,0.7578,0.8222
30,10,300,4,0.5,0.8,0.7578,0.8222
30,10,300,4,0.5,1,0.7578,0.8222
30,10,300,4,0.5,1.5,0.7578,0.8222
30,10,300,4,1,0.3,0.7578,0.8064
30,10,300,4,1,0.5,0.7578,0.8222
30,10,300,4,1,0.8,0.7578,0.8222
30,10,300,4,1,1,0.7578,0.8222
30,10,300,4,1,1.5,0.7742,0.8222
30,10,300,4,1.5,0.3,0.7578,0.8064
30,10,300,4,1.5,0.5,0.7578,0.8222
30,10,300,4,1.5,0.8,0.7742,0.8222
30,10,300,4,1.5,1,0.7742,0.8222
30,10,300,4,1.5,1.5,0.7904,0.8222
30,10,300,4,2,0.3,0.7578,0.8064
30,10,300,4,2,0.5,0.7578,0.8222
30,10,300,4,2,0.8,0.7904,0.8222
30,10,300,4,2,1,0.7904,0.8222
30,10,300,4,2,1.5,0.8064,0.853
30,10,300,4,2.5,0.3,0.7578,0.8064
30,10,300,4,2.5,0.5,0.7742,0.8222
30,10,300,4,2.5,0.8,0.7904,0.8222
30,10,300,4,2.5,1,0.7904,0.8222
30,10,300,4,2.5,1.5,0.8064,0.853
30,10,300,4,3,0.3,0.7578,0.8064
30,10,300,4,3,0.5,0.7742,0.8222
30,10,300,4,3,0.8,0.7904,0.8222
30,10,300,4,3,1,0.7904,0.8222
30,10,300,4,3,1.5,0.8064,0.853
30,10,300,5,0,0.3,0.7125,0.8099
30,10,300,5,0,0.5,0.7125,0.8099
30,10,300,5,0,0.8,0.7125,0.8099
30,10,300,5,0,1,0.7125,0.8099
30,10,300,5,0,1.5,0.7125,0.8099
30,10,300,5,0.5,0.3,0.7125,0.8099
30,10,300,5,0.5,0.5,0.7293,0.8099
30,10,300,5,0.5,0.8,0.7293,0.8284
30,10,300,5,0.5,1,0.7293,0.8284
30,10,300,5,0.5,1.5,0.7293,0.8438
30,10,300,5,1,0.3,0.7125,0.8099
30,10,300,5,1,0.5,0.7293,0.8128
30,10,300,5,1,0.8,0.7293,0.8438
30,10,300,5,1,1,0.7293,0.8308
30,10,300,5,1,1.5,0.7459,0.8308
30,10,300,5,1.5,0.3,0.7293,0.8099
30,10,300,5,1.5,0.5,0.7293,0.8284
30,10,300,5,1.5,0.8,0.7293,0.8438
30,10,300,5,1.5,1,0.7293,0.8438
30,10,300,5,1.5,1.5,0.7459,0.8438
30,10,300,5,2,0.3,0.7293,0.8099
30,10,300,5,2,0.5,0.7293,0.8284
30,10,300,5,2,0.8,0.7293,0.8438
30,10,300,5,2,1,0.7459,0.8438
30,10,300,5,2,1.5,0.7459,0.8308
30,10,300,5,2.5,0.3,0.7293,0.8099
30,10,300,5,2.5,0.5,0.7293,0.8284
30,10,300,5,2.5,0.8,0.7293,0.8438
30,10,300,5,2.5,1,0.7459,0.8438
30,10,300,5,2.5,1.5,0.7459,0.8438
30,10,300,5,3,0.3,0.7293,0.8099
30,10,300,5,3,0.5,0.7293,0.8284
30,10,300,5,3,0.8,0.7459,0.8438
30,10,300,5,3,1,0.7459,0.8308
30,10,300,5,3,1.5,0.7783,0.8438
