"size","rate","rep","scenario","tau","mcc_full","f1_full","mcc_norr","f1_norr","mcc_triad","f1_triad","delta_mcc","delta_f1"
30,0.1,1,"B",0.4,0.404235800269561,0.441176470588235,0.346806997256664,0.388059701492537,0.404235800269561,0.441176470588235,0.0574288030128965,0.0531167690956979
30,0.1,2,"B",0.4,0.433329001136819,0.472222222222222,0.442221728797951,0.48,0.373252888404694,0.416666666666667,-0.00889272766113208,-0.00777777777777772
30,0.1,4,"B",0.4,0.422172990513617,0.457142857142857,0.346806997256664,0.388059701492537,0.372456256223212,0.411764705882353,0.0753659932569529,0.0690831556503198
30,0.1,6,"B",0.4,0.37897833280923,0.417910447761194,0.422172990513617,0.457142857142857,0.346806997256664,0.388059701492537,-0.0431946577043867,-0.0392324093816632
30,0.1,7,"B",0.4,0.451072784669256,0.486486486486486,0.387547977330431,0.428571428571429,0.428165708115029,0.465753424657534,0.0635248073388249,0.0579150579150578
30,0.1,8,"B",0.4,0.280553503322267,0.328358208955224,0.381011678390942,0.422535211267606,0.226699110904724,0.276923076923077,-0.100458175068675,-0.0941770023123817
30,0.1,9,"B",0.4,0.286421207427646,0.333333333333333,0.286421207427646,0.333333333333333,0.25396186841726,0.303030303030303,0,0
30,0.1,11,"B",0.4,0.364411561149501,0.405797101449275,0.339186546111442,0.382352941176471,0.287013907282554,0.333333333333333,0.025225015038059,0.0234441602728048
30,0.2,1,"A",0.6,0.429877219908104,0.481012658227848,0.367101452391072,0.421052631578947,0.409369193939706,0.461538461538462,0.0627757675170317,0.0599600266489007
30,0.2,1,"B",0.4,0.396957425358121,0.457142857142857,0.381704330094459,0.442307692307692,0.347012837771256,0.404040404040404,0.0152530952636615,0.0148351648351648
30,0.2,2,"A",0.6,0.581214425737905,0.622222222222222,0.528736537332094,0.574712643678161,0.443214183080792,0.493827160493827,0.0524778884058114,0.0475095785440612
30,0.2,2,"B",0.4,0.435940768959847,0.495575221238938,0.393997826106783,0.454545454545455,0.341289179686799,0.4,0.0419429428530644,0.0410297666934835
30,0.2,3,"A",0.6,0.442690638618651,0.493827160493827,0.481359862341233,0.530120481927711,0.518741508058096,0.564705882352941,-0.0386692237225823,-0.0362933214338838
