experiment,size,rate,scenario,split,features,mcc,f1,auc,sens,spec,thr,n_tr,n_te,rate_te,direction,size_test,split_name,test_patterns
A1_cross_rep,30.0,0.1,A,0.0,full,0.25215891290695225,0.2405660377358491,0.8160470085470085,0.6538461538461539,0.8361111111111111,0.045,3766,1878,0.04153354632587859,,,,
A1_cross_rep,30.0,0.1,A,0.0,triad,0.23906216151801105,0.22559652928416488,0.7955662393162393,0.6666666666666666,0.8161111111111111,0.040249999999998634,3766,1878,0.04153354632587859,,,,
A1_cross_rep,30.0,0.1,A,0.0,norr,0.23461540255692528,0.23152709359605908,0.7949679487179486,0.6025641025641025,0.8438888888888889,0.04524999999999863,3766,1878,0.04153354632587859,,,,
A1_cross_rep,30.0,0.1,A,1.0,full,0.2769574395342831,0.25263157894736843,0.8416872427983539,0.7407407407407407,0.8144444444444444,0.04,3763,1881,0.0430622009569378,,,,
A1_cross_rep,30.0,0.1,A,1.0,triad,0.22393346370853173,0.22123893805309733,0.789852537722908,0.6172839506172839,0.8216666666666667,0.045,3763,1881,0.0430622009569378,,,,
A1_cross_rep,30.0,0.1,A,1.0,norr,0.26105670561514355,0.2517814726840855,0.8059293552812071,0.654320987654321,0.8405555555555555,0.045,3763,1881,0.0430622009569378,,,,
A1_cross_rep,30.0,0.1,A,2.0,full,0.2720663486389994,0.245398773006135,0.85609375,0.75,0.8061111111111111,0.045,3764,1880,0.0425531914893617,,,,
A1_cross_rep,30.0,0.1,A,2.0,triad,0.24278143924536957,0.23556581986143185,0.7902951388888888,0.6375,0.8322222222222222,0.045,3764,1880,0.0425531914893617,,,,
A1_cross_rep,30.0,0.1,A,2.0,norr,0.24932180958041283,0.24623115577889446,0.8232534722222222,0.6125,0.8505555555555555,0.045,3764,1880,0.0425531914893617,,,,
A1_cross_rep,30.0,0.1,B,0.0,full,0.2652717246843065,0.27287853577371046,0.8149124624002593,0.6949152542372882,0.7869287991498406,0.06,4000,2000,0.059,,,,
A1_cross_rep,30.0,0.1,B,0.0,triad,0.19313487380025776,0.22687609075043627,0.7318508078315531,0.5508474576271186,0.7927736450584485,0.065,4000,2000,0.059,,,,
A1_cross_rep,30.0,0.1,B,0.0,norr,0.2604292580641907,0.27499999999999997,0.7774568165853132,0.652542372881356,0.80605738575983,0.065,4000,2000,0.059,,,,
A1_cross_rep,30.0,0.1,B,1.0,full,0.2736258548525321,0.27697262479871176,0.8282895295279198,0.7226890756302521,0.7788410419989368,0.065,4000,2000,0.0595,,,,
A1_cross_rep,30.0,0.1,B,1.0,triad,0.24424580342178498,0.2625215889464594,0.7782267611988974,0.6386554621848739,0.79585326953748,0.07,4000,2000,0.0595,,,,
A1_cross_rep,30.0,0.1,B,1.0,norr,0.25011494233786813,0.26929982046678635,0.7692828327503249,0.6302521008403361,0.8070175438596491,0.075,4000,2000,0.0595,,,,
A1_cross_rep,30.0,0.1,B,2.0,full,0.23945574874766737,0.25806451612903225,0.8002649225559443,0.6386554621848739,0.7905369484316853,0.065,4000,2000,0.0595,,,,
A1_cross_rep,30.0,0.1,B,2.0,triad,0.18220710560743747,0.22222222222222224,0.7158940131076355,0.5126050420168067,0.8038277511961722,0.065,4000,2000,0.0595,,,,
A1_cross_rep,30.0,0.1,B,2.0,norr,0.24467012155548373,0.27027027027027023,0.7706253155169565,0.5882352941176471,0.8250930356193514,0.065,4000,2000,0.0595,,,,
A1_cross_rep,30.0,0.2,A,0.0,full,0.3715944636489961,0.41077441077441074,0.8509147727272728,0.7393939393939394,0.808125,0.09024999999999864,3526,1765,0.09348441926345609,,,,
A1_cross_rep,30.0,0.2,A,0.0,triad,0.29874593473707634,0.36229205175600737,0.793526515151515,0.593939393939394,0.82625,0.095,3526,1765,0.09348441926345609,,,,
A1_cross_rep,30.0,0.2,A,0.0,norr,0.3754671474191164,0.4193548387096774,0.7996799242424242,0.7090909090909091,0.8275,0.095,3526,1765,0.09348441926345609,,,,
A1_cross_rep,30.0,0.2,A,1.0,full,0.3881913887831649,0.41860465116279066,0.8731288580246913,0.7777777777777778,0.80375,0.09,3529,1762,0.09194097616345062,,,,
A1_cross_rep,30.0,0.2,A,1.0,triad,0.3259922647402541,0.3733333333333333,0.8090451388888888,0.691358024691358,0.79625,0.09,3529,1762,0.09194097616345062,,,,
A1_cross_rep,30.0,0.2,A,1.0,norr,0.36473088221907185,0.4063047285464098,0.8391724537037037,0.7160493827160493,0.816875,0.095,3529,1762,0.09194097616345062,,,,
A1_cross_rep,30.0,0.2,A,2.0,full,0.41028443093479683,0.43492586490939045,0.9000210889570553,0.8098159509202454,0.805,0.09,3528,1763,0.09245604083947816,,,,
A1_cross_rep,30.0,0.2,A,2.0,triad,0.31202612770450194,0.35802469135802467,0.835538726993865,0.7116564417177914,0.769375,0.09,3528,1763,0.09245604083947816,,,,
A1_cross_rep,30.0,0.2,A,2.0,norr,0.37396675779121885,0.405103668261563,0.8624233128834355,0.7791411042944786,0.789375,0.095,3528,1763,0.09245604083947816,,,,
A1_cross_rep,30.0,0.2,B,0.0,full,0.31081964149383245,0.39534883720930236,0.7958167721730937,0.6882591093117408,0.7472903593839133,0.115,4000,2000,0.1235,,,,
A1_cross_rep,30.0,0.2,B,0.0,triad,0.26522079641698887,0.36496350364963503,0.7457048760828747,0.6072874493927125,0.7575584711922418,0.12,4000,2000,0.1235,,,,
A1_cross_rep,30.0,0.2,B,0.0,norr,0.301536460095875,0.39294710327455923,0.7678254282421576,0.631578947368421,0.7769537934968626,0.125,4000,2000,0.1235,,,,
A1_cross_rep,30.0,0.2,B,1.0,full,0.3213979958139331,0.3951965065502184,0.8051228361099985,0.7448559670781894,0.7199772339214571,0.115,4000,2000,0.1215,,,,
A1_cross_rep,30.0,0.2,B,1.0,triad,0.2741855052610034,0.3677342823250297,0.7685858564565957,0.6378600823045267,0.746727376209448,0.125,4000,2000,0.1215,,,,
A1_cross_rep,30.0,0.2,B,1.0,norr,0.298151500198601,0.3822525597269625,0.7834283091033866,0.691358024691358,0.7336368810472396,0.125,4000,2000,0.1215,,,,
A1_cross_rep,30.0,0.2,B,2.0,full,0.3261050783547708,0.4087061668681984,0.799268345069528,0.6842105263157895,0.7655447803764974,0.12,4000,2000,0.1235,,,,
