experiment,size,rate,scenario,fold,calib_mode,mcc,f1,auc,sens,spec,thr,n_tr,n_te,rate_te
B1_calibration,30,0.1,A,0,oracle_clean,0.3144166269772294,0.27177700348432055,0.8983659102528809,0.8297872340425532,0.8142329020332717,0.045,4515,1129,0.04162976085031001
B1_calibration,30,0.1,A,0,blind95,0.48412056286204164,0.4794520547945205,0.8983659102528809,0.7446808510638298,0.9408502772643254,0.115,4515,1129,0.04162976085031001
B1_calibration,30,0.1,A,0,fixed05,0.6918861732330742,0.6666666666666666,0.8983659102528809,0.5106382978723404,0.9990757855822551,0.5,4515,1129,0.04162976085031001
B1_calibration,30,0.1,A,0,rate_aware,0.6949611279226898,0.6842105263157894,0.8983659102528809,0.5531914893617021,0.9972273567467652,0.32568992248065115,4515,1129,0.04162976085031001
B1_calibration,30,0.1,A,1,oracle_clean,0.26550240522852475,0.24175824175824173,0.8439218756272834,0.717391304347826,0.8208679593721145,0.045,4515,1129,0.04074402125775022
B1_calibration,30,0.1,A,1,blind95,0.3885541631622199,0.4065040650406504,0.8439218756272834,0.5434782608695652,0.9519852262234534,0.12,4515,1129,0.04074402125775022
B1_calibration,30,0.1,A,1,fixed05,0.6176411002432686,0.5757575757575758,0.8439218756272834,0.41304347826086957,0.9990766389658357,0.5,4515,1129,0.04074402125775022
B1_calibration,30,0.1,A,1,rate_aware,0.5358764518578849,0.5277777777777778,0.8439218756272834,0.41304347826086957,0.9935364727608494,0.3635514950166271,4515,1129,0.04074402125775022
B1_calibration,30,0.1,A,2,oracle_clean,0.24735169126510154,0.24899598393574296,0.8264123831350723,0.6078431372549019,0.8450834879406308,0.045,4515,1129,0.045172719220549155
B1_calibration,30,0.1,A,2,blind95,0.40388602287280395,0.4297520661157025,0.8264123831350723,0.5098039215686274,0.9591836734693877,0.115,4515,1129,0.045172719220549155
B1_calibration,30,0.1,A,2,fixed05,0.5683495732924857,0.5142857142857143,0.8264123831350723,0.35294117647058826,0.9990723562152134,0.5,4515,1129,0.045172719220549155
B1_calibration,30,0.1,A,2,rate_aware,0.4963257094065209,0.4871794871794872,0.8264123831350723,0.37254901960784315,0.9925788497217068,0.31218272425257965,4515,1129,0.045172719220549155
B1_calibration,30,0.1,A,3,oracle_clean,0.28841033843010505,0.2711864406779661,0.8227476313522825,0.7407407407407407,0.8130232558139535,0.045,4515,1129,0.047829937998228524
B1_calibration,30,0.1,A,3,blind95,0.33642693383297995,0.35227272727272724,0.8227476313522825,0.5740740740740741,0.9153488372093024,0.10150000000000091,4515,1129,0.047829937998228524
B1_calibration,30,0.1,A,3,fixed05,0.5989649478518984,0.5526315789473685,0.8227476313522825,0.3888888888888889,0.9990697674418605,0.5,4515,1129,0.047829937998228524
B1_calibration,30,0.1,A,3,rate_aware,0.6020129949792777,0.575,0.8227476313522825,0.42592592592592593,0.9972093023255814,0.3548892580288975,4515,1129,0.047829937998228524
B1_calibration,30,0.1,A,4,oracle_clean,0.28991725245174793,0.2625482625482625,0.8716346540223419,0.7391304347826086,0.8345656192236599,0.045,4516,1128,0.040780141843971635
B1_calibration,30,0.1,A,4,blind95,0.4750878425027106,0.4912280701754386,0.8716346540223419,0.6086956521739131,0.9630314232902033,0.12125,4516,1128,0.040780141843971635
B1_calibration,30,0.1,A,4,fixed05,0.5721107573673414,0.5675675675675675,0.8716346540223419,0.45652173913043476,0.9935304990757856,0.5,4516,1128,0.040780141843971635
B1_calibration,30,0.1,A,4,rate_aware,0.5493663637259365,0.5569620253164557,0.8716346540223419,0.4782608695652174,0.9898336414048059,0.3218379096544504,4516,1128,0.040780141843971635
B1_calibration,30,0.1,B,0,oracle_clean,0.315766589261914,0.3076923076923077,0.8301074589127686,0.7714285714285715,0.7991150442477876,0.065,4800,1200,0.058333333333333334
B1_calibration,30,0.1,B,0,blind95,0.5616501617875231,0.4946236559139785,0.8301074589127686,0.32857142857142857,1.0,0.635,4800,1200,0.058333333333333334
B1_calibration,30,0.1,B,0,fixed05,0.5628215798168015,0.5252525252525253,0.8301074589127686,0.37142857142857144,0.9973451327433628,0.5,4800,1200,0.058333333333333334
B1_calibration,30,0.1,B,0,rate_aware,0.581526442205862,0.5660377358490566,0.8301074589127686,0.42857142857142855,0.9946902654867257,0.39318437500000986,4800,1200,0.058333333333333334
B1_calibration,30,0.1,B,1,oracle_clean,0.2394699214522207,0.24089635854341737,0.8473356507657299,0.6825396825396826,0.7792436235708003,0.065,4800,1200,0.0525
B1_calibration,30,0.1,B,1,blind95,0.5802043719915532,0.5287356321839081,0.8473356507657299,0.36507936507936506,0.9991204925241864,0.6402500000000009,4800,1200,0.0525
B1_calibration,30,0.1,B,1,fixed05,0.5808854726695729,0.5393258426966292,0.8473356507657299,0.38095238095238093,0.9982409850483729,0.5,4800,1200,0.0525
B1_calibration,30,0.1,B,1,rate_aware,0.5121976563500316,0.5148514851485149,0.8473356507657299,0.4126984126984127,0.9894459102902374,0.32772708333331596,4800,1200,0.0525
B1_calibration,30,0.1,B,2,oracle_clean,0.2878328454094943,0.28994082840236685,0.8050141595868732,0.7101449275362319,0.8054818744473917,0.065,4800,1200,0.0575
B1_calibration,30,0.1,B,2,blind95,0.5404251764086759,0.4893617021276595,0.8050141595868732,0.3333333333333333,0.9982316534040672,0.645,4800,1200,0.0575
B1_calibration,30,0.1,B,2,fixed05,0.5403282825264033,0.5242718446601942,0.8050141595868732,0.391304347826087,0.9938107869142352,0.5,4800,1200,0.0575
B1_calibration,30,0.1,B,2,rate_aware,0.5178251479986002,0.5225225225225225,0.8050141595868732,0.42028985507246375,0.9885057471264368,0.33868750000012826,4800,1200,0.0575
B1_calibration,30,0.1,B,3,oracle_clean,0.2864070607808821,0.3086053412462908,0.82713784030985,0.6582278481012658,0.8162355040142729,0.065,4800,1200,0.06583333333333333
B1_calibration,30,0.1,B,3,blind95,0.45535533908178105,0.40384615384615385,0.82713784030985,0.26582278481012656,0.9964317573595004,0.6252500000000009,4800,1200,0.06583333333333333
B1_calibration,30,0.1,B,3,fixed05,0.44518331021646224,0.4,0.82713784030985,0.26582278481012656,0.9955396966993756,0.5,4800,1200,0.06583333333333333
B1_calibration,30,0.1,B,3,rate_aware,0.45252996327076017,0.4220183486238532,0.82713784030985,0.2911392405063291,0.9937555753791257,0.4320500000000175,4800,1200,0.06583333333333333
B1_calibration,30,0.1,B,4,oracle_clean,0.28984219948825435,0.30208333333333337,0.8474386160714286,0.725,0.7803571428571429,0.06,4800,1200,0.06666666666666667
B1_calibration,30,0.1,B,4,blind95,0.486797262054773,0.4230769230769231,0.8474386160714286,0.275,0.9982142857142857,0.64,4800,1200,0.06666666666666667
B1_calibration,30,0.1,B,4,fixed05,0.5119442098498099,0.462962962962963,0.8474386160714286,0.3125,0.9973214285714286,0.5,4800,1200,0.06666666666666667
B1_calibration,30,0.1,B,4,rate_aware,0.5363784206846182,0.4999999999999999,0.8474386160714286,0.35,0.9964285714285714,0.42731770833328936,4800,1200,0.06666666666666667
B1_calibration,30,0.2,A,0,oracle_clean,0.4276914490861628,0.4628099173553719,0.8796204636797402,0.7924528301886793,0.8184679958027282,0.085,4232,1059,0.10009442870632672
B1_calibration,30,0.2,A,0,blind95,0.519485161063883,0.48275862068965514,0.8796204636797402,0.330188679245283,0.9958027282266527,0.73,4232,1059,0.10009442870632672
B1_calibration,30,0.2,A,0,fixed05,0.5792490962597793,0.5868263473053892,0.8796204636797402,0.46226415094339623,0.9874081846799581,0.5,4232,1059,0.10009442870632672
B1_calibration,30,0.2,A,0,rate_aware,0.5723645878634583,0.5955056179775281,0.8796204636797402,0.5,0.9800629590766002,0.38683010396971895,4232,1059,0.10009442870632672
B1_calibration,30,0.2,A,1,oracle_clean,0.3256293678652775,0.34604105571847504,0.8299846625766871,0.7375,0.7934560327198364,0.09,4233,1058,0.07561436672967864
B1_calibration,30,0.2,A,1,blind95,0.5086734336850787,0.4423076923076923,0.8299846625766871,0.2875,0.9989775051124744,0.765,4233,1058,0.07561436672967864
B1_calibration,30,0.2,A,1,fixed05,0.5526017364454382,0.5555555555555556,0.8299846625766871,0.4375,0.9887525562372188,0.5,4233,1058,0.07561436672967864
B1_calibration,30,0.2,A,1,rate_aware,0.5081646352164174,0.5405405405405405,0.8299846625766871,0.5,0.9713701431492843,0.3558752657689274,4233,1058,0.07561436672967864
B1_calibration,30,0.2,A,2,oracle_clean,0.41286416119038327,0.42690058479532156,0.9097529017520669,0.8202247191011236,0.8142414860681114,0.095,4233,1058,0.08412098298676748
B1_calibration,30,0.2,A,2,blind95,0.5819436754759467,0.5365853658536586,0.9097529017520669,0.3707865168539326,0.9989680082559339,0.74,4233,1058,0.08412098298676748
B1_calibration,30,0.2,A,2,fixed05,0.6328613378300588,0.6338028169014085,0.9097529017520669,0.5056179775280899,0.9917440660474717,0.5,4233,1058,0.08412098298676748
B1_calibration,30,0.2,A,2,rate_aware,0.6180005361578187,0.6415094339622641,0.9097529017520669,0.5730337078651685,0.9803921568627451,0.36684266477674554,4233,1058,0.08412098298676748
B1_calibration,30,0.2,A,3,oracle_clean,0.3607801625125161,0.40104166666666663,0.8505671096890639,0.7549019607843137,0.7855648535564853,0.085,4233,1058,0.09640831758034027
B1_calibration,30,0.2,A,3,blind95,0.4939162659299573,0.43609022556390975,0.8505671096890639,0.28431372549019607,0.997907949790795,0.745,4233,1058,0.09640831758034027
B1_calibration,30,0.2,A,3,fixed05,0.4865649644481409,0.4761904761904762,0.8505671096890639,0.3431372549019608,0.9895397489539749,0.5,4233,1058,0.09640831758034027
B1_calibration,30,0.2,A,3,rate_aware,0.48512018066133766,0.511904761904762,0.8505671096890639,0.4215686274509804,0.9759414225941423,0.36837939995284613,4233,1058,0.09640831758034027
B1_calibration,30,0.2,A,4,oracle_clean,0.3753359087908838,0.42542787286063577,0.8609965060957478,0.7631578947368421,0.7796610169491526,0.085,4233,1058,0.10775047258979206
B1_calibration,30,0.2,A,4,blind95,0.5322672887470135,0.4697986577181208,0.8609965060957478,0.30701754385964913,1.0,0.74,4233,1058,0.10775047258979206
B1_calibration,30,0.2,A,4,fixed05,0.5403360013730177,0.524390243902439,0.8609965060957478,0.37719298245614036,0.9925847457627118,0.5,4233,1058,0.10775047258979206
B1_calibration,30,0.2,A,4,rate_aware,0.5452108206560426,0.5652173913043478,0.8609965060957478,0.45614035087719296,0.9809322033898306,0.37781242617526,4233,1058,0.10775047258979206
B1_calibration,30,0.2,B,0,oracle_clean,0.2972645415507661,0.37398373983739847,0.7803792569659443,0.6764705882352942,0.7518796992481203,0.115,4800,1200,0.11333333333333333
B1_calibration,30,0.2,B,0,blind95,0.34305239442328145,0.25316455696202533,0.7803792569659443,0.14705882352941177,0.9981203007518797,0.7902500000000009,4800,1200,0.11333333333333333
B1_calibration,30,0.2,B,0,fixed05,0.4145180945404077,0.41450777202072536,0.7803792569659443,0.29411764705882354,0.9840225563909775,0.5,4800,1200,0.11333333333333333
B1_calibration,30,0.2,B,0,rate_aware,0.4168401457529639,0.43349753694581283,0.7803792569659443,0.3235294117647059,0.9783834586466166,0.4273249999999643,4800,1200,0.11333333333333333
B1_calibration,30,0.2,B,1,oracle_clean,0.3565948886726368,0.4143126177024482,0.8486758760107816,0.7857142857142857,0.7349056603773585,0.115,4800,1200,0.11666666666666667
B1_calibration,30,0.2,B,1,blind95,0.5223296227488241,0.47311827956989244,0.8486758760107816,0.3142857142857143,0.9981132075471698,0.78,4800,1200,0.11666666666666667
B1_calibration,30,0.2,B,1,fixed05,0.5710537854493312,0.5767441860465117,0.8486758760107816,0.44285714285714284,0.9877358490566037,0.5,4800,1200,0.11666666666666667
B1_calibration,30,0.2,B,1,rate_aware,0.5443172499146878,0.5809128630705394,0.8486758760107816,0.5,0.970754716981132,0.37704166666657324,4800,1200,0.11666666666666667
B1_calibration,30,0.2,B,2,oracle_clean,0.32304140367856565,0.3875,0.8289583615992687,0.7099236641221374,0.7605238540692236,0.115,4800,1200,0.10916666666666666
