"pattern","corruption","n","rate_full","rate_no_rr","delta"
"acquiescent",0.9,159,1,1,0
"acquiescent",1,159,1,1,0
"fatigue",0.9,155,0.916,0.761,0.155
"fatigue",1,159,1,1,0
"longstring",0.9,159,0.95,0.761,0.189
"longstring",1,166,0.94,0.807,0.133
"mixed",0.9,163,0.767,0.497,0.27
"mixed",1,160,0.881,0.5,0.381
"pure_straight",0.9,157,1,1,0
"pure_straight",1,161,1,1,0
"random",0.9,170,0.835,0.365,0.47
"random",1,162,0.846,0.352,0.494
