"dataset","delta_mean","delta_lo","delta_hi","p_gt0"
"Schroeders2022",-0.0230995272588314,-0.0937392663712431,0.0414275492537921,0.245
"Schneider_QoL",-0.024393382091525,-0.064702638845849,0.0144998745047522,0.12
"Niessen2016",-0.0977077626693516,-0.289929866865344,0.0563628233830826,0.1
"Goldammer_S1",0.153266404165236,0.0889852997207361,0.224300235988224,1
"Goldammer_S2",0.0243690194425595,-0.0165867534041398,0.0643349640946464,0.86
