sens,spec,ppv,npv,bal_acc,youden_j,g_mean,f1,f2,mcc,kappa,auc,auprc,tau_op,size,rate,rep,scenario,tau,n_pos,n_neg
0.5666666666666667,0.948936170212766,0.4146341463414634,0.971677559912854,0.7578014184397164,0.5156028368794328,0.7333010953584487,0.47887323943661975,0.5279503105590062,0.4462996881742806,0.4400726392251816,0.7640780141843972,0.5448972372274071,0.19496894841269813,30,0.1,1,B,0.4,30,470
0.45454545454545453,0.9486081370449678,0.38461538461538464,0.9609544468546638,0.7015767957952111,0.4031535915904223,0.656647178352745,0.41666666666666663,0.43859649122807015,0.373252888404694,0.3717465446059953,0.8573746025566156,0.5321684776152726,0.2383214285714286,30,0.1,2,B,0.4,33,467
0.5555555555555556,0.9492600422832981,0.38461538461538464,0.9739696312364425,0.7524077989194269,0.5048155978388538,0.7262001722372337,0.4545454545454546,0.5102040816326531,0.4254636402247493,0.4173625946785783,0.8793751468170073,0.43205674266990546,0.18844047619047594,30,0.1,3,B,0.4,27,473
0.6,0.948936170212766,0.42857142857142855,0.9737991266375546,0.774468085106383,0.548936170212766,0.7545606020245554,0.5,0.5555555555555556,0.4699742031035358,0.4623655913978494,0.839645390070922,0.558642326691839,0.192720238095238,30,0.1,4,B,0.4,30,470
0.5384615384615384,0.9493670886075949,0.3684210526315789,0.974025974025974,0.7439143135345667,0.48782862706913344,0.7149808830286284,0.4375,0.49295774647887325,0.4087241892257675,0.4004796163069545,0.8247322297955209,0.45122695291204856,0.1649053571428565,30,0.1,5,B,0.4,26,474
0.5333333333333333,0.948936170212766,0.4,0.9695652173913043,0.7411347517730497,0.4822695035460993,0.7114065580103559,0.4571428571428572,0.5,0.42217299051361706,0.4171779141104295,0.8171985815602838,0.4742492502110662,0.17469166666666658,30,0.1,6,B,0.4,30,470
0.5625,0.9487179487179487,0.42857142857142855,0.9694323144104804,0.7556089743589743,0.5112179487179487,0.7305161505085608,0.4864864864864864,0.5294117647058824,0.45107278466925615,0.44625786896712516,0.7951388888888888,0.4402841947637498,0.18030119047619036,30,0.1,7,B,0.4,32,468
0.3125,0.9487179487179487,0.29411764705882354,0.9527896995708155,0.6306089743589743,0.2612179487179487,0.5444945903995364,0.30303030303030304,0.30864197530864196,0.25396186841726026,0.25382818582922406,0.7372128739316239,0.3710273257813304,0.23476785714285697,30,0.1,8,B,0.4,32,468
0.40625,0.9487179487179487,0.35135135135135137,0.958963282937365,0.6774839743589743,0.3549679487179487,0.6208193510729725,0.37681159420289856,0.3939393939393939,0.3318911707030274,0.3308850989667621,0.7090010683760684,0.39326455238802394,0.18226726190476192,30,0.1,9,B,0.4,32,468
0.41379310344827586,0.9490445859872612,0.3333333333333333,0.9633620689655172,0.6814188447177685,0.36283768943553696,0.6266642678072948,0.36923076923076925,0.39473684210526316,0.3281040600728099,0.325923977377351,0.7728969909949484,0.44827817043091406,0.1805952380952381,30,0.1,10,B,0.4,29,471
0.41935483870967744,0.9488272921108742,0.35135135135135137,0.9611231101511879,0.6840910654102759,0.36818213082055173,0.6307894387563061,0.38235294117647056,0.40372670807453415,0.33918654611144194,0.3376647953068821,0.6387303115757618,0.39523671041923036,0.16937619047619043,30,0.1,11,B,0.4,31,469
0.3448275862068966,0.9490445859872612,0.29411764705882354,0.9592274678111588,0.6469360860970789,0.29387217219415773,0.5720635924341898,0.31746031746031744,0.3333333333333333,0.27285725063047184,0.27187753996206987,0.761695585328355,0.35001744219837083,0.18119047619047618,30,0.1,12,B,0.4,29,471
0.39655172413793105,0.9479638009049773,0.5,0.9229074889867841,0.6722577625214542,0.3445155250429084,0.6131204446674529,0.4423076923076923,0.4136690647482014,0.38170433009445925,0.3785359163380765,0.7689772195350288,0.4971189162004578,0.29260416666666667,30,0.2,1,B,0.4,58,442
0.42857142857142855,0.9496567505720824,0.5510204081632653,0.9201773835920177,0.6891140895717555,0.3782281791435109,0.6379621855918877,0.4821428571428571,0.4485049833887043,0.4221614416216194,0.41797455143900775,0.8447568195851949,0.5393484011142504,0.4018904761904762,30,0.2,2,B,0.4,63,437
0.46774193548387094,0.9497716894977168,0.5686274509803921,0.9265033407572383,0.7087568124907939,0.41751362498158784,0.6665193532924968,0.5132743362831858,0.48494983277591974,0.45466894736542296,0.4519292091836735,0.8570849904256888,0.5667895834513821,0.37237916666666654,30,0.2,3,B,0.4,62,438
0.43548387096774194,0.9497716894977168,0.5510204081632653,0.9223946784922394,0.6926277802327294,0.38525556046545884,0.6431253780391798,0.48648648648648646,0.45454545454545453,0.4270664989697392,0.42335707348656526,0.7341471498011489,0.5087344745574828,0.2769559523809524,30,0.2,4,B,0.4,62,438
0.532258064516129,0.9497716894977168,0.6,0.9348314606741573,0.7410148770069229,0.48202975401384585,0.7110018573704774,0.5641025641025641,0.5445544554455446,0.5077446970945437,0.506578947368421,0.7720577404625129,0.5531280559451327,0.3103744047619047,30,0.2,5,B,0.4,62,438
0.5,0.95,0.5769230769230769,0.9330357142857143,0.725,0.44999999999999996,0.689202437604511,0.5357142857142857,0.5136986301369864,0.47904222782961003,0.477491961414791,0.7887121212121212,0.6013048366814554,0.2982527777777774,30,0.2,6,B,0.4,60,440
0.36507936507936506,0.9496567505720824,0.5111111111111111,0.9120879120879121,0.6573680578257237,0.31473611565144743,0.5888124349418826,0.4259259259259259,0.3872053872053872,0.364960294702242,0.3585764535485205,0.7941048272856053,0.48344306550297494,0.35598452380952367,30,0.2,7,B,0.4,63,437
0.39344262295081966,0.9498861047835991,0.5217391304347826,0.9185022026431718,0.6716643638672094,0.3433287277344188,0.6113310727998343,0.4485981308411215,0.41379310344827586,0.3887769241888703,0.38397928499832945,0.7532208073490421,0.5075499458703041,0.30662976190476166,30,0.2,8,B,0.4,61,439
0.4166666666666667,0.95,0.5319148936170213,0.9227373068432672,0.6833333333333333,0.3666666666666667,0.6291528696058958,0.4672897196261682,0.4355400696864111,0.40829622437078583,0.4045131633932303,0.781117424242424,0.5226529369964417,0.36251765873015857,30,0.2,9,B,0.4,60,440
0.3387096774193548,0.9497716894977168,0.4883720930232558,0.9102844638949672,0.6442406834585358,0.2884813669170716,0.5671832707086901,0.4,0.36082474226804123,0.33912385417458085,0.332174355495251,0.7355096479599352,0.45159874368448155,0.3130273809523807,30,0.2,10,B,0.4,62,438
0.5,0.95,0.5769230769230769,0.9330357142857143,0.725,0.44999999999999996,0.689202437604511,0.5357142857142857,0.5136986301369864,0.47904222782961003,0.477491961414791,0.8159469696969697,0.5635734613514523,0.3474738095238097,30,0.2,11,B,0.4,60,440
