size,rate,condition,rep,full_sens,full_spec,full_f1,full_mcc,full_auc,norr_sens,norr_spec,norr_f1,norr_mcc,norr_auc
30,0.2,clean,1,0.4166666666666667,0.9204545454545454,0.4166666666666667,0.3371212121212121,0.7388468013468013,0.4166666666666667,0.9204545454545454,0.4166666666666667,0.3371212121212121,0.692918771043771
30,0.2,clean,2,0.4722222222222222,0.928030303030303,0.4722222222222222,0.40025252525252525,0.8509574915824916,0.4722222222222222,0.928030303030303,0.4722222222222222,0.40025252525252525,0.8415930134680134
30,0.2,clean,3,0.4722222222222222,0.928030303030303,0.4722222222222222,0.40025252525252525,0.7357954545454546,0.4444444444444444,0.9242424242424242,0.4444444444444444,0.3686868686868687,0.6786616161616161
30,0.2,clean,4,0.4722222222222222,0.928030303030303,0.4722222222222222,0.40025252525252525,0.7322180134680135,0.4722222222222222,0.928030303030303,0.4722222222222222,0.40025252525252525,0.7273253367003367
30,0.2,realistic,1,0.358974358974359,0.9042145593869731,0.358974358974359,0.2631889183613322,0.8159937125454367,0.358974358974359,0.9042145593869731,0.358974358974359,0.2631889183613322,0.7548383927694272
30,0.2,realistic,2,0.4,0.9076923076923077,0.4000000000000001,0.3076923076923077,0.7921153846153846,0.35,0.9,0.35,0.25,0.7390865384615385
30,0.2,realistic,3,0.3548387096774194,0.9256505576208178,0.35483870967741943,0.2804892672982372,0.7909221729224127,0.3225806451612903,0.9219330855018587,0.3225806451612903,0.24451373066314905,0.7356997241875525
30,0.2,realistic,4,0.4594594594594595,0.9239543726235742,0.4594594594594595,0.3834138320830336,0.7915938752440652,0.40540540540540543,0.9163498098859315,0.40540540540540543,0.32175521529133694,0.7660569314561709
30,0.4,clean,1,0.5138888888888888,0.8464912280701754,0.5138888888888888,0.3603801169590643,0.7671174463937622,0.5,0.8421052631578947,0.5,0.34210526315789475,0.7406493664717348
30,0.4,clean,2,0.5833333333333334,0.868421052631579,0.5833333333333334,0.4517543859649123,0.8153021442495126,0.5833333333333334,0.868421052631579,0.5833333333333334,0.4517543859649123,0.774275097465887
30,0.4,clean,3,0.5416666666666666,0.8552631578947368,0.5416666666666666,0.3969298245614035,0.7933723196881092,0.5138888888888888,0.8464912280701754,0.5138888888888888,0.3603801169590643,0.7662037037037037
30,0.4,clean,4,0.6111111111111112,0.8771929824561403,0.6111111111111112,0.48830409356725146,0.7976669103313839,0.5416666666666666,0.8552631578947368,0.5416666666666666,0.3969298245614035,0.7863365009746588
30,0.4,realistic,1,0.4305555555555556,0.8201754385964912,0.4305555555555556,0.2507309941520468,0.6502802144249513,0.3333333333333333,0.7894736842105263,0.3333333333333333,0.12280701754385964,0.6112938596491228
30,0.4,realistic,2,0.4722222222222222,0.8333333333333334,0.4722222222222222,0.3055555555555556,0.7151864035087719,0.4166666666666667,0.8157894736842105,0.4166666666666667,0.2324561403508772,0.6887183235867446
30,0.4,realistic,3,0.4,0.8,0.4000000000000001,0.2,0.6328296296296296,0.37333333333333335,0.7911111111111111,0.37333333333333335,0.16444444444444445,0.6143407407407407
30,0.4,realistic,4,0.5,0.8421052631578947,0.5,0.34210526315789475,0.7616349902534113,0.4583333333333333,0.8289473684210527,0.4583333333333333,0.28728070175438597,0.7246588693957116
60,0.2,clean,1,0.5833333333333334,0.9431818181818182,0.5833333333333334,0.5265151515151515,0.8729482323232323,0.5555555555555556,0.9393939393939394,0.5555555555555556,0.494949494949495,0.8561658249158248
60,0.2,clean,2,0.6111111111111112,0.946969696969697,0.6111111111111112,0.5580808080808081,0.8721064814814813,0.6111111111111112,0.946969696969697,0.6111111111111112,0.5580808080808081,0.8270728114478114
60,0.2,clean,3,0.5555555555555556,0.9393939393939394,0.5555555555555556,0.494949494949495,0.8507996632996633,0.5277777777777778,0.9356060606060606,0.5277777777777778,0.4633838383838384,0.7962436868686869
60,0.2,clean,4,0.4722222222222222,0.928030303030303,0.4722222222222222,0.40025252525252525,0.8361742424242424,0.4444444444444444,0.9242424242424242,0.4444444444444444,0.3686868686868687,0.8435395622895623
60,0.2,realistic,1,0.5121951219512195,0.9227799227799228,0.5121951219512195,0.4349750447311423,0.8662774272530368,0.5121951219512195,0.9227799227799228,0.5121951219512195,0.4349750447311423,0.8344476881062246
60,0.2,realistic,2,0.48484848484848486,0.9363295880149812,0.48484848484848486,0.42117807286346615,0.8052434456928839,0.3939393939393939,0.9250936329588015,0.3939393939393939,0.31903302689819546,0.7854954034729316
60,0.2,realistic,3,0.3888888888888889,0.9166666666666666,0.3888888888888889,0.3055555555555556,0.7690446127946128,0.3055555555555556,0.9053030303030303,0.3055555555555556,0.21085858585858586,0.7306397306397306
