"size","rate","rep","scenario","tau","n_pos","n_neg","tau_op","sens","spec","ppv","npv","bal_acc","youden_j","g_mean","f1","f2","mcc","kappa","auc","auprc"
30,0.2,1,"A",0.6,42,400,0.28025,0.452380952380952,0.95,0.487179487179487,0.942928039702233,0.701190476190476,0.402380952380952,0.655562281375237,0.469135802469136,0.458937198067633,0.41601331263901,0.415667466027179,0.80547619047619,0.54450973622396
30,0.2,1,"B",0.4,60,440,0.26525,0.416666666666667,0.95,0.531914893617021,0.922737306843267,0.683333333333333,0.366666666666667,0.629152869605896,0.467289719626168,0.435540069686411,0.408296224370786,0.40451316339323,0.760189393939394,0.506135236864631
30,0.2,2,"A",0.6,42,400,0.245999999999999,0.571428571428571,0.95,0.545454545454545,0.954773869346734,0.760714285714286,0.521428571428571,0.736788397613007,0.558139534883721,0.566037735849057,0.510718501444592,0.510549015036717,0.846577380952381,0.619883286328569
30,0.2,2,"B",0.4,63,437,0.313,0.523809523809524,0.949656750572082,0.6,0.932584269662921,0.736733137190803,0.473466274381606,0.705293733347789,0.559322033898305,0.537459283387622,0.502156041436875,0.500672172076052,0.803657694962043,0.560502522076806
30,0.2,3,"A",0.6,39,400,0.265,0.487179487179487,0.9525,0.5,0.950124688279302,0.719839743589744,0.439679487179487,0.681203685793362,0.493506493506493,0.489690721649484,0.444871433236019,0.444826356237232,0.857884615384615,0.584025587375266
30,0.2,3,"B",0.4,59,441,0.315,0.525423728813559,0.950113378684807,0.584905660377358,0.937360178970917,0.737768553749183,0.475537107498367,0.706549442165388,0.553571428571429,0.536332179930796,0.498354077528102,0.497447030917059,0.865559783235328,0.601802675675011
30,0.2,4,"A",0.6,41,400,0.21525,0.585365853658537,0.95,0.545454545454545,0.957178841309824,0.767682926829268,0.535365853658536,0.745719492152116,0.564705882352941,0.576923076923077,0.518741508058096,0.518345780322933,0.817164634146341,0.599907471679384
30,0.2,4,"B",0.4,62,438,0.335,0.5,0.952054794520548,0.596153846153846,0.930803571428571,0.726027397260274,0.452054794520548,0.689947387313173,0.543859649122807,0.516666666666667,0.488071334055073,0.485678113625574,0.810134040359405,0.570771819165195
30,0.2,5,"A",0.6,39,400,0.24,0.435897435897436,0.9525,0.472222222222222,0.945409429280397,0.694198717948718,0.388397435897436,0.644354178765303,0.453333333333333,0.442708333333333,0.402749379382798,0.402364113291496,0.77474358974359,0.524162870212614
30,0.2,5,"B",0.4,61,439,0.291,0.39344262295082,0.949886104783599,0.521739130434783,0.918502202643172,0.671664363867209,0.343328727734419,0.611331072799834,0.448598130841121,0.413793103448276,0.38877692418887,0.383979284998329,0.775178311363382,0.511138406624384
30,0.4,1,"A",0.6,81,300,0.445,0.604938271604938,0.956666666666667,0.790322580645161,0.899686520376176,0.780802469135802,0.561604938271605,0.760739298206285,0.685314685314685,0.634715025906736,0.62250503498842,0.614190238304192,0.881687242798354,0.762563669687445
30,0.4,1,"B",0.4,120,380,0.495,0.466666666666667,0.952631578947368,0.756756756756757,0.849765258215962,0.709649122807018,0.419298245614035,0.666754380194665,0.577319587628866,0.505415162454874,0.504295168333339,0.482584553255931,0.823377192982456,0.674165230225063
30,0.4,2,"A",0.6,79,300,0.42075,0.518987341772152,0.95,0.732142857142857,0.882352941176471,0.734493670886076,0.468987341772152,0.702166628859236,0.607407407407407,0.551075268817204,0.536834006918282,0.52532079306189,0.837573839662447,0.691958873758504
30,0.4,2,"B",0.4,120,380,0.49,0.441666666666667,0.952631578947368,0.746478873239437,0.843822843822844,0.697149122807017,0.394298245614035,0.648649068476235,0.554973821989529,0.480943738656987,0.482446817193988,0.458322712210043,0.809824561403509,0.669432781722039
30,0.4,3,"A",0.6,82,300,0.40575,0.536585365853659,0.95,0.745762711864407,0.882352941176471,0.743292682926829,0.486585365853659,0.713972056568726,0.624113475177305,0.568475452196382,0.552839836510815,0.54180057031639,0.854756097560976,0.728319750761617
