"operating_point","threshold","sens","spec","ppv","npv","bal_acc","youden_j","g_mean","f1","f2","mcc","kappa","auc","auprc"
"FPR=5%",0.31,0.882,0.95,0.826,0.968,0.916,0.832,0.916,0.853,0.87,0.813,0.812,0.976,0.942
"FPR=10%",0.165,0.932,0.9,0.714,0.98,0.916,0.832,0.916,0.808,0.878,0.76,0.748,0.976,0.942
"Youden's J optimal",0.202,0.919,0.916,0.744,0.977,0.917,0.835,0.917,0.822,0.878,0.776,0.768,0.976,0.942
"F1 optimal",0.49,0.825,0.979,0.913,0.954,0.902,0.804,0.899,0.867,0.841,0.835,0.833,0.976,0.942
"MCC optimal",0.51,0.819,0.981,0.919,0.953,0.9,0.8,0.896,0.867,0.838,0.836,0.833,0.976,0.942
