"nF","ipf","total_items","rep","method","z_threshold","mcc","sens","spec","noise_flagged","oracle_mcc"
4,3,12,1,"std_cf",1.3,0.0503190296184024,0.772727272727273,0.316546762589928,0.739130434782609,0.153693171035307
4,3,12,1,"std_cf",1.5,0.0719826053463512,0.863636363636364,0.255395683453237,0.826086956521739,0.153693171035307
4,3,12,1,"std_cf",1.7,0.0447542523126619,0.863636363636364,0.205035971223022,0.826086956521739,0.153693171035307
4,3,12,1,"std_cf",1.9,0.0487379999881323,0.909090909090909,0.158273381294964,0.869565217391304,0.153693171035307
4,3,12,1,"std_cf",2.1,0.0645324495537322,0.954545454545455,0.12589928057554,0.91304347826087,0.153693171035307
4,3,12,1,"std_cf",2.3,0.0463009472945777,0.954545454545455,0.0971223021582734,0.91304347826087,0.153693171035307
4,3,12,1,"std_cf",2.5,0.0385540422581805,0.954545454545455,0.0863309352517986,0.91304347826087,0.153693171035307
4,3,12,1,"std_cf",2.7,0.0270626005415674,0.954545454545455,0.0719424460431655,0.91304347826087,0.153693171035307
4,3,12,1,"std_cf",2.9,0.020649916910064,0.954545454545455,0.0647482014388489,0.91304347826087,0.153693171035307
4,3,12,1,"efa_d",0.1,0.166567142710999,0.636363636363636,0.669064748201439,0.565217391304348,0.166567142710999
4,3,12,1,"efa_d",0.3,0.12911485889565,0.681818181818182,0.564748201438849,0.652173913043478,0.166567142710999
4,3,12,1,"efa_d",0.5,0.0855708536825222,0.681818181818182,0.482014388489209,0.695652173913043,0.166567142710999
4,3,12,1,"efa_d",0.7,0.0748952589710249,0.727272727272727,0.413669064748201,0.695652173913043,0.166567142710999
4,3,12,1,"efa_d",0.9,0.0759895003583605,0.772727272727273,0.366906474820144,0.739130434782609,0.166567142710999
