"dataset","method","n_features","mcc","f1","sens","spec","auc","tau_op"
"Schroeders2022","Full_5",5,0.161955266035783,0.240802675585284,0.147540983606557,0.947368421052632,0.559153762317788,0.71
"Schroeders2022","Triad_3",3,0.0879783373756668,0.173010380622837,0.102459016393443,0.944598337950138,0.561651378229872,0.725
"Schroeders2022","NoRR_4",4,0.184048575857301,0.264026402640264,0.163934426229508,0.947368421052632,0.522847509195768,0.69
"Schroeders2022","z_rr_only",1,-0.0170599825055192,0.0802919708029197,0.0450819672131148,0.947368421052632,0.529891921347804,0.975
"Schroeders2022","Mah_chi2_001",1,0.0448804043432808,0.134275618374558,0.0778688524590164,0.944598337950138,0.536794423504836,99.6072330698494
"Schneider_QoL","Full_5",5,0.522726576059917,0.551724137931034,0.660550458715596,0.948051948051948,0.849603836530442,0.205
"Schneider_QoL","Triad_3",3,0.522755491399232,0.552529182879377,0.651376146788991,0.95,0.837823185988324,0.20025
"Schneider_QoL","NoRR_4",4,0.548039109064698,0.574712643678161,0.688073394495413,0.95,0.858370070296676,0.185749999999999
"Schneider_QoL","z_rr_only",1,0.0237075188080056,0.0812182741116751,0.073394495412844,0.948051948051948,0.622745144763494,0.635
"Schneider_QoL","Mah_chi2_001",1,0.206293333586874,0.264705882352941,0.330275229357798,0.917532467532468,0.723939592517574,61.0983060810581
"Niessen2016","Full_5",5,0.0216930457818656,0.1,0.0666666666666667,0.946666666666667,0.629666666666667,0.4855
"Niessen2016","Triad_3",3,0.119522860933439,0.19047619047619,0.133333333333333,0.946666666666667,0.575888888888889,0.485249999999999
"Niessen2016","NoRR_4",4,0.119522860933439,0.19047619047619,0.133333333333333,0.946666666666667,0.561111111111111,0.4405
"Niessen2016","z_rr_only",1,0.119522860933439,0.19047619047619,0.133333333333333,0.946666666666667,0.608,0.749249999999999
"Niessen2016","Mah_chi2_001",1,0,NA,0,1,0.432444444444444,149.449252779039
"Goldammer_S1","Full_5",5,0.497270524504781,0.700680272108844,0.556756756756757,0.943396226415094,0.828811830698623,0.8475
"Goldammer_S1","Triad_3",3,0.383268205345401,0.574626865671642,0.416216216216216,0.943396226415094,0.807419683834778,0.8975
"Goldammer_S1","NoRR_4",4,0.34807712649336,0.530769230769231,0.372972972972973,0.943396226415094,0.818128505864355,0.9325
"Goldammer_S1","z_rr_only",1,0.179890182743353,0.35593220338983,0.227027027027027,0.915094339622642,0.626236613972463,1
"Goldammer_S1","Mah_chi2_001",1,0.256630010736637,0.27906976744186,0.162162162162162,1,0.786588475267721,99.6072330698494
"Goldammer_S2","Full_5",5,0.471844580578059,0.669230769230769,0.517857142857143,0.948453608247423,0.821919489445263,0.872999999999999
"Goldammer_S2","Triad_3",3,0.302449662376705,0.462222222222222,0.30952380952381,0.948453608247423,0.811242022582229,0.949
"Goldammer_S2","NoRR_4",4,0.447820247241799,0.643137254901961,0.488095238095238,0.948453608247423,0.848398379970545,0.892
"Goldammer_S2","z_rr_only",1,0.239340105602186,0.375586854460094,0.238095238095238,0.948453608247423,0.656572164948454,0.996
"Goldammer_S2","Mah_chi2_001",1,0.266363200007055,0.294416243654822,0.172619047619048,1,0.795103092783505,99.6072330698494
