"pattern","corruption","n","rate_full","rate_norr","delta","size","rate_sample","rep","scenario","tau"
"acquiescent",0.6,1,0,0,0,30,0.1,1,"B",0.4
"acquiescent",0.7,1,0,0,0,30,0.1,1,"B",0.4
"acquiescent",0.8,1,1,1,0,30,0.1,1,"B",0.4
"acquiescent",0.9,1,1,1,0,30,0.1,1,"B",0.4
"acquiescent",1,1,1,1,0,30,0.1,1,"B",0.4
"fatigue",0.5,1,0,0,0,30,0.1,1,"B",0.4
"fatigue",0.6,1,0,0,0,30,0.1,1,"B",0.4
"fatigue",0.7,1,1,1,0,30,0.1,1,"B",0.4
"fatigue",0.9,1,1,1,0,30,0.1,1,"B",0.4
"fatigue",1,1,1,1,0,30,0.1,1,"B",0.4
"longstring",0.5,1,1,0,1,30,0.1,1,"B",0.4
"longstring",0.6,1,0,0,0,30,0.1,1,"B",0.4
"longstring",0.7,1,1,1,0,30,0.1,1,"B",0.4
"longstring",0.9,1,1,1,0,30,0.1,1,"B",0.4
"longstring",1,1,1,1,0,30,0.1,1,"B",0.4
"mixed",0.5,1,0,0,0,30,0.1,1,"B",0.4
"mixed",0.6,1,0,0,0,30,0.1,1,"B",0.4
"mixed",0.7,1,0,0,0,30,0.1,1,"B",0.4
"mixed",0.9,1,1,1,0,30,0.1,1,"B",0.4
"mixed",1,1,1,0,1,30,0.1,1,"B",0.4
"pure_straight",0.5,1,0,0,0,30,0.1,1,"B",0.4
"pure_straight",0.7,1,1,1,0,30,0.1,1,"B",0.4
"pure_straight",0.8,1,1,1,0,30,0.1,1,"B",0.4
"pure_straight",0.9,1,1,1,0,30,0.1,1,"B",0.4
"random",0.5,1,0,0,0,30,0.1,1,"B",0.4
"random",0.6,1,0,0,0,30,0.1,1,"B",0.4
"random",0.7,1,0,0,0,30,0.1,1,"B",0.4
"random",0.8,1,0,0,0,30,0.1,1,"B",0.4
"random",0.9,1,0,0,0,30,0.1,1,"B",0.4
"random",1,1,0,0,0,30,0.1,1,"B",0.4
"acquiescent",0.5,1,0,0,0,30,0.1,2,"B",0.4
"acquiescent",0.6,1,0,0,0,30,0.1,2,"B",0.4
"acquiescent",0.7,1,1,1,0,30,0.1,2,"B",0.4
"acquiescent",0.8,1,1,1,0,30,0.1,2,"B",0.4
"acquiescent",0.9,1,1,1,0,30,0.1,2,"B",0.4
"acquiescent",1,1,1,1,0,30,0.1,2,"B",0.4
"fatigue",0.6,1,0,0,0,30,0.1,2,"B",0.4
"fatigue",0.7,1,1,1,0,30,0.1,2,"B",0.4
"fatigue",0.8,1,0,1,-1,30,0.1,2,"B",0.4
"fatigue",0.9,1,0,0,0,30,0.1,2,"B",0.4
"fatigue",1,1,1,1,0,30,0.1,2,"B",0.4
"longstring",0.6,1,1,1,0,30,0.1,2,"B",0.4
"longstring",0.7,1,1,1,0,30,0.1,2,"B",0.4
"longstring",0.8,1,0,0,0,30,0.1,2,"B",0.4
"longstring",0.9,1,1,1,0,30,0.1,2,"B",0.4
"longstring",1,1,1,1,0,30,0.1,2,"B",0.4
"mixed",0.5,1,0,0,0,30,0.1,2,"B",0.4
"mixed",0.6,1,0,0,0,30,0.1,2,"B",0.4
"mixed",0.7,1,1,0,1,30,0.1,2,"B",0.4
"mixed",0.8,1,0,0,0,30,0.1,2,"B",0.4
"mixed",0.9,1,0,0,0,30,0.1,2,"B",0.4
"mixed",1,1,1,1,0,30,0.1,2,"B",0.4
"pure_straight",0.6,1,1,1,0,30,0.1,2,"B",0.4
"pure_straight",0.7,1,1,1,0,30,0.1,2,"B",0.4
"pure_straight",0.8,1,1,1,0,30,0.1,2,"B",0.4
"pure_straight",0.9,1,1,1,0,30,0.1,2,"B",0.4
"pure_straight",1,1,1,1,0,30,0.1,2,"B",0.4
"random",0.5,1,0,0,0,30,0.1,2,"B",0.4
"random",0.6,1,0,0,0,30,0.1,2,"B",0.4
"random",0.7,1,0,0,0,30,0.1,2,"B",0.4
"random",0.8,1,0,0,0,30,0.1,2,"B",0.4
"random",0.9,1,0,0,0,30,0.1,2,"B",0.4
"random",1,1,0,1,-1,30,0.1,2,"B",0.4
"acquiescent",0.6,1,1,1,0,30,0.1,4,"B",0.4
"acquiescent",0.7,1,1,0,1,30,0.1,4,"B",0.4
"acquiescent",0.8,1,1,1,0,30,0.1,4,"B",0.4
"acquiescent",0.9,1,0,0,0,30,0.1,4,"B",0.4
"acquiescent",1,1,1,1,0,30,0.1,4,"B",0.4
"fatigue",0.7,1,1,1,0,30,0.1,4,"B",0.4
"fatigue",0.8,1,1,0,1,30,0.1,4,"B",0.4
"fatigue",0.9,1,1,1,0,30,0.1,4,"B",0.4
"fatigue",1,1,1,1,0,30,0.1,4,"B",0.4
"longstring",0.5,1,0,0,0,30,0.1,4,"B",0.4
"longstring",0.6,1,1,1,0,30,0.1,4,"B",0.4
"longstring",0.7,1,0,0,0,30,0.1,4,"B",0.4
"longstring",0.9,1,1,1,0,30,0.1,4,"B",0.4
"longstring",1,1,1,1,0,30,0.1,4,"B",0.4
"mixed",0.5,1,0,0,0,30,0.1,4,"B",0.4
"mixed",0.6,1,1,0,1,30,0.1,4,"B",0.4
"mixed",0.7,1,0,0,0,30,0.1,4,"B",0.4
"mixed",0.8,1,0,0,0,30,0.1,4,"B",0.4
"mixed",0.9,1,0,0,0,30,0.1,4,"B",0.4
"mixed",1,1,0,0,0,30,0.1,4,"B",0.4
"pure_straight",0.7,1,0,0,0,30,0.1,4,"B",0.4
"pure_straight",0.8,1,1,1,0,30,0.1,4,"B",0.4
"pure_straight",0.9,1,1,1,0,30,0.1,4,"B",0.4
"pure_straight",1,1,1,1,0,30,0.1,4,"B",0.4
"random",0.5,1,0,0,0,30,0.1,4,"B",0.4
"random",0.6,1,0,0,0,30,0.1,4,"B",0.4
"random",0.7,1,0,0,0,30,0.1,4,"B",0.4
"random",0.8,1,0,0,0,30,0.1,4,"B",0.4
"random",0.9,1,0,0,0,30,0.1,4,"B",0.4
"random",1,1,1,1,0,30,0.1,4,"B",0.4
"acquiescent",0.5,1,0,1,-1,30,0.1,6,"B",0.4
"acquiescent",0.7,1,0,0,0,30,0.1,6,"B",0.4
"acquiescent",0.8,1,1,1,0,30,0.1,6,"B",0.4
"acquiescent",0.9,1,1,1,0,30,0.1,6,"B",0.4
"acquiescent",1,1,1,1,0,30,0.1,6,"B",0.4
"fatigue",0.6,1,0,0,0,30,0.1,6,"B",0.4
"fatigue",0.7,1,0,1,-1,30,0.1,6,"B",0.4
"fatigue",0.8,1,1,1,0,30,0.1,6,"B",0.4
"fatigue",0.9,1,0,0,0,30,0.1,6,"B",0.4
"fatigue",1,1,0,1,-1,30,0.1,6,"B",0.4
"longstring",0.5,1,0,0,0,30,0.1,6,"B",0.4
"longstring",0.6,1,0,0,0,30,0.1,6,"B",0.4
"longstring",0.7,1,0,0,0,30,0.1,6,"B",0.4
"longstring",0.8,1,1,1,0,30,0.1,6,"B",0.4
"longstring",0.9,1,1,1,0,30,0.1,6,"B",0.4
"mixed",0.5,1,0,0,0,30,0.1,6,"B",0.4
"mixed",0.6,1,0,0,0,30,0.1,6,"B",0.4
"mixed",0.7,1,1,0,1,30,0.1,6,"B",0.4
"mixed",1,1,0,0,0,30,0.1,6,"B",0.4
"pure_straight",0.5,1,0,0,0,30,0.1,6,"B",0.4
"pure_straight",0.6,1,0,0,0,30,0.1,6,"B",0.4
"pure_straight",0.7,1,1,1,0,30,0.1,6,"B",0.4
"pure_straight",0.8,1,1,1,0,30,0.1,6,"B",0.4
"pure_straight",1,1,1,1,0,30,0.1,6,"B",0.4
"random",0.5,1,1,1,0,30,0.1,6,"B",0.4
"random",0.6,1,1,1,0,30,0.1,6,"B",0.4
"random",0.7,1,1,1,0,30,0.1,6,"B",0.4
"random",0.8,1,1,0,1,30,0.1,6,"B",0.4
"random",0.9,1,0,0,0,30,0.1,6,"B",0.4
"random",1,1,0,1,-1,30,0.1,6,"B",0.4
"acquiescent",0.5,1,0,1,-1,30,0.1,7,"B",0.4
"acquiescent",0.6,1,0,0,0,30,0.1,7,"B",0.4
"acquiescent",0.8,1,0,0,0,30,0.1,7,"B",0.4
"acquiescent",0.9,1,1,1,0,30,0.1,7,"B",0.4
"acquiescent",1,1,1,1,0,30,0.1,7,"B",0.4
"fatigue",0.5,1,0,0,0,30,0.1,7,"B",0.4
"fatigue",0.6,1,0,0,0,30,0.1,7,"B",0.4
"fatigue",0.7,1,0,0,0,30,0.1,7,"B",0.4
"fatigue",0.8,1,1,0,1,30,0.1,7,"B",0.4
"fatigue",0.9,1,1,1,0,30,0.1,7,"B",0.4
"longstring",0.5,1,0,0,0,30,0.1,7,"B",0.4
"longstring",0.6,1,1,1,0,30,0.1,7,"B",0.4
"longstring",0.7,1,1,1,0,30,0.1,7,"B",0.4
"longstring",0.8,1,0,0,0,30,0.1,7,"B",0.4
"longstring",0.9,1,1,1,0,30,0.1,7,"B",0.4
"longstring",1,1,1,1,0,30,0.1,7,"B",0.4
"mixed",0.5,1,0,0,0,30,0.1,7,"B",0.4
"mixed",0.6,1,0,0,0,30,0.1,7,"B",0.4
"mixed",0.7,1,1,1,0,30,0.1,7,"B",0.4
"mixed",0.8,1,0,0,0,30,0.1,7,"B",0.4
"mixed",0.9,1,1,0,1,30,0.1,7,"B",0.4
"mixed",1,1,0,0,0,30,0.1,7,"B",0.4
"pure_straight",0.6,1,1,1,0,30,0.1,7,"B",0.4
"pure_straight",0.7,1,1,1,0,30,0.1,7,"B",0.4
"pure_straight",0.8,1,1,1,0,30,0.1,7,"B",0.4
"pure_straight",0.9,1,1,1,0,30,0.1,7,"B",0.4
"pure_straight",1,1,1,1,0,30,0.1,7,"B",0.4
"random",0.6,1,0,0,0,30,0.1,7,"B",0.4
"random",0.7,1,1,0,1,30,0.1,7,"B",0.4
"random",0.8,1,1,1,0,30,0.1,7,"B",0.4
"random",0.9,1,0,0,0,30,0.1,7,"B",0.4
"random",1,1,1,0,1,30,0.1,7,"B",0.4
"acquiescent",0.6,1,0,0,0,30,0.1,8,"B",0.4
"acquiescent",0.7,1,0,1,-1,30,0.1,8,"B",0.4
"acquiescent",0.8,1,0,1,-1,30,0.1,8,"B",0.4
"acquiescent",0.9,1,1,1,0,30,0.1,8,"B",0.4
"acquiescent",1,1,1,1,0,30,0.1,8,"B",0.4
"fatigue",0.5,1,0,1,-1,30,0.1,8,"B",0.4
"fatigue",0.6,1,0,0,0,30,0.1,8,"B",0.4
"fatigue",0.8,1,0,0,0,30,0.1,8,"B",0.4
"fatigue",0.9,1,0,0,0,30,0.1,8,"B",0.4
"longstring",0.5,1,0,1,-1,30,0.1,8,"B",0.4
"longstring",0.6,1,0,0,0,30,0.1,8,"B",0.4
"longstring",0.7,1,1,1,0,30,0.1,8,"B",0.4
"longstring",0.8,1,0,0,0,30,0.1,8,"B",0.4
"longstring",0.9,1,1,1,0,30,0.1,8,"B",0.4
"longstring",1,1,1,1,0,30,0.1,8,"B",0.4
"mixed",0.5,1,0,0,0,30,0.1,8,"B",0.4
"mixed",0.6,1,0,0,0,30,0.1,8,"B",0.4
"mixed",0.7,1,0,0,0,30,0.1,8,"B",0.4
"mixed",0.8,1,0,0,0,30,0.1,8,"B",0.4
"mixed",0.9,1,0,1,-1,30,0.1,8,"B",0.4
"mixed",1,1,0,0,0,30,0.1,8,"B",0.4
"pure_straight",0.5,1,1,1,0,30,0.1,8,"B",0.4
"pure_straight",0.6,1,1,1,0,30,0.1,8,"B",0.4
"pure_straight",0.7,1,1,1,0,30,0.1,8,"B",0.4
"pure_straight",0.9,1,1,1,0,30,0.1,8,"B",0.4
"pure_straight",1,1,1,1,0,30,0.1,8,"B",0.4
"random",0.5,1,0,0,0,30,0.1,8,"B",0.4
"random",0.6,1,1,0,1,30,0.1,8,"B",0.4
"random",0.7,1,0,0,0,30,0.1,8,"B",0.4
"random",0.8,1,0,0,0,30,0.1,8,"B",0.4
"random",0.9,1,0,0,0,30,0.1,8,"B",0.4
"random",1,1,0,0,0,30,0.1,8,"B",0.4
"acquiescent",0.5,1,1,1,0,30,0.1,9,"B",0.4
"acquiescent",0.6,1,0,0,0,30,0.1,9,"B",0.4
"acquiescent",0.7,1,1,1,0,30,0.1,9,"B",0.4
"acquiescent",0.9,1,1,1,0,30,0.1,9,"B",0.4
"acquiescent",1,1,1,1,0,30,0.1,9,"B",0.4
"fatigue",0.5,1,0,0,0,30,0.1,9,"B",0.4
"fatigue",0.6,1,0,0,0,30,0.1,9,"B",0.4
"fatigue",0.7,1,0,0,0,30,0.1,9,"B",0.4
"fatigue",0.9,1,0,0,0,30,0.1,9,"B",0.4
"fatigue",1,1,1,1,0,30,0.1,9,"B",0.4
"longstring",0.5,1,0,0,0,30,0.1,9,"B",0.4
"longstring",0.6,1,0,0,0,30,0.1,9,"B",0.4
"longstring",0.7,1,0,0,0,30,0.1,9,"B",0.4
"longstring",0.8,1,1,1,0,30,0.1,9,"B",0.4
"longstring",0.9,1,0,0,0,30,0.1,9,"B",0.4
"longstring",1,1,0,0,0,30,0.1,9,"B",0.4
"mixed",0.5,1,0,0,0,30,0.1,9,"B",0.4
"mixed",0.6,1,0,0,0,30,0.1,9,"B",0.4
"mixed",0.7,1,0,0,0,30,0.1,9,"B",0.4
"mixed",0.8,1,0,0,0,30,0.1,9,"B",0.4
"mixed",0.9,1,0,0,0,30,0.1,9,"B",0.4
"mixed",1,1,0,0,0,30,0.1,9,"B",0.4
"pure_straight",0.6,1,1,1,0,30,0.1,9,"B",0.4
"pure_straight",0.7,1,1,1,0,30,0.1,9,"B",0.4
"pure_straight",0.8,1,1,1,0,30,0.1,9,"B",0.4
"pure_straight",0.9,1,1,1,0,30,0.1,9,"B",0.4
"pure_straight",1,1,1,1,0,30,0.1,9,"B",0.4
"random",0.6,1,0,0,0,30,0.1,9,"B",0.4
"random",0.7,1,0,0,0,30,0.1,9,"B",0.4
"random",0.8,1,0,0,0,30,0.1,9,"B",0.4
"random",0.9,1,0,0,0,30,0.1,9,"B",0.4
"random",1,1,0,0,0,30,0.1,9,"B",0.4
"acquiescent",0.6,1,0,0,0,30,0.1,11,"B",0.4
"acquiescent",0.8,1,1,1,0,30,0.1,11,"B",0.4
"acquiescent",0.9,1,1,1,0,30,0.1,11,"B",0.4
"acquiescent",1,1,1,1,0,30,0.1,11,"B",0.4
"fatigue",0.5,1,0,0,0,30,0.1,11,"B",0.4
"fatigue",0.6,1,1,0,1,30,0.1,11,"B",0.4
"fatigue",0.7,1,1,1,0,30,0.1,11,"B",0.4
"fatigue",0.8,1,0,0,0,30,0.1,11,"B",0.4
"fatigue",0.9,1,0,0,0,30,0.1,11,"B",0.4
"fatigue",1,1,1,1,0,30,0.1,11,"B",0.4
"longstring",0.5,1,0,0,0,30,0.1,11,"B",0.4
"longstring",0.6,1,0,0,0,30,0.1,11,"B",0.4
"longstring",0.7,1,1,1,0,30,0.1,11,"B",0.4
"longstring",0.9,1,0,0,0,30,0.1,11,"B",0.4
"longstring",1,1,1,1,0,30,0.1,11,"B",0.4
"mixed",0.6,1,0,0,0,30,0.1,11,"B",0.4
"mixed",0.7,1,0,0,0,30,0.1,11,"B",0.4
"mixed",0.8,1,0,0,0,30,0.1,11,"B",0.4
"mixed",0.9,1,1,1,0,30,0.1,11,"B",0.4
"mixed",1,1,0,0,0,30,0.1,11,"B",0.4
"pure_straight",0.5,1,1,1,0,30,0.1,11,"B",0.4
"pure_straight",0.6,1,0,0,0,30,0.1,11,"B",0.4
"pure_straight",0.7,1,1,1,0,30,0.1,11,"B",0.4
"pure_straight",0.8,1,1,1,0,30,0.1,11,"B",0.4
"pure_straight",0.9,1,1,1,0,30,0.1,11,"B",0.4
"pure_straight",1,1,1,1,0,30,0.1,11,"B",0.4
"random",0.5,1,0,0,0,30,0.1,11,"B",0.4
"random",0.6,1,0,0,0,30,0.1,11,"B",0.4
"random",0.7,1,0,0,0,30,0.1,11,"B",0.4
"random",0.8,1,0,0,0,30,0.1,11,"B",0.4
"random",0.9,1,0,0,0,30,0.1,11,"B",0.4
"acquiescent",0.7,2,1,1,0,30,0.2,1,"A",0.6
"acquiescent",0.8,2,1,1,0,30,0.2,1,"A",0.6
"acquiescent",0.9,2,1,1,0,30,0.2,1,"A",0.6
"acquiescent",1,2,1,1,0,30,0.2,1,"A",0.6
"fatigue",0.7,2,0,0,0,30,0.2,1,"A",0.6
"fatigue",0.8,1,0,0,0,30,0.2,1,"A",0.6
"fatigue",0.9,2,0.5,0.5,0,30,0.2,1,"A",0.6
"fatigue",1,2,0.5,0,0.5,30,0.2,1,"A",0.6
"longstring",0.7,2,0.5,0,0.5,30,0.2,1,"A",0.6
"longstring",0.8,2,1,1,0,30,0.2,1,"A",0.6
"longstring",0.9,1,0,0,0,30,0.2,1,"A",0.6
"longstring",1,1,0,0,0,30,0.2,1,"A",0.6
"mixed",0.7,1,0,0,0,30,0.2,1,"A",0.6
"mixed",0.8,1,0,0,0,30,0.2,1,"A",0.6
"mixed",0.9,2,0,0,0,30,0.2,1,"A",0.6
"mixed",1,2,0,0,0,30,0.2,1,"A",0.6
"pure_straight",0.7,2,0.5,0.5,0,30,0.2,1,"A",0.6
"pure_straight",0.8,2,1,0.5,0.5,30,0.2,1,"A",0.6
"pure_straight",0.9,2,1,1,0,30,0.2,1,"A",0.6
"pure_straight",1,1,1,1,0,30,0.2,1,"A",0.6
"random",0.7,1,0,0,0,30,0.2,1,"A",0.6
"random",0.8,2,0,0,0,30,0.2,1,"A",0.6
"random",0.9,1,0,0,0,30,0.2,1,"A",0.6
"random",1,2,0,0,0,30,0.2,1,"A",0.6
"acquiescent",0.5,2,0,0.5,-0.5,30,0.2,1,"B",0.4
"acquiescent",0.6,1,0,1,-1,30,0.2,1,"B",0.4
"acquiescent",0.7,2,1,0.5,0.5,30,0.2,1,"B",0.4
"acquiescent",0.8,2,1,1,0,30,0.2,1,"B",0.4
"acquiescent",0.9,2,1,1,0,30,0.2,1,"B",0.4
