"config","n_features","has_RR","threshold","sens","spec","ppv","npv","bal_acc","youden_j","g_mean","f1","f2","mcc","kappa","auc","auprc"
"Full ensemble (6)",6,TRUE,0.31,0.882,0.95,0.825,0.968,0.916,0.832,0.916,0.853,0.87,0.813,0.812,0.976,0.942
"Triad: iter+IRV+D2 (3)",3,TRUE,0.325,0.855,0.951,0.822,0.961,0.903,0.805,0.901,0.838,0.848,0.794,0.793,0.968,0.927
"Without z_rr_iter_efa (5)",5,TRUE,0.345,0.832,0.95,0.817,0.955,0.891,0.782,0.889,0.824,0.829,0.777,0.777,0.964,0.917
"Without ANY z_rr (4)",4,FALSE,0.36,0.697,0.952,0.794,0.922,0.824,0.648,0.814,0.742,0.714,0.681,0.679,0.902,0.829
"Aux triad: IRV+D2+LS (3)",3,FALSE,0.2,0.699,0.951,0.792,0.922,0.825,0.65,0.815,0.743,0.716,0.681,0.679,0.891,0.826
"Aux quad: IRV+D2+LS+PT (4)",4,FALSE,0.36,0.696,0.952,0.793,0.922,0.824,0.648,0.814,0.742,0.714,0.68,0.678,0.903,0.831
"Only z_rr family (2)",2,TRUE,0.61,0.473,0.95,0.717,0.871,0.711,0.423,0.67,0.57,0.507,0.499,0.483,0.879,0.695
