"classifier","threshold","sens","spec","ppv","npv","bal_acc","youden_j","g_mean","f1","f2","mcc","kappa","auc","auprc"
"logit",0.413,0.787,0.95,0.808,0.944,0.869,0.737,0.865,0.797,0.791,0.744,0.744,0.952,0.892
"glmnet",0.411,0.788,0.95,0.808,0.944,0.869,0.738,0.865,0.798,0.792,0.745,0.745,0.952,0.892
"RF",0.31,0.881,0.95,0.826,0.968,0.916,0.832,0.915,0.853,0.869,0.812,0.812,0.976,0.942
