size,rate,rep,scenario,tau,mcc_full,f1_full,mcc_norr,f1_norr,delta_mcc,delta_f1
30,0.1,1,B,0.4,0.4462996881742806,0.47887323943661975,0.37245625622321155,0.4117647058823529,0.07384343195106907,0.06710853355426682
30,0.1,2,B,0.4,0.373252888404694,0.41666666666666663,0.373252888404694,0.41666666666666663,0.0,0.0
30,0.1,3,B,0.4,0.4254636402247493,0.4545454545454546,0.4514240892262606,0.4776119402985075,-0.025960449001511288,-0.023066485753052923
30,0.1,4,B,0.4,0.4699742031035358,0.5,0.4462996881742806,0.47887323943661975,0.023674514929255208,0.021126760563380254
30,0.1,5,B,0.4,0.4087241892257675,0.4375,0.3811410701623184,0.41269841269841273,0.02758311906344907,0.02480158730158727
30,0.1,6,B,0.4,0.42217299051361706,0.4571428571428572,0.3975679692791144,0.4347826086956522,0.024605021234502644,0.022360248447204967
30,0.1,7,B,0.4,0.45107278466925615,0.4864864864864864,0.38101167839094224,0.4225352112676056,0.07006110627831391,0.06395127521888078
30,0.1,8,B,0.4,0.25396186841726026,0.30303030303030304,0.3567118874728221,0.39999999999999997,-0.10275001905556186,-0.09696969696969693
30,0.1,9,B,0.4,0.3318911707030274,0.37681159420289856,0.3065169213068842,0.35294117647058826,0.025374249396143245,0.0238704177323103
30,0.1,10,B,0.4,0.3281040600728099,0.36923076923076925,0.3547799037191331,0.393939393939394,-0.026675843646323194,-0.024708624708624727
30,0.1,11,B,0.4,0.33918654611144194,0.38235294117647056,0.3133993896490538,0.3582089552238806,0.02578715646238816,0.024143985952589986
30,0.1,12,B,0.4,0.27285725063047184,0.31746031746031744,0.2442003542372336,0.2903225806451613,0.028656896393238235,0.027137736815156133
30,0.2,1,B,0.4,0.38170433009445925,0.4423076923076923,0.36620550971463844,0.4271844660194175,0.01549882037982081,0.015123226288274783
30,0.2,2,B,0.4,0.4221614416216194,0.4821428571428571,0.4221614416216194,0.4821428571428571,0.0,0.0
30,0.2,3,B,0.4,0.45466894736542296,0.5132743362831858,0.36937993436469496,0.42990654205607476,0.085289013000728,0.08336779422711099
