"nFactors","items_per_factor","total_items","n_respondents","pct_careless","corProp","z_threshold","is_auto_z","auto_z_value","rep_id","mcc","sensitivity","specificity","tp","tn","fp","fn","mean_z_good","mean_z_careless"
4,3,12,100,0.05,0.03,0.7,FALSE,1.02102727220309,1,0.102966230775169,1,0.294736842105263,5,56,134,0,0.105000885122608,-0.0836426009737463
4,3,12,100,0.05,0.03,1.1,FALSE,1.02102727220309,2,0.0631881355308837,1,0.115789473684211,6,22,168,0,-0.224482764818327,-0.228957629265434
4,3,12,100,0.05,0.03,2.3,FALSE,1.02102727220309,3,0,1,0,7,0,190,0,-0.267262357361126,0.66066909590243
4,3,12,100,0.05,0.03,0.9,FALSE,1.02102727220309,4,0.0842927230423525,1,0.189473684210526,6,36,154,0,-0.075323100046683,0.0305654044136091
4,3,12,100,0.05,0.03,0.3,FALSE,1.02102727220309,5,0.106787212586198,1,0.273684210526316,6,52,138,0,-0.139718999869729,-0.65270675652299
4,3,12,100,0.05,0.03,0.3,FALSE,1.02102727220309,6,0.139357972986273,1,0.357894736842105,7,68,122,0,0.0797301881098592,-0.23794754078846
4,3,12,100,0.05,0.03,0.5,FALSE,1.02102727220309,7,0.0899842541331695,1,0.210526315789474,6,40,150,0,-0.15021093010886,-0.41901780446377
4,3,12,100,0.05,0.03,0.7,FALSE,1.02102727220309,8,0.121395395733377,1,0.368421052631579,5,70,120,0,0.394182449512544,-0.340009079707768
4,3,12,100,0.05,0.03,0.7,FALSE,1.02102727220309,9,0.109585106096275,1,0.284210526315789,6,54,136,0,0.139043158927041,-0.207907738654377
4,3,12,100,0.05,0.03,0.3,FALSE,1.02102727220309,10,0.150713905929225,1,0.431578947368421,6,82,108,0,0.2472273065626,-0.483808130871733
4,3,12,100,0.05,0.05,0.7,FALSE,1.02102727220309,1,0.0978231976089037,1,0.273684210526316,5,52,138,0,0.111327803714039,-0.128248754678163
4,3,12,100,0.05,0.05,1.3,FALSE,1.02102727220309,2,0.0529812942826018,1,0.0842105263157895,6,16,174,0,-0.195233700171944,-0.24137020746442
4,3,12,100,0.05,0.05,1.9,FALSE,1.02102727220309,3,0.0194388205992236,1,0.0105263157894737,7,2,188,0,-0.253778142088061,0.678929911256726
4,3,12,100,0.05,0.05,0.7,FALSE,1.02102727220309,4,0.0899842541331695,1,0.210526315789474,6,40,150,0,-0.0774768250003023,-0.000380986904228131
4,3,12,100,0.05,0.05,0.3,FALSE,1.02102727220309,5,0.112390297389803,1,0.294736842105263,6,56,134,0,-0.125448320018903,-0.645597676511174
4,3,12,100,0.05,0.05,0.1,FALSE,1.02102727220309,6,0.111850718283973,0.857142857142857,0.442105263157895,6,84,106,1,0.0561751962437277,-0.231877561709085
4,3,12,100,0.05,0.05,0.7,FALSE,1.02102727220309,7,0.0814105663405607,1,0.178947368421053,6,34,156,0,-0.175090489364255,-0.358942307953245
4,3,12,100,0.05,0.05,0.9,FALSE,1.02102727220309,8,0.118702754686493,1,0.357894736842105,5,68,122,0,0.403242226674697,-0.275755438489117
4,3,12,100,0.05,0.05,0.5,FALSE,1.02102727220309,9,0.132453235706504,1,0.368421052631579,6,70,120,0,0.13982849975066,-0.262946154139857
4,3,12,100,0.05,0.05,0.7,FALSE,1.02102727220309,10,0.123737644977949,1,0.336842105263158,6,64,126,0,0.240825786449019,-0.377994827074237
4,3,12,100,0.05,0.1,0.7,FALSE,1.02102727220309,1,0.102966230775169,1,0.294736842105263,5,56,134,0,0.101886830581943,-0.0684180044026127
4,3,12,100,0.05,0.1,1.9,FALSE,1.02102727220309,2,0.0315789473684211,1,0.0315789473684211,6,6,184,0,-0.185135666081292,-0.1309951353868
4,3,12,100,0.05,0.1,2.3,FALSE,1.02102727220309,3,0,1,0,7,0,190,0,-0.268471330174679,0.757611966178861
4,3,12,100,0.05,0.1,0.9,FALSE,1.02102727220309,4,0.087148934066119,1,0.2,6,38,152,0,-0.05449880411215,0.029871852399432
4,3,12,100,0.05,0.1,0.3,FALSE,1.02102727220309,5,0.112390297389803,1,0.294736842105263,6,56,134,0,-0.162386448089757,-0.59564106677012
4,3,12,100,0.05,0.1,0.3,FALSE,1.02102727220309,6,0.139357972986273,1,0.357894736842105,7,68,122,0,0.0377013911480761,-0.289514838627685
4,3,12,100,0.05,0.1,0.5,FALSE,1.02102727220309,7,0.0928032337334619,1,0.221052631578947,6,42,148,0,-0.186375408000228,-0.363098090830932
4,3,12,100,0.05,0.1,0.9,FALSE,1.02102727220309,8,0.108147614087175,1,0.315789473684211,5,60,130,0,0.391829625044495,-0.217434825888235
4,3,12,100,0.05,0.1,0.5,FALSE,1.02102727220309,9,0.135411088866885,1,0.378947368421053,6,72,118,0,0.171630819822114,-0.192136478994423
4,3,12,100,0.05,0.1,0.3,FALSE,1.02102727220309,10,0.153896752812773,1,0.442105263157895,6,84,106,0,0.220506798455936,-0.447889924315869
4,3,12,100,0.1,0.03,2.1,FALSE,1.02102727220309,1,0.039096197252722,1,0.0222222222222222,13,4,176,0,-0.06492597338044,0.0817576610878972
4,3,12,100,0.1,0.03,0.5,FALSE,1.02102727220309,2,0.0553918796122581,0.818181818181818,0.288888888888889,9,52,128,2,-0.0318210269622424,-0.0955607508253781
4,3,12,100,0.1,0.03,0.7,FALSE,1.02102727220309,3,0.0890542868032858,0.909090909090909,0.255555555555556,10,46,134,1,0.182901153744933,0.019693468276576
4,3,12,100,0.1,0.03,2.1,FALSE,1.02102727220309,4,0.0691969192088249,1,0.0666666666666667,13,12,168,0,0.0108587989871262,0.0946931425477453
4,3,12,100,0.1,0.03,0.9,FALSE,1.02102727220309,5,0.125561800583481,1,0.233333333333333,10,42,138,0,0.0949004376380721,-0.487428458144135
4,3,12,100,0.1,0.03,0.1,FALSE,1.02102727220309,6,0.0455591789071652,0.727272727272727,0.366666666666667,8,66,114,3,-0.102114772023989,-0.0306005800370325
4,3,12,100,0.1,0.03,2.5,FALSE,1.02102727220309,7,0.0264906471413009,1,0.0111111111111111,12,2,178,0,-0.0920279198652427,0.388144041589634
4,3,12,100,0.1,0.03,2.3,FALSE,1.02102727220309,8,0.0494166211107401,1,0.0444444444444444,10,8,172,0,-0.0862692698475108,-0.0876451272558351
4,3,12,100,0.1,0.03,0.1,FALSE,1.02102727220309,9,0.0225013583096699,0.636363636363636,0.411111111111111,7,74,106,4,0.162125073136608,0.235168570264248
4,3,12,100,0.1,0.03,0.5,FALSE,1.02102727220309,10,0.159216187112627,1,0.311111111111111,11,56,124,0,0.0922419920708074,-0.606264731853553
4,3,12,100,0.1,0.05,2.3,FALSE,1.02102727220309,1,0.0275000661060076,1,0.0111111111111111,13,2,178,0,-0.0756048484405825,0.133119135120925
4,3,12,100,0.1,0.05,1.7,FALSE,1.02102727220309,2,0.0581059762957035,1,0.0555555555555556,11,10,170,0,-0.0283632822826364,-0.1466277345381
4,3,12,100,0.1,0.05,0.5,FALSE,1.02102727220309,3,0.0995431850663792,0.818181818181818,0.388888888888889,9,70,110,2,0.197176440095351,0.102189222557233
4,3,12,100,0.1,0.05,1.9,FALSE,1.02102727220309,4,0.0807995201765818,1,0.0888888888888889,13,16,164,0,-0.00565933878371469,-0.00201745500897573
4,3,12,100,0.1,0.05,0.5,FALSE,1.02102727220309,5,0.115942934665861,0.9,0.344444444444444,9,62,118,1,0.123159776215513,-0.459694723852818
4,3,12,100,0.1,0.05,0.1,FALSE,1.02102727220309,6,0.0404355178105394,0.727272727272727,0.355555555555556,8,64,116,3,-0.113600864948468,-0.046260428956047
4,3,12,100,0.1,0.05,2.1,FALSE,1.02102727220309,7,0.0463738895760168,1,0.0333333333333333,12,6,174,0,-0.0876800819277445,0.331111784761794
4,3,12,100,0.1,0.05,2.3,FALSE,1.02102727220309,8,0.0494166211107401,1,0.0444444444444444,10,8,172,0,-0.0980748203385496,-0.0812634895711701
4,3,12,100,0.1,0.05,0.1,FALSE,1.02102727220309,9,0.00679807117526492,0.636363636363636,0.377777777777778,7,68,112,4,0.149042783807697,0.302421759663565
4,3,12,100,0.1,0.05,0.3,FALSE,1.02102727220309,10,0.200963861004788,1,0.422222222222222,11,76,104,0,0.113903667786907,-0.637912198417238
4,3,12,100,0.1,0.1,2.1,FALSE,1.02102727220309,1,0.0275000661060076,1,0.0111111111111111,13,2,178,0,-0.0790604861941362,0.0925434010091537
4,3,12,100,0.1,0.1,0.3,FALSE,1.02102727220309,2,0.0704694574379091,0.818181818181818,0.322222222222222,9,58,122,2,-0.0635310712960666,-0.122176132312642
4,3,12,100,0.1,0.1,0.5,FALSE,1.02102727220309,3,0.0995431850663792,0.818181818181818,0.388888888888889,9,70,110,2,0.213430374025111,0.0443577524299069
4,3,12,100,0.1,0.1,1.9,FALSE,1.02102727220309,4,0.0691969192088249,1,0.0666666666666667,13,12,168,0,-0.031848084134163,0.0183056779964374
4,3,12,100,0.1,0.1,1.1,FALSE,1.02102727220309,5,0.125561800583481,1,0.233333333333333,10,42,138,0,0.135968827871569,-0.531177250835605
4,3,12,100,0.1,0.1,1.9,FALSE,1.02102727220309,6,0.0445194562183994,1,0.0333333333333333,11,6,174,0,-0.122906309770889,-0.0753275091460725
4,3,12,100,0.1,0.1,2.5,FALSE,1.02102727220309,7,0,1,0,12,0,180,0,-0.108262186249333,0.349795550916783
4,3,12,100,0.1,0.1,0.3,FALSE,1.02102727220309,8,0.0587136563951986,0.8,0.322222222222222,8,58,122,2,-0.0845288837544337,-0.122765592546964
4,3,12,100,0.1,0.1,1.5,FALSE,1.02102727220309,9,0.0150450379703621,0.909090909090909,0.111111111111111,10,20,160,1,0.11801219905419,0.244658626235428
4,3,12,100,0.1,0.1,0.1,FALSE,1.02102727220309,10,0.190823443039859,0.909090909090909,0.5,10,90,90,1,0.0988113274780928,-0.621202236464917
4,3,12,100,0.25,0.03,0.7,FALSE,1.02102727220309,1,0.0708432803590822,0.838709677419355,0.24,26,36,114,5,-0.0896565879134968,0.0238944349043145
4,3,12,100,0.25,0.03,1.5,FALSE,1.02102727220309,2,0.128078258904626,1,0.0933333333333333,29,14,136,0,-0.0142509604578601,-0.296199269818341
4,3,12,100,0.25,0.03,0.1,FALSE,1.02102727220309,3,0.0825285511248261,0.758620689655172,0.346666666666667,22,52,98,7,-0.0975920820316742,-0.348299547870117
4,3,12,100,0.25,0.03,0.9,FALSE,1.02102727220309,4,0.12651737571713,0.966666666666667,0.146666666666667,29,22,128,1,-0.196064617268755,-0.209111782318106
4,3,12,100,0.25,0.03,0.3,FALSE,1.02102727220309,5,0.0999243655580033,0.827586206896552,0.293333333333333,24,44,106,5,-0.240997807419408,-0.286420899337628
4,3,12,100,0.25,0.03,0.3,FALSE,1.02102727220309,6,0.0627898275449027,0.758620689655172,0.32,22,48,102,7,-0.0781639017589916,0.0381023911309317
4,3,12,100,0.25,0.03,0.5,FALSE,1.02102727220309,7,0.234437708061308,0.866666666666667,0.44,26,66,84,4,0.266252220559087,-0.124794385184319
4,3,12,100,0.25,0.03,2.1,FALSE,1.02102727220309,8,0.08304547985374,1,0.04,30,6,144,0,-0.104425013405873,-0.00696749810422373
4,3,12,100,0.25,0.03,1.1,FALSE,1.02102727220309,9,0.169942330905609,0.96551724137931,0.213333333333333,28,32,118,1,0.0208903357888618,-0.252795503794825
4,3,12,100,0.25,0.03,0.3,FALSE,1.02102727220309,10,0.135941324621134,0.8,0.373333333333333,24,56,94,6,-0.135577967985482,-0.220258217610751
4,3,12,100,0.25,0.05,0.5,FALSE,1.02102727220309,1,0.0918531157317619,0.838709677419355,0.266666666666667,26,40,110,5,-0.0988487892627974,-0.0178397921455085
4,3,12,100,0.25,0.05,1.3,FALSE,1.02102727220309,2,0.137758865821676,1,0.106666666666667,29,16,134,0,-0.0575396061870212,-0.321683451030034
4,3,12,100,0.25,0.05,0.1,FALSE,1.02102727220309,3,0.101804738940507,0.758620689655172,0.373333333333333,22,56,94,7,-0.0480843708744407,-0.30671054552546
4,3,12,100,0.25,0.05,1.1,FALSE,1.02102727220309,4,0.0632455532033676,0.933333333333333,0.12,28,18,132,2,-0.177577228296569,-0.175507343190668
4,3,12,100,0.25,0.05,0.5,FALSE,1.02102727220309,5,0.121883662282888,0.896551724137931,0.24,26,36,114,3,-0.268014521181353,-0.275013047545245
4,3,12,100,0.25,0.05,0.3,FALSE,1.02102727220309,6,0.11004042748191,0.793103448275862,0.346666666666667,23,52,98,6,-0.0850794798219761,0.0501871834005696
4,3,12,100,0.25,0.05,0.7,FALSE,1.02102727220309,7,0.190784569718799,0.9,0.333333333333333,27,50,100,3,0.255705816322228,-0.169007087142822
4,3,12,100,0.25,0.05,1.9,FALSE,1.02102727220309,8,0.108465228909328,1,0.0666666666666667,30,10,140,0,-0.10497839796794,0.00839645712319675
4,3,12,100,0.25,0.05,1.1,FALSE,1.02102727220309,9,0.152183908045977,0.96551724137931,0.186666666666667,28,28,122,1,0.0597242179309436,-0.26222309699156
4,3,12,100,0.25,0.05,0.3,FALSE,1.02102727220309,10,0.116961725463033,0.8,0.346666666666667,24,52,98,6,-0.157400447128177,-0.241065816127969
4,3,12,100,0.25,0.1,0.5,FALSE,1.02102727220309,1,0.0918531157317619,0.838709677419355,0.266666666666667,26,40,110,5,-0.077029188458539,-0.0074602503518476
4,3,12,100,0.25,0.1,1.3,FALSE,1.02102727220309,2,0.155944407661584,1,0.133333333333333,29,20,130,0,-0.0249736416188777,-0.331590275380801
4,3,12,100,0.25,0.1,0.1,FALSE,1.02102727220309,3,0.101804738940507,0.758620689655172,0.373333333333333,22,56,94,7,-0.0387325665447965,-0.340921879725807
4,3,12,100,0.25,0.1,1.1,FALSE,1.02102727220309,4,0.116090865053143,0.966666666666667,0.133333333333333,29,20,130,1,-0.166986681313953,-0.20204031200612
4,3,12,100,0.25,0.1,0.3,FALSE,1.02102727220309,5,0.0999243655580033,0.827586206896552,0.293333333333333,24,44,106,5,-0.277393617943304,-0.280683338604111
4,3,12,100,0.25,0.1,0.3,FALSE,1.02102727220309,6,0.0907963913067557,0.793103448275862,0.32,23,48,102,6,-0.0712470149594541,0.0454016836584718
4,3,12,100,0.25,0.1,0.3,FALSE,1.02102727220309,7,0.201210909146383,0.8,0.466666666666667,24,70,80,6,0.263897746155572,-0.161925807196372
4,3,12,100,0.25,0.1,2.1,FALSE,1.02102727220309,8,0.08304547985374,1,0.04,30,6,144,0,-0.122162308051329,0.00903470309500791
4,3,12,100,0.25,0.1,0.9,FALSE,1.02102727220309,9,0.0902819531207123,0.862068965517241,0.24,25,36,114,4,0.0574093359417712,-0.241938575293563
4,3,12,100,0.25,0.1,0.5,FALSE,1.02102727220309,10,0.125372717243782,0.833333333333333,0.32,25,48,102,5,-0.103097900530447,-0.228749861511481
4,3,12,300,0.05,0.03,1.3,FALSE,1.02102727220309,1,0.0715369619519675,1,0.143859649122807,18,82,488,0,0.0656644250711913,-0.338036240047665
4,3,12,300,0.05,0.03,0.1,FALSE,1.02102727220309,2,0.0811904885883943,0.833333333333333,0.396491228070175,15,226,344,3,-0.0271665011488352,-0.361330182107103
4,3,12,300,0.05,0.03,0.9,FALSE,1.02102727220309,3,0.0974763057447748,1,0.23859649122807,18,136,434,0,0.2191912138566,-0.515449127358017
4,3,12,300,0.05,0.03,1.1,FALSE,1.02102727220309,4,0.0712721273088393,0.941176470588235,0.23859649122807,16,136,434,1,0.266457235754709,-0.115842272434124
4,3,12,300,0.05,0.03,0.1,FALSE,1.02102727220309,5,0.0557045668637345,0.882352941176471,0.263157894736842,15,150,420,2,-0.328178770167349,-0.722979430401207
4,3,12,300,0.05,0.03,0.1,FALSE,1.02102727220309,6,0.0823266608988607,0.882352941176471,0.350877192982456,15,200,370,2,-0.100195464545637,-0.496629298290907
4,3,12,300,0.05,0.03,1.1,FALSE,1.02102727220309,7,0.0471106988968157,0.941176470588235,0.16140350877193,16,92,478,1,-0.00482112103160177,0.10302288272024
4,3,12,300,0.05,0.03,0.1,FALSE,1.02102727220309,8,0.0557926660022695,0.777777777777778,0.378947368421053,14,216,354,4,-0.0246999670387762,-0.22402381568002
4,3,12,300,0.05,0.03,0.5,FALSE,1.02102727220309,9,0.018634967991127,0.777777777777778,0.270175438596491,14,154,416,4,-0.0167751253260626,0.0226397104120441
4,3,12,300,0.05,0.03,1.3,FALSE,1.02102727220309,10,0.0828885281632464,0.944444444444444,0.266666666666667,17,152,418,1,0.487679723396223,0.0560887165557429
4,3,12,300,0.05,0.05,1.3,FALSE,1.02102727220309,1,0.0715369619519675,1,0.143859649122807,18,82,488,0,0.0684414164977555,-0.315063844930903
4,3,12,300,0.05,0.05,0.1,FALSE,1.02102727220309,2,0.0778592066195656,0.833333333333333,0.385964912280702,15,220,350,3,-0.0446739986280406,-0.327681151362523
