"";"Careless";"time_p1";"time_p2";"time_p3";"time_p4";"time_p5";"time_p6"
"454";"1";60807;52063;47390;53519;60200;65479
"455";"1";33695,56;46542,55;29252;25660;32134;29964,44
"456";"1";44565,56;46936,67;35102;36334;32988,57;40770
"457";"0";42905;45211,25;43500;55080;37511,11;55410
"458";"1";27571;38052;30448,89;33591,11;30795,56;49895
"459";"0";49718,89;64197;40121,11;37912,5;52595,56;45152
"460";"0";56813,75;43612,22;48755;40232,86;37988,75;52311
"461";"1";25025,56;21540;17881,67;18657,14;17026;21464
"462";"0";48266,5;46989;34047,78;34562;45771,25;43407
"463";"1";42710;44757;35665;37201;33449;39378
"464";"0";83698,89;88306;72722;76366,67;79171,39;89013,5
"465";"1";30742;33198;25197;29787;27177;34048,89
"466";"0";67480,95;87020,95;72054,17;68509,75;52530,2;94499,85
"467";"0";27065;55336,56;31967,78;35196;24357,78;33512,22
"468";"0";89986,4;96859,65;81363,4;70330,15;68877,4;74124
"469";"0";32183;33592;25921;31967;27108;31707,78
"470";"0";72025;90728;57754;74789,55;63935;65245
"471";"0";40930;52039;33162;38365;31416,67;42409
"472";"0";70384;64734;65133,8;64054;68394,72;65772
"473";"0";78288,89;71109;58902,86;70194,44;70057,85;73655
"474";"0";87270;80498,25;74184;71620;57240;76497
"475";"1";58142,5;57544,29;46223;36626;40745,56;50860
"476";"0";27044;22770;31547,78;40848,89;45214,55;25321,11
"477";"1";75034,29;75876,25;81719,33;67882,22;73217;78769
"478";"0";61225;57282;47061,75;41406,67;37870;47850
"479";"1";7413;5334;6464,44;5946;14753,9;6528
"480";"1";36771;36434;28443;42488;31367,5;35567
"481";"0";106152,4;115959,55;92079,35;90157,7;83617,22;108769,2
"482";"1";46392,22;48707,78;45674;51278;41005,56;57117,78
"483";"0";69145;71414;65336,75;59334;61746;74809
"484";"0";55702;60528,89;49273,75;52300;43341;57846
"485";"0";113734,5;112484,25;86290,8;78587;75730,3;87752,56
"486";"0";84294;76976,67;55073;69605;58621,43;74539,6
"487";"0";66176;60605;47120;57538;73361,43;60765
"488";"0";113511,5;120249,67;93092,67;104149,11;91954,06;101912,69
"489";"1";29333;34129;28719;29743;33930;33468
"490";"0";32573;45045,56;67734,75;43766,67;26256,67;32650
"491";"1";47276,67;40494,44;33637;38945;35842,5;41483
"492";"1";76411,25;79467;65873,33;62880;71662,56;74670
"493";"0";41980;43752,86;32876,67;31671,11;33767,78;42660
"494";"0";102677,33;111440,61;93882,67;86969,89;83350,31;96622,5
"495";"0";42712,22;39220;39434;34593;34365,56;42218,89
"496";"1";59603;62575;44695;57870;41347;51588
"497";"0";65256;79454,9;69712,75;74923,35;68199,55;88153,75
"498";"0";47916,5;70507,9;37014,44;40457;53293;41467
"499";"0";53445;28375,56;38747,8;42714;35086,65;43254
"500";"0";60728;83599,89;64659,72;50947;63842,9;70713,33
"501";"0";110250,69;109716,67;90195,44;91973,15;100316,2;102619,9
"502";"0";43663,25;44187,14;22595,56;49714,57;22716;37936,25
"503";"1";23560;14517;22892,22;34471,11;37687,5;28046
"504";"0";55094,44;62794,25;46182,22;50940;45704;51919
"505";"0";52348;77990;53095,56;59857;72799,81;86763,22
"506";"0";43121,11;38284;31238;31558;34034,44;39876
"507";"0";64786;63186,67;65107,5;54471,11;68507,78;60426
"508";"1";33267,78;26228,57;30088,57;30170;31902,22;32819
"509";"0";63915,71;77377,39;57929,69;56068,75;51630;62665,56
"510";"1";22412,22;8141;8295;7891;7568;7256
"511";"1";51318,7;39612,22;33522,5;31551,11;28556;58872,88
"512";"0";62006,25;78206;62659,75;56112;52632,22;65024,39
"513";"1";69890;76578,39;69979;66394;61172;65524
"514";"0";69961;65955;49916;61463;55054;71950
"515";"1";47230;47126,25;48341,11;46044,44;42347,78;47238,57
"516";"0";44300;41742,22;45678;40715,56;41505;43807
"517";"0";55839;71662,5;64343,45;58573,33;30728;47980
"518";"0";57979;52987,14;43402,22;54410;55338,89;54098
"519";"0";7484;6776;7127;7076;5989;8038
"520";"0";54690;48791,11;44603,75;53012;41591;51189
"521";"1";4797;4137,5;4407,78;4536,25;5405;6945
"522";"0";6449;6077;7909;6255;6815;6308
"523";"0";62422,72;56966,25;38017,14;43614,29;50168,75;60255
"524";"1";45802,5;43011,43;47736;42142,11;35431;44741
"525";"0";73521,11;87108;80468,6;74620;71842;91684,05
"526";"0";42790;57083;47304;38988;42035,56;39784
"527";"1";47442,5;43897;40603,33;42690;40442,9;49723
"528";"0";63050,44;58910;50566,25;54292,11;46803;56825
"529";"0";90771,25;89938,33;81783,14;76823,33;73080,72;79761,11
"530";"0";41367,5;56376;78341,6;82029,6;98650,65;72930
"531";"0";81889,4;72901;53620,8;48485;43435;54717
"532";"1";88529,67;113738,33;85676,8;100100,1;75557;103701,31
"533";"0";43655;35452,22;38960;39783,9;30595;46835,56
"534";"0";14868,57;25465;58654;33692,22;37929;42156,1
"535";"1";10559;9460;11359;12650;12487;31520,6
"536";"0";62703;73725,56;61624,6;63727,5;58870;77265,1
"537";"1";6292;6775;4597;6655;4965;5178
"538";"0";70115;74186;61429;69067;53013;58566
"539";"0";76518,4;119052,2;93178,2;86832,44;91299,6;113134,06
"540";"0";55595;66218,89;61165,11;64757,67;50447,78;90850,06
"541";"0";105023,4;102668,55;84857,6;74704;89063,05;91854,45
"542";"1";57758;58741,11;50226;56092;52908;61236
"543";"1";76550;85806,67;69299,6;70408;62590;80750
"544";"0";80674;65614;61412;63763;54927,2;44386,67
"545";"0";75044;78562;67601,8;80615,67;62764;70685
"546";"0";111034,7;115108,2;96772,35;98886,75;99265;119684,8
"547";"1";45768;50907;37952;36803,33;22794,44;26633,33
"548";"0";38612;49136,25;36191,11;37616,67;36034,44;37386
"549";"0";67665;60648,89;69026,25;81103,45;73495,65;58989,95
"550";"0";35000;52050;32885,56;38812;30441,11;40967,5
"551";"0";43826;44425,56;38847,5;33324;44283,33;38902,22
"552";"1";33175;38545;28843,33;4251,11;6057;7859
"553";"1";48198,89;44054,44;36722;47270;40980;44400
"554";"0";70769;74067;47762;53075;54893;59430
"555";"0";19779;31107,9;8565;9989;8448;8468
"556";"1";72955,3;72881,25;77520,22;69821,55;58466;68708,44
"557";"0";37241;36084;32035;40704,2;24733,33;32480
"558";"1";77220;72120,55;53929;54318,89;57607,78;68888
"559";"0";132105,25;132984,55;96189,28;109210,87;107882,9;107197,44
"560";"0";83326,4;81153;64744;73019;68810;81506,95
"561";"0";39556;42083;34157;31341,11;28630;36896,67
"562";"0";114714;103528,8;91766;84165,11;88911,11;93462,15
"563";"1";119656;127746,19;80818;89989,5;82072,72;101774,83
"564";"0";62197;58504,44;58137;66020,15;54711,5;65886
"565";"0";23154;29123;40345;37640;24524,44;33676
"566";"0";46776,25;43558,89;39753;37609;39157,78;46864
"567";"1";79902;77510;58214;64084,9;66398;69158
"568";"0";88798,89;76287,28;62934;78897,6;65321,45;78008,89
"569";"0";67707,4;61573;44550;44766;44934;49604
"570";"1";73932;68644;70131;70051;71229;72283,33
"571";"0";93624,4;98887,78;60303;75782,22;81363;76168
"572";"0";63246,6;61202;63585;71080,2;57418;62049
"573";"1";34658,89;34627;35961,11;36501;38094,44;33754,44
"574";"0";83046;75608;68156;64744;63609;72863,75
"575";"1";70013,4;47822;10914;11220;9631;13238,89
"576";"0";44204;46671,11;44881,6;38185;37029;42634
"577";"1";64494;67521;47636;47818,89;71183;67941,11
"578";"0";73661;85381;64571,43;58585,75;80936,17;63682,56
"579";"0";67130;70058;68514,75;62515;56311;68254
"580";"0";60598;74564,75;52345;64408,78;62630,62;88424,31
"581";"0";66345,56;67127;53324,29;55979;50789;51558,89
"582";"0";93287,4;109234;92552,85;83833,6;88082,61;111551,75
"583";"1";56148,89;50015;39203,33;44267,78;39005;49952,5
"584";"0";55839;46247;40564,44;46732;41491,11;41981
"585";"1";49495,71;56827,78;49903;52086,67;41945,71;63079,95
"586";"1";12524;11774,44;22937,78;10166;8384;10370
"587";"0";59588;67263;52013,33;54526;48480;59382,22
"588";"0";65566;63105;48810;63262,5;58840;60548
"589";"1";9473,33;6133;8527,78;4673;7325;5108
"590";"0";23532,6;18937,75;18691,75;3527,5;27901,55;30479,5
"591";"0";28245;7875;5923,33;8017,78;7060;7426
"592";"0";92324,93;76479;60698;69136,17;73373,25;79449,69
"593";"0";34876;36746;34894;33336;31002;30494
"594";"1";17448;21931;11920;11483;16398,89;10568
"595";"0";67663;62421;45303,33;54735,56;56621;60073
"596";"0";74057;74156;61645,56;56451,25;59224,33;70807
"597";"1";22723;23444;20527;11397;16130;10208
"598";"0";109181,35;91808;71822;72829,55;70416;80960,75
"599";"0";58277,78;54289;41796,25;54325,56;41880;44288,89
"600";"1";59857;62693,75;49610;64256,5;51934,56;21156,3
"601";"1";14352;11730;13193;11649;13639;12070
"602";"1";64956,7;54934,44;51607;50878,89;43106;55449
"603";"0";99510;93257;81921,55;84565;75176;86722,75
"604";"0";52547;42058;58565;63400,75;36722;39411,11
"605";"1";11141;7961,11;10697;7480;7848;6454
