"";"Careless";"time_p1";"time_p2";"time_p3";"time_p4";"time_p5";"time_p6"
"102";"0";69170;53507,78;47282,22;56862,22;52460,33;70457,5
"103";"1";61834;79958,89;50435,94;64630;73604;56432,86
"104";"0";89572,22;64525,89;64531,25;71558,33;47867,5;75171,62
"105";"0";79234,11;117899,28;64601,67;71253,62;68916,64;79012,3
"106";"1";55263,75;46201,25;37532,22;57524,9;41725;51705,56
"107";"1";55463,33;53820;45860;50505,56;42843;53325
"108";"1";59780,64;74217,86;48918,33;58500;50430;63587,17
"109";"0";57930;67971;39671;39697,78;36343,33;43865
"110";"1";38980,3;17156;26815;27390,19;19353;24319,72
"111";"0";82735,71;96123,22;71619,72;92584,56;75659,33;82398,33
"112";"0";41330;40627;33202,86;34443,75;31145;39605,56
"113";"1";38513;40991,25;30754,44;24023,33;45270;62205,72
"114";"1";87727,7;96500;80765,83;74174,33;71110,3;96869,25
"115";"0";74801,78;84798;44407,25;43696,67;72929,17;54605
"116";"0";26717;21425;23843,33;16670;17692;8839
"117";"0";56878,4;48223;45824;56498;68222,8;54741
"118";"1";65887,78;65126,67;50287;58286,17;51286,3;45956,67
"119";"1";29447;17161;14306;17566;13311;14820
"120";"0";43271;36962,5;38648,89;40981,11;28718,89;34751,43
"121";"0";69446;52520;43942,86;44638,57;47768,89;49653,75
"122";"0";38987,78;43126,67;38429;30918,57;35591;48597,5
"123";"0";55560;43478;42334,44;47020;50328,75;54045,56
"124";"1";104964,56;111664,31;78307,5;75098,79;61934,31;99415,33
"125";"1";35468,75;33437,78;29843,33;31738,33;32486;39734,44
"126";"0";80906;115597,3;61014,29;71272,11;63885,55;64375
"127";"1";6293;5448;5015;8704;9595,56;7328,89
"128";"0";42670;42678,89;31924,29;37961,25;43310;52072
"129";"0";63742;61523;40116;50174;51612;56682,3
"130";"1";68492;67968;58263,75;57216,67;57995,56;63327,95
"131";"0";67031,2;59101,43;54055;61225;56243,94;55291,28
"132";"0";34917,14;29918,89;23250;24955,56;26571,11;36895,71
"133";"0";52591,11;63436,67;47647,5;53454;53200;57995,56
"134";"1";70302;66137,55;46755;53812;54026;62015
"135";"0";74069;83321,67;71144,4;47924,44;48968;50539
"136";"0";55371,11;48697;41331;47856,25;45178,89;47790
"137";"0";61988;44715,56;46297;46732;38600;56543
"138";"1";34016,29;27472,5;12064;6200;6654;7348,57
"139";"1";98195,67;109225,25;85934,25;87389,75;75267,3;108951,56
"140";"0";90048,65;63108,89;68749,56;67377,83;73202;69828
"141";"1";66374;81694,75;60471,6;53096,67;59692;46154
"142";"0";46370;53273,33;35242;37046,67;34635;43184
"143";"1";70202,67;83104,5;63638,6;68701,11;62880;70006
"144";"0";51913;58237,5;49898,75;45702,5;42955;62485
"145";"0";58141,25;57053,75;46037,14;48755,71;41777,5;62845
"146";"0";69294,44;80593,33;52827,14;74478,2;64512,83;87876,72
"147";"1";50386,67;54073;55230;43093,33;52450;51219
"148";"1";8635;6571;6858;9443;8913,33;8727,78
"149";"0";58378,89;68050;60865,75;48185;57543,72;51911,43
