"";"CASE";"IN01_CP";"IN01";"IN02";"IN05";"IN05_01";"IN06";"IN06_01";"IN06_02";"IN06_03";"IN06_04";"IN08";"IN08_01";"IN08_02";"IN08_03";"IN08_04";"sex";"age";"SO04";"SO06";"HE01_01";"HE01_02";"HE01_03";"HE01_04";"HE01_05";"HE01_06";"HE01_07";"HE01_08";"HE01_09";"HE01_10";"HE01_11";"HE01_12";"HE01_13";"HE01_14";"HE01_15";"HE01_16";"HE01_17";"HE01_18";"HE01_19";"HE01_20";"HE01_21";"HE01_22";"HE01_23";"HE01_24";"HE01_25";"HE01_26";"HE01_27";"HE01_28";"HE01_29";"HE01_30";"HE01_31";"HE01_32";"HE01_33";"HE01_34";"HE01_35";"HE01_36";"HE01_37";"HE01_38";"HE01_39";"HE01_40";"HE01_41";"HE01_42";"HE01_43";"HE01_44";"HE01_45";"HE01_46";"HE01_47";"HE01_48";"HE01_49";"HE01_50";"HE01_51";"HE01_52";"HE01_53";"HE01_54";"HE01_55";"HE01_56";"HE01_57";"HE01_58";"HE01_59";"HE01_60";"HE04_01";"HE04_02";"HE04_03";"HE04_04";"HE04_05";"HE04_06";"HE04_07";"HE04_08";"HE04_09";"HE04_10";"HE04_11";"HE04_12";"HE04_13";"HE04_14";"HE04_15";"HE04_16";"HE04_17";"HE04_18";"HE04_19";"HE04_20";"HE04_21";"HE04_22";"HE04_23";"HE04_24";"HE04_25";"HE04_26";"HE04_27";"HE04_28";"HE04_29";"HE04_30";"HE04_31";"HE04_32";"HE04_33";"HE04_34";"HE04_35";"HE04_36";"HE04_37";"HE04_38";"HE04_39";"HE04_40";"HE04_41";"HE04_42";"HE04_43";"HE04_44";"HE04_45";"HE04_46";"HE04_47";"HE04_48";"HE04_49";"HE04_50";"HE04_51";"HE04_52";"HE04_53";"HE04_54";"HE04_55";"HE04_56";"HE04_57";"HE04_58";"HE04_59";"HE04_60";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME007";"TIME008";"TIME009";"TIME010";"TIME011";"TIME012";"LASTPAGE"
"195";"752";"64";"1";NA;"1";"2";"1";"2";"1";"1";"1";NA;NA;NA;NA;NA;"1";29;"1";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"18";"6";"15";"17";NA;NA;NA;NA;NA;NA;NA;NA;"4"
"196";"753";"65";"2";"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";24;"1";"1";"5";"1";"5";"1";"5";"1";"5";"1";"5";"5";"4";"5";"5";"5";"1";"1";"1";"1";"1";"1";"1";"4";"5";"5";"5";"5";"5";"5";"1";"5";"5";"5";"5";"1";"5";"1";"1";"1";"5";"1";"1";"5";"5";"5";"1";"1";"5";"1";"1";"1";"5";"5";"1";"1";"5";"5";"1";"1";"1";"5";"6300";"1718";"3046";"1651";"865";"823";"1173";"1120";"995";"5003";"6164";"6196";"7003";"3379";"3251";"1538";"591";"590";"884";"407";"2508";"4600";"4992";"4601";"2980";"4297";"1468";"3788";"4669";"1272";"5392";"4517";"2856";"3327";"4940";"5230";"5043";"4017";NA;"917";"7494";"3856";NA;"515";"3650";"3065";"3587";"5087";"2426";"1579";"6957";"2229";"3376";NA;"2898";"9472";"5166";"4613";"13076";"6124";"3";"10";"18";"93";"24";"31";"40";"49";"43";"64";"12";"13";"12"
"197";"755";"65";"3";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"2";38;"1";"3";"3";"4";"2";"3";"4";"4";"5";"5";"4";"2";"5";"2";"4";"4";"1";"3";"3";"2";"2";"3";"1";"3";"1";"1";"4";"3";"2";"3";"4";"2";"1";"3";"3";"2";"1";"2";"3";"3";"4";"1";"4";"2";"4";"3";"2";"3";"3";"2";"4";"1";"2";"2";"2";"5";"1";"4";"1";"1";"2";"2";"4369";"3471";"8186";"1539";"5401";"11503";"4136";"5473";"4757";"3041";"6770";"4224";"3247";"4387";"2786";"3806";"3716";"3723";"4710";"2662";"4019";"1362";"2138";NA;"4779";"5110";"3571";"2100";"15611";"4062";"3693";"2175";"6591";"2312";"3263";"2704";"5121";"9292";"3979";"2947";"8022";"2344";"5421";"4995";"4116";"3980";"6667";"797";NA;"3317";"7575";"2805";"4981";"9047";"5666";"4886";"4978";"7023";"3165";"3871";"6";"6";"22";"52";"54";"41";"49";"44";"48";"56";"22";"29";"12"
"198";"758";"65";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";29;NA;"3";"4";"3";"1";"4";"3";"3";"3";"4";"2";"2";"5";"4";"4";"4";"5";"4";"3";"2";"4";"2";"4";"5";"4";"1";"2";"2";"2";"2";"2";"4";"2";"2";"4";"2";"2";"4";"4";"4";"3";"2";"2";"4";"4";"2";"2";"2";"5";"3";"3";"3";"3";"2";"2";"4";"3";"3";"3";"2";"2";"2";"5698";"3932";"6344";"4108";"6317";NA;"3774";"4279";NA;"3752";"5721";"7814";"17786";"6452";"3661";"5772";NA;"4188";"8633";"4352";"4374";"1854";"7332";"4572";"6131";"6935";"5810";"5053";"5605";"5333";"5405";"3538";"3585";"3667";"4168";"9883";"5348";"3816";"33854";"4717";"8588";"3230";"4665";"7319";"3382";"4134";"4719";"9734";"4018";"3281";"7093";"3448";"3771";NA;NA;"11753";"4817";"11404";"9549";"5499";"6";"14";"11";"43";"55";"73";"54";"79";"54";"71";"65";"37";"12"
"199";"759";"66";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";25;"1";"1";"3";"4";"1";"4";"4";"3";"2";"4";"3";"2";"1";"1";"5";"1";"4";"2";"5";"4";"2";"2";"1";"4";"5";"1";"5";"2";"2";"3";"4";"3";"4";"3";"4";"3";"1";"1";"3";"4";"2";"3";"1";"2";"4";"2";"3";"3";"4";"1";"1";"3";"3";"3";"2";"4";"4";"3";"2";"3";"2";"1";"55647";"8817";NA;"8848";"35481";"11069";"9114";"152876";"8197";"14069";"71751";NA;NA;NA;"5659";"14151";"20978";"13934";"41676";"10146";NA;"53716";"6323";"6562";"15546";"104284";"36279";NA;"10133";NA;NA;"9998";"118609";"11238";NA;"6257";"27032";"10422";"13817";NA;"7279";"11374";"20240";"6435";NA;"25770";"7986";"7746";"33592";"5837";"14429";NA;"11234";NA;"12841";"15357";"8742";NA;"9578";NA;"11";"27";"18";"32";"315";"241";"370";"242";"138";"260";"84";"29";"12"
"200";"766";"66";"3";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";30;"1";"2";"2";"5";"2";"3";"2";"2";"5";"4";"2";"2";"5";"4";"5";"2";"5";"1";"5";"4";"2";"4";"1";"2";"5";"2";"4";"1";"2";"2";"5";"2";"1";"2";"4";"2";"2";"2";"5";"5";"3";"2";"2";"2";"5";"2";"2";"2";"5";"2";"5";"4";"2";"4";"1";"2";"1";"2";"2";"3";"1";"2";"16088";"7365";"8605";"9882";"8581";"14098";"7472";"6074";"5569";"13952";"14643";"12550";"7545";"7630";"4177";NA;"6833";"6860";"7278";"9175";"4846";"3810";"4882";"5965";"9621";"6026";"8518";"7339";"7663";"9764";"7750";"4094";"6363";"4579";"7890";"6090";"5242";"5392";"21509";"6952";"6686";"8691";"5749";"8391";"4790";"6957";"7401";"7038";"4049";"4140";"7040";"7060";"6121";"7508";"3983";"9929";"8219";"7251";"5485";"7030";"4";"4";"23";"56";"99";"88";"71";"78";"65";"71";"17";"8";"12"
"201";"767";"66";"2";"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";22;"1";"1";"2";"3";"1";"3";"4";"3";"4";"2";"2";"1";"4";"4";"5";"2";"4";"5";"4";"3";"1";"3";"2";"5";"5";"3";"2";"4";"2";"2";"2";"1";"4";"4";"4";"4";"1";"4";"3";"4";"2";"4";"3";"3";"5";"3";"2";"2";"4";"4";"1";"3";"2";"2";"3";"4";"1";"3";"2";"4";"1";"4";"9393";"6165";"6838";NA;"8079";"7201";"6798";"4883";"6028";"3276";"7132";"6369";"7853";NA;"4691";"6802";"5049";"5067";"11935";"6065";"4723";"3575";"3081";"3762";NA;"3741";"6829";"3666";"8297";"9114";"6388";NA;"4661";"9300";NA;NA;"11329";"3298";"9390";"4438";NA;"6857";"4230";"5051";"5639";NA;NA;"5084";NA;NA;"6712";"3711";"4086";NA;"4112";"6980";NA;"9352";"7834";"8686";"6";"5";"20";"57";"70";"74";"56";"76";"69";"72";"34";"43";"12"
"202";"768";"67";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";25;"1";"1";"1";"4";"1";"3";"5";"3";"4";"3";"2";"4";"4";"2";"5";"2";"2";"2";"5";"2";"2";"2";"2";"2";"3";"2";"4";"2";"2";"4";"4";"4";"3";"2";"4";"2";"1";"2";"3";"3";"1";"2";"1";"4";"4";"2";"4";"5";"5";"1";"4";"4";"2";"3";"2";"4";"1";"2";"3";"1";"4";"1";"9059";NA;"8856";"5977";NA;"31534";"10851";"5013";NA;"5359";"9272";"6816";"15171";"11706";"9425";"8361";"4470";"7963";"32712";"11449";"3406";"3826";"5027";"3964";"14356";"4712";"11106";"3339";NA;"8981";"23784";"7942";"8470";"4170";NA;"20528";"18782";"4727";"15576";"7457";"17344";"7838";"3947";"4492";"8950";"5229";"5637";"7265";"7099";"4489";"7042";"4115";"4028";NA;"7317";"6984";"6954";"6614";NA;"11196";"2";"10";"13";"21";"110";"119";"93";"128";"73";"73";"23";"15";"12"
"203";"769";"67";"3";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"2";48;"1";"6";"4";"3";"1";"4";"3";"4";"3";"4";"3";"2";"3";"4";"2";"2";"2";"2";"3";"4";"4";"2";"3";"4";"3";"3";"2";"2";"2";"2";"4";"3";"4";"2";"4";"4";"2";"1";"3";"3";"4";"2";"4";"2";"3";"2";"3";"4";"4";"2";"4";"2";"2";"1";"4";"4";"5";"2";"2";"2";"2";"2";NA;"2877";"13302";NA;"3815";"6431";"5443";"4083";"3259";"3185";"8903";"4316";"3717";"4598";"3983";"5747";"3670";"2978";"4111";"2898";"2572";"3123";"3588";"2705";"10855";"3483";"5964";NA;"6480";"4329";"4395";"2390";"3028";"3670";"5485";"3075";"3694";"3421";"3716";"3036";"4986";"2829";"2266";"6714";"3620";"3234";"4539";"3093";"3255";"4010";"5877";"3209";"5423";"7235";"3977";"4967";"3389";"3960";"4035";"4748";"8";"4";"57";"57";"56";"48";"50";"42";"41";"48";"9";"4";"12"
"204";"770";"67";"2";"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";18;"1";"1";"2";"4";"2";"4";"2";"4";"3";"4";"1";"1";"5";"4";"4";"1";"1";"5";"5";"3";"1";"2";"1";"4";"4";"4";"2";"1";"1";"2";"4";"2";"4";"1";"4";"3";"2";"3";"4";"5";"3";"5";"1";"3";"4";"2";"4";"2";"5";"2";"4";"4";"2";"3";"2";"2";"3";"2";"1";"4";"1";"4";NA;"10229";NA;"4477";NA;"10258";"5141";"9386";"5942";"4746";"8465";"9689";NA;"13269";"3377";"13505";"7396";"3678";"11869";"6636";"12457";"2925";"4511";"4497";"5678";"6355";"6956";"9771";"3926";"7211";"6333";"3446";"4089";"5393";"4577";"5475";"5152";"5944";"7726";"4151";"10051";"5394";"4281";"5120";"3037";"4672";NA;"5528";"3750";"3289";"5581";"5397";"3867";"6084";"4734";"18769";NA;NA;"6283";"8332";"13";"14";"18";"67";"90";"87";"65";"53";"53";"73";"28";"28";"12"
