"";"CASE";"IN01_CP";"IN01";"IN02";"IN05";"IN05_01";"IN06";"IN06_01";"IN06_02";"IN06_03";"IN06_04";"IN08";"IN08_01";"IN08_02";"IN08_03";"IN08_04";"sex";"age";"SO04";"SO06";"HE01_01";"HE01_02";"HE01_03";"HE01_04";"HE01_05";"HE01_06";"HE01_07";"HE01_08";"HE01_09";"HE01_10";"HE01_11";"HE01_12";"HE01_13";"HE01_14";"HE01_15";"HE01_16";"HE01_17";"HE01_18";"HE01_19";"HE01_20";"HE01_21";"HE01_22";"HE01_23";"HE01_24";"HE01_25";"HE01_26";"HE01_27";"HE01_28";"HE01_29";"HE01_30";"HE01_31";"HE01_32";"HE01_33";"HE01_34";"HE01_35";"HE01_36";"HE01_37";"HE01_38";"HE01_39";"HE01_40";"HE01_41";"HE01_42";"HE01_43";"HE01_44";"HE01_45";"HE01_46";"HE01_47";"HE01_48";"HE01_49";"HE01_50";"HE01_51";"HE01_52";"HE01_53";"HE01_54";"HE01_55";"HE01_56";"HE01_57";"HE01_58";"HE01_59";"HE01_60";"HE04_01";"HE04_02";"HE04_03";"HE04_04";"HE04_05";"HE04_06";"HE04_07";"HE04_08";"HE04_09";"HE04_10";"HE04_11";"HE04_12";"HE04_13";"HE04_14";"HE04_15";"HE04_16";"HE04_17";"HE04_18";"HE04_19";"HE04_20";"HE04_21";"HE04_22";"HE04_23";"HE04_24";"HE04_25";"HE04_26";"HE04_27";"HE04_28";"HE04_29";"HE04_30";"HE04_31";"HE04_32";"HE04_33";"HE04_34";"HE04_35";"HE04_36";"HE04_37";"HE04_38";"HE04_39";"HE04_40";"HE04_41";"HE04_42";"HE04_43";"HE04_44";"HE04_45";"HE04_46";"HE04_47";"HE04_48";"HE04_49";"HE04_50";"HE04_51";"HE04_52";"HE04_53";"HE04_54";"HE04_55";"HE04_56";"HE04_57";"HE04_58";"HE04_59";"HE04_60";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME007";"TIME008";"TIME009";"TIME010";"TIME011";"TIME012";"LASTPAGE"
"1";"401";"0";"3";NA;"1";"2";"1";"1";"1";"2";"1";NA;NA;NA;NA;NA;"1";35;"1";"3";"2";"2";"2";"3";"2";"2";"4";"4";"3";"2";"4";"4";"2";"3";"2";"2";"2";"2";"4";"4";"1";"3";"2";"1";"4";"4";"2";"3";"2";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"6914";"7023";"6314";"2855";"6077";"8431";"4406";"7896";"4049";"3405";"7091";"4211";"5567";"9020";"4705";"6321";"5259";"6038";"8019";"3361";"5044";"3159";"4704";"4842";"6076";"3832";"6328";"3354";"7010";"6584";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"4";"12";"39";"59";"60";"52";NA;NA;NA;NA;NA;"7"
"2";"403";"0";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";50;"1";"5";"1";"5";"1";"5";"2";"4";"4";"5";"1";"4";"5";"1";"3";"1";"2";"2";"1";"4";"5";"5";"1";"3";"5";"1";"5";"2";"5";"2";"5";"1";"3";"1";"4";"2";"2";"5";"5";"5";"1";"2";"5";"4";"5";"1";"5";"5";"5";"1";"5";"4";"3";"4";"2";"5";"3";"4";"1";"2";"1";"1";"16085";NA;"27378";"5303";"7345";NA;"33385";"12321";"12449";"7904";"15883";"5015";"9089";"6736";"8839";"10474";"8865";"7576";"10640";"6169";"6049";"4968";"5545";NA;"7441";"7376";"13736";"6665";"3632";"6657";"11533";"5439";"4496";"6648";"9281";"5504";"6345";"4808";"6896";"6144";"9046";"12544";"3183";"8865";"10297";"8920";"6039";"4729";"5096";"4585";"12517";"9296";"5927";"5937";"5856";"11601";"7952";"7921";"6528";"7071";"9";"24";"26";"17";"162";"92";"72";"69";"75";"82";"17";"4";"12"
"3";"405";"0";"2";NA;"1";"2";"1";"1";"2";"1";"1";NA;NA;NA;NA;NA;"1";26;"1";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"3";"19";"43";NA;NA;NA;NA;NA;NA;NA;NA;"4"
"4";"406";"1";"2";"2";"1";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";23;"1";"1";"3";"5";"2";"1";"2";"3";"4";"5";"2";"3";"5";"2";"4";"2";"4";"3";"2";"2";"3";"3";"2";"1";"2";"4";"4";"1";"3";"3";"2";"3";"4";"2";"4";"3";"1";"5";"3";"4";"3";"3";"5";"4";"3";"1";"4";"3";"4";"3";"4";"4";"3";"5";"4";"4";"3";"2";"2";"3";"2";"2";"7500";"4418";"3302";"2148";"3798";"6255";"2492";"3877";"3406";"1597";"4327";"3727";"3462";"2841";NA;"4334";NA;"3101";"4205";"2025";NA;"777";"3192";NA;NA;NA;"4574";"3307";"2250";"3392";"3214";NA;"3627";"2548";"2668";"4983";"4493";"4055";NA;NA;"5140";"2542";"2875";"1713";"3829";NA;NA;"409";NA;"1986";"2997";"3156";NA;"7475";"2233";"3694";NA;"3244";"3857";NA;"9";"4";"14";"45";"39";"38";"35";"38";"31";"43";"17";"22";"12"
"5";"407";"1";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";26;"1";"3";"1";"3";"2";"3";"4";"2";"4";"4";"4";"2";"4";"2";"2";"4";"4";"5";"4";"4";"2";"2";"2";"3";"5";"1";"4";"2";"2";"3";"5";"1";"2";"2";"2";"4";"2";"4";"3";"5";"1";"2";"2";"3";"4";"2";"2";"4";"5";"2";"4";"2";"3";"3";"2";"4";"2";"2";"2";"4";"1";"2";"7346";"4741";"9413";"7120";"7831";"10389";"8673";"10226";"8616";"4005";"6129";"5501";"7036";"5360";"2450";"12772";"5992";"3315";"6200";"5566";"2428";"5099";"3281";NA;"5150";"5791";"4419";"4378";"4466";"4617";"4456";NA;"6132";"3512";"4408";"5190";"6324";"4044";"5135";"3625";"9623";NA;"3509";"3550";"5480";"3357";"6713";"4253";"3470";"2495";"5077";"4108";"2923";"20136";"2743";"4294";"3833";"5699";"6112";"5156";"13";"21";"30";"48";"80";"62";"46";"51";"48";"61";"33";"13";"12"
"6";"408";"1";"3";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";31;"2";"4";"5";"3";"2";"4";"3";"3";"1";"4";"2";"4";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"1107";"1394";NA;"2338";"2153";"486";"8010";"3768";"1634";"549";"1552";"748";"405";"1732";"765";"520";"564";"1021";"979";"1554";"814";"439";"599";"470";"507";"921";"438";"548";"916";"462";"1083";"436";"500";"534";"817";"1565";"517";"766";"482";"540";"632";"1531";"488";"482";"645";"781";"766";"506";"587";"808";"1318";"456";"426";"415";"1099";"724";"495";"536";"635";"795";"13";"3";"17";"32";"57";"11";"8";"8";"9";"9";"7";"5";"12"
"7";"411";"2";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";24;"1";"1";"5";"5";"4";"4";"1";"4";"5";"1";"2";"2";"4";"1";"1";"2";"1";"1";"2";"2";"3";"1";"2";"5";"3";"1";"1";"2";"2";"2";"1";"1";"3";"2";"3";"1";"2";"4";"1";"4";"1";"3";"5";"4";"2";"1";"3";"3";"4";"1";"1";"4";"4";"1";"4";"5";"5";"1";"1";"1";"2";"1";"4332";"3065";"10227";"2170";"2421";"3909";"2289";"12167";"2557";NA;"3796";"3838";"1796";"9470";"2498";NA;NA;"2329";"4390";"2710";"2551";"4109";"7050";"3686";"7009";"2149";NA;"3043";NA;"2778";"18758";"2413";"2634";"1915";"2065";"2922";"2286";NA;"3464";"1832";"6143";"3143";"3467";"3443";"2341";"2081";"4263";"3067";"1002";"1435";"4124";"1622";"1940";"8656";"1832";"7702";"4854";"2538";NA;"2921";"9";"3";"11";"17";"47";"40";"44";"45";"31";"40";"7";"7";"12"
"8";"417";"2";"3";NA;"1";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2";22;"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"68";"72";"403";NA;NA;NA;NA;NA;NA;NA;NA;NA;"3"
"9";"420";"2";"2";"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"2";22;"1";"3";"2";"4";"4";"4";"5";"5";"3";"4";"3";"3";"2";"2";"4";"2";"4";"5";"2";"4";"4";"2";"2";"4";"2";"2";"4";"2";"4";"2";"4";"3";"2";"3";"5";"3";"3";"4";"3";"4";"4";"3";"4";"3";"5";"3";"5";"4";"2";"3";"4";"2";"5";"2";"4";"3";"2";"3";"2";"2";"4";"2";"82599";"4933";"6610";"3600";"7615";"5552";"3697";"3223";"3913";"2392";"60127";"5783";NA;"2525";NA;"5719";"2184";"3680";"4511";"5664";"32772";"3574";NA;"8130";"2973";"2680";"6417";"2736";"3177";"6919";"211006";"4912";"2656";"2967";"2271";"4231";"5351";"5641";"7000";"3681";"44811";"4871";"3303";"7585";"3639";"7175";"6545";"17168";"2360";"4272";"48111";"5311";"3041";NA;"5021";"3464";"4680";"4767";"4265";NA;"139";"50";"200";"338";"131";"105";"80";"253";"106";"101";"127";"58";"12"
"10";"424";"3";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";24;"1";"1";"2";"1";"3";"3";"2";"2";"4";"2";"5";"4";"5";"2";"4";"1";"5";"1";"4";"4";"2";"3";"3";"2";"5";"2";"4";"4";"3";"4";"2";"2";"3";"4";"2";"2";"1";"1";"4";"5";"2";"1";"1";"2";"5";"2";"2";"3";"4";"3";"2";"4";"1";"5";"1";"4";"2";"5";"3";"2";"1";"1";"7235";"10039";"6047";"3371";"3902";"6492";"4588";"5210";"4847";"3024";"7144";NA;"5899";"6049";"2540";"5547";"3818";"5330";"9028";"3157";"4587";"2789";"3301";"3924";"3106";NA;"4442";"2782";NA;"6328";"6993";"4904";"5846";"5904";"3050";"9960";"5109";"4271";"8516";"4961";"11188";"4430";"3075";NA;"5470";"4105";"4761";"4484";"3588";"3245";"3800";"2905";"3315";"6314";"2584";"7249";"5552";"5612";"7911";"3443";"4";"4";"14";"12";"56";"58";"43";"60";"52";"52";"41";"11";"12"
"11";"425";"3";"2";NA;"1";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";22;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"2";"6";"13";NA;NA;NA;NA;NA;NA;NA;NA;"4"
"12";"426";"3";"3";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";22;"1";"1";"3";"2";"1";"3";"4";"2";"4";"3";"1";"2";"5";"2";"3";"3";"4";"4";"4";"3";"3";"3";"2";"4";"4";"2";"2";"4";"4";"3";"4";"2";"4";"4";"4";"3";"2";"2";"3";"4";"3";"4";"2";"4";"3";"2";"2";"2";"4";"2";"1";"2";"2";"2";"2";"2";"4";"3";"3";"3";"1";"2";"7066";"21564";NA;"1801";"4944";"13268";"6308";"7154";NA;"4106";NA;"6867";"17402";"7610";"4688";"7078";"4658";"15952";"23875";"69679";"3927";"9962";"4037";"63290";"22804";"9485";NA;"2798";"3714";"7446";NA;"8851";"17752";NA;"3635";NA;"4034";"4338";NA;"4511";"20366";NA;"11383";"4685";"37177";"11345";"13883";NA;"2652";"2878";"4472";"2667";"3680";"16136";NA;"18971";"5444";NA;"17931";"12685";"2";"2";"14";"60";"82";"184";"158";"80";"129";"98";"12";"18";"12"
"13";"427";"4";"2";"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";22;"1";"1";"5";"2";"2";"4";"1";"2";"1";"5";"4";"4";"3";"3";"1";"2";"3";"4";"4";"4";"2";"2";"4";"4";"2";"1";"2";"3";"1";"4";"4";"4";"2";"2";"2";"1";"1";"5";"4";"1";"2";"3";"3";"2";"2";"5";"5";"1";"4";"5";"4";"3";"3";"2";"3";"2";"2";"3";"1";"3";"5";"3";"5426";"7627";"5865";"4957";"6656";"1324";"488";"869";"1521";"1168";"1217";"961";"942";"1426";"1003";"1533";"799";"1155";"1371";"1495";"1088";"905";"865";"1515";"567";"1071";NA;"1250";"1174";"1130";"998";"976";"1003";"1148";"1364";"670";"1219";"1235";"866";"1662";"921";"1192";"1220";"686";"1761";"1656";"1210";"568";"1183";"884";"897";"1456";"574";"1117";"1145";"849";"954";"702";"1191";"870";"4";"4";"11";"86";"37";"14";"13";"13";"12";"11";"31";"27";"12"
"14";"429";"4";"3";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";24;"1";"1";"4";"2";"4";"4";"2";"3";"1";"4";"1";"3";"5";"4";"1";"3";"5";"4";"5";"1";"5";"4";"1";"4";"4";"2";"3";"4";"3";"2";"4";"4";"4";"2";"4";"3";"1";"4";"4";"5";"5";"3";"3";"4";"3";"4";"4";"2";"5";"2";"5";"5";"4";"4";"2";"2";"4";"4";"4";"3";"1";"4";"3989";"2930";"4110";"2669";"4195";NA;"3799";"2967";NA;"1995";"3361";"2720";"3972";"6018";"2070";"4288";"1802";"1927";"2357";"3039";"1620";NA;"3097";"1717";NA;"1411";NA;"3307";"865";"1595";"2525";NA;"1342";NA;NA;"1365";"2584";"2275";"4262";"3431";"4965";"1599";NA;"1628";"1924";NA;"1540";NA;"1968";"1628";"3253";"1727";"2456";"2883";"1505";"2259";"2528";NA;"1902";NA;"3";"4";"10";"63";"41";"32";"26";"33";"26";"28";"7";"8";"12"
"15";"430";"4";"1";NA;"1";"2";"1";"2";"1";"1";"1";NA;NA;NA;NA;NA;"2";25;"2";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"3";"20";"49";NA;NA;NA;NA;NA;NA;NA;NA;"4"
"16";"431";"5";"3";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";24;"1";"1";"2";"3";"3";"2";"2";"1";"4";"4";"5";"4";"5";"1";"5";"3";"4";"3";"5";"4";"3";"3";"1";"3";"3";"1";"5";"4";"2";"4";"4";"3";"3";"3";"4";"4";"2";"5";"4";"4";"2";"3";"3";"3";"4";"4";"1";"2";"4";"3";"2";"5";"4";"4";"2";"5";"1";"2";"1";"2";"1";"1";NA;"3420";NA;"6372";"5090";"5667";"2505";NA;"3795";"4136";"10021";"3604";"5207";"5648";"2379";"4808";"4061";"3280";NA;NA;"2781";NA;NA;"7422";NA;NA;"6728";NA;"4539";"9405";NA;"4428";"20752";"4489";"3120";"4664";"3331";"4165";"6650";"5119";"8175";"4496";"2257";"7083";"3910";"19739";NA;NA;NA;"2548";"15290";"1964";"4058";NA;"3026";"6711";"4983";NA;NA;"8452";"2";"4";"12";"85";"62";"63";"82";"64";"73";"72";"11";"22";"12"
"17";"432";"5";"2";"2";"1";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"2";22;"1";"1";"2";"3";"2";"2";"1";"2";"5";"3";"3";"4";"2";"5";"5";"2";"3";"1";"2";"2";"3";"2";"3";"3";"1";"4";"5";"2";"2";"3";"2";"2";"2";"2";"3";"2";"3";"2";"4";"4";"3";"2";"5";"3";"4";"2";"3";"3";"2";"3";"1";"3";"2";"2";"4";"3";"2";"3";"3";"3";"5";"4";"7253";"4800";"4385";NA;"3750";"7361";"4599";"6531";"5069";"3115";"6633";"5096";"5551";"4161";"3201";"5906";NA;"3585";"6438";"4251";"21990";"3133";"4471";"6304";"4441";"6286";"3944";"3293";NA;"4063";"4634";"2964";"3775";"3835";"3101";NA;"2929";"2746";"6586";"3255";"3900";"5793";NA;"2810";"5017";"3092";"6926";"3979";NA;"3406";"4503";"2303";NA;"4740";NA;"4145";NA;"3584";"3636";"7543";"3";"5";"13";"35";"55";"52";"66";"40";"46";"49";"10";"3";"12"
"18";"437";"5";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";26;"1";"4";"5";"5";"3";"4";"3";"2";"2";"4";"2";"2";"3";"4";"2";"3";"4";"4";"2";"2";"2";"2";"2";"4";"2";"1";"1";"2";"2";"3";"4";"4";"4";"2";"2";"4";"2";"4";"2";"4";"3";"3";"4";"4";"4";"2";"3";"3";"4";"2";"4";"4";"3";"2";"2";"4";"3";"2";"4";"3";"3";"4";"4828";"3476";"3701";"3128";"4624";"6322";"4636";"4017";NA;"2216";"7386";"4365";"4062";"5298";"2599";"6829";"3139";"3397";"3757";"3376";"3134";"1721";"3825";NA;"4467";"3478";"4139";"2711";"3240";"4118";"5287";"3376";"3948";"3667";"3049";"4770";"5153";"4343";"4275";NA;"5047";"3464";"2183";"3386";"3398";"4950";"4399";"2936";"3196";"2284";"4445";"2722";NA;"6030";NA;"4500";"4444";"6840";"4074";"5782";"2";"3";"10";"26";"44";"45";"40";"43";"37";"51";"17";"14";"12"
"19";"438";"6";"3";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";29;"1";"1";"1";"3";"2";"2";"1";"3";"3";"4";"2";"4";"5";"5";"1";"3";"2";"1";"2";"2";"3";"2";"2";"1";"1";"2";"3";"3";"1";"4";"4";"5";"2";"2";"1";"1";"1";"3";"2";"4";"3";"1";"3";"4";"3";"2";"3";"5";"1";"3";"5";"2";"2";"1";"1";"1";"3";"2";"2";"1";"3";"1";"2518";NA;"4553";"3351";NA;"2122";"3873";"5111";NA;NA;"3651";"1922";"2656";"3243";"3268";"3400";"3623";"1755";NA;"2626";"2396";"1508";"2494";"2783";"3075";"3648";"3351";"2288";"2532";"2226";"2897";"2138";"2242";"2726";"2583";"3062";"2631";"3248";"3207";"2805";NA;"2621";"2097";"2473";"2067";"2199";"2648";"3819";"3358";"2700";"2997";NA;"1727";"2308";"2665";"4157";"3055";"3469";"3266";"3563";"2";"2";"12";"50";"38";"31";"27";"28";"30";"32";"19";"10";"12"
"20";"440";"6";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";19;"1";"1";"2";"2";"2";"4";"1";"4";"4";"3";"3";"2";"4";"2";"5";"2";"2";"2";"2";"3";"3";"4";"1";"4";"5";"1";"3";"2";"3";"3";"3";"3";"2";"4";"2";"1";"2";"4";"4";"4";"4";"3";"4";"2";"3";"3";"2";"2";"4";"1";"1";"3";"2";"3";"5";"4";"2";"4";"2";"1";"1";"2";"10626";"34201";"5068";NA;NA;"5051";"3267";NA;NA;"4583";"4856";"7465";"8295";"3715";"2676";"6389";"5758";"6909";"4512";NA;NA;"2140";NA;"5543";NA;"4154";NA;NA;NA;"8056";"3081";"3952";"5297";NA;"3963";"3277";"5374";"6844";"12606";"4751";"4442";"3408";"4951";"3162";NA;"4333";"3603";"3366";"3039";NA;"12199";"4056";NA;"3787";"3698";"4299";"3986";"4783";"3034";"4287";"11";"5";"16";"45";"99";"59";"63";"56";"42";"51";"43";"22";"12"
"21";"441";"6";"2";"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";27;"1";"1";"2";"4";"4";"4";"1";"4";"2";"3";"4";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"2601";NA;NA;NA;NA;NA;NA;"497";"1181";"1301";"2902";"675";"436";"537";"585";"1330";"1072";"693";"1946";"1123";"1249";"444";"676";"714";"964";"575";"883";"1132";"735";"2303";"1647";"553";"796";"763";"873";"785";"744";"685";"1003";"2251";"1549";"1154";"1129";"1003";"1896";"517";"933";"765";"862";"3376";"1370";"694";"481";"1039";"845";"773";"883";"764";"765";"2116";"10";"20";"11";"524";"66";"14";"11";"11";"15";"11";"21";"18";"12"
"22";"442";"7";"1";NA;"1";"2";"1";"2";"1";"1";"1";NA;NA;NA;NA;NA;"1";26;"2";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"6";"16";"158";NA;NA;NA;NA;NA;NA;NA;NA;"4"
"23";"443";"7";"2";NA;"1";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";18;"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"2";"17";NA;NA;NA;NA;NA;NA;NA;NA;NA;"3"
"24";"444";"7";"3";"1";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";28;"1";"3";"3";"4";"3";"4";"4";"5";"4";"3";"3";"4";"4";"3";"3";"4";"3";"3";"5";"4";"3";"4";"4";"3";"3";"4";"4";"5";"4";"2";"3";"4";"4";"3";"2";"3";"3";"3";"4";"3";"4";"3";"3";"3";"4";"2";"3";"4";"4";"3";"3";"3";"3";"3";"4";"5";"3";"3";"4";"4";"4";"3";"1219";"1532";"954";"1057";"1855";"1032";"3304";"839";"1603";"863";"1687";"680";"785";"739";"803";"887";"878";"2401";"928";"918";"1535";"692";"683";"801";"805";"745";"943";"1282";"2569";"2691";"1682";"937";"2627";"1149";"793";"1039";"962";"2890";"1003";"772";"1815";"809";"997";"862";"751";"796";"659";"765";"2034";"750";"1525";"628";"1455";"773";"686";"2338";"986";"2226";"634";"776";"7";"4";"22";"26";"16";"12";"14";"16";"13";"13";"6";"17";"12"
"25";"446";"8";"2";"2";"1";"2";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";"1";42;"1";"3";"4";"4";"2";"4";"4";"5";"3";"5";"3";"3";"3";"1";"3";"2";"4";"4";"3";"3";"2";"3";"1";"4";"2";"1";"2";"3";"2";"2";"4";"1";"2";"1";"3";"3";"2";"4";"3";"4";"3";"2";"3";"2";"4";"2";"3";"3";"3";"2";"1";"4";"2";"2";"4";"4";"3";"2";"2";"2";"2";"1";"6506";"8372";"5850";"3017";"5497";"7535";"5835";"5015";"4080";"3534";"8983";"14584";"6615";"5235";"3614";"4550";"5018";"3782";"5250";"3681";"2948";"4132";"5255";"3441";"6239";"4847";"5652";"2719";NA;"5071";"5486";"3633";"3895";"4970";"3534";"5562";"5933";"3544";"10574";"3313";"5343";"2626";"4112";"3405";"2613";"4050";"8273";"4993";"3018";"7315";NA;"2581";"2918";"6081";"4599";"7288";"16719";"5529";"3915";"9550";"6";"3";"17";"49";"56";"61";"46";"51";"47";"68";"27";"6";"12"
"26";"448";"8";"3";"2";"1";"2";"1";"1";"1";"2";"1";"1";"1";"1";"2";"1";"1";25;"1";"1";"2";"5";"1";"4";"4";"1";"1";"4";"2";"5";"5";"1";"2";"2";"2";"5";"5";"4";"4";"2";"1";"2";"2";"2";"2";"1";"1";"4";"5";"2";"5";"3";"5";"4";"1";"3";"3";"5";"2";"1";"2";"3";"5";"3";"4";"5";"5";"1";"4";"3";"5";"5";"1";"2";"4";"3";"2";"1";"1";"1";"6108";"2971";"2650";"2241";"2295";"7689";"2628";"2212";"3030";"1486";"5886";"2845";NA;"1691";"1966";"2917";"3347";"1334";"2736";"2272";"2155";"2930";"2150";"6332";"1738";NA;"6083";"1789";"1887";"3060";"13594";"1658";"27285";"24224";"6606";NA;"4010";"5064";"4432";"2554";"4361";NA;"2218";"2626";NA;"964";"3472";"2186";"3014";"2042";"5015";"1556";"2040";"3309";NA;"6903";"2728";"4410";"5308";"2996";"4";"2";"11";"48";"34";"28";"35";"96";"31";"39";"23";"12";"12"
