"pct_careless","rep_id","z_threshold","mcc","sensitivity","specificity"
0.1,2,1.6,0.639000107481594,0.434,1
0.1,2,1.7,0.643603869956198,0.44,1
0.1,2,1.8,0.654242068233645,0.454,1
0.1,2,1.9,0.663249054082037,0.466,1
0.1,2,2,0.663249054082037,0.466,1
0.1,2,2.1,0.669198774498316,0.474,1
0.1,2,2.2,0.670679508990639,0.476,1
0.1,2,2.3,0.679509049505572,0.488,1
0.1,2,2.4,0.685344416842342,0.496,1
0.1,2,2.5,0.692583115151141,0.506,1
0.1,2,2.6,0.698330891594807,0.514,1
0.1,2,2.7,0.704041328948588,0.522,1
0.1,2,2.8,0.708300211202276,0.528,1
0.1,2,2.9,0.713808407304775,0.538,0.999777777777778
0.1,2,3,0.719424076024608,0.546,0.999777777777778
0.1,3,0.5,0.531204497177671,0.304,1
0.1,3,0.6,0.536587082023438,0.31,1
0.1,3,0.7,0.545454545454545,0.32,1
0.1,3,0.8,0.564534785208948,0.342,1
0.1,3,0.9,0.574710665605114,0.354,1
0.1,3,1,0.58639050179723,0.368,1
0.1,3,1.1,0.597875214657652,0.382,1
0.1,3,1.2,0.609175981902012,0.396,1
0.1,3,1.3,0.618723699114992,0.408,1
0.1,3,1.4,0.628149683636147,0.42,1
0.1,3,1.5,0.642072309036431,0.438,1
0.1,3,1.6,0.654242068233645,0.454,1
0.1,3,1.7,0.658758122645136,0.46,1
0.1,3,1.8,0.663249054082037,0.466,1
0.1,3,1.9,0.669198774498316,0.474,1
0.1,3,2,0.676576203686402,0.484,1
0.1,3,2.1,0.683889324098748,0.494,1
0.1,3,2.2,0.692583115151141,0.506,1
0.1,3,2.3,0.704041328948588,0.522,1
0.1,3,2.4,0.711128273979619,0.532,1
0.1,3,2.5,0.718160051218976,0.542,1
0.1,3,2.6,0.720957687598211,0.546,1
0.1,3,2.7,0.722353327148487,0.548,1
0.1,3,2.8,0.727914987286734,0.556,1
0.1,3,2.9,0.730553948640592,0.562,0.999777777777778
0.1,3,3,0.734577603820508,0.57,0.999555555555556
0.2,1,0.5,0.502597970938244,0.297,1
0.2,1,0.6,0.510645096909654,0.306,1
0.2,1,0.7,0.518597567001106,0.315,1
0.2,1,0.8,0.530790340703962,0.329,1
0.2,1,0.9,0.54107918841007,0.341,1
0.2,1,1,0.552906012992665,0.355,1
0.2,1,1.1,0.566204556599104,0.371,1
0.2,1,1.2,0.574405384540511,0.381,1
0.2,1,1.3,0.582525605943222,0.391,1
0.2,1,1.4,0.590568769965991,0.401,1
0.2,1,1.5,0.599331216928506,0.412,1
0.2,1,1.6,0.606437043515992,0.421,1
0.2,1,1.7,0.615826591717462,0.433,1
0.2,1,1.8,0.628202627326569,0.449,1
0.2,1,1.9,0.635095696232437,0.458,1
0.2,1,2,0.641941682865592,0.467,1
0.2,1,2.1,0.648742236818297,0.476,1
0.2,1,2.2,0.656994614386294,0.487,1
0.2,1,2.3,0.662956751016302,0.495,1
0.2,1,2.4,0.667407160804373,0.501,1
0.2,1,2.5,0.673313557518279,0.509,1
0.2,1,2.6,0.676255240267206,0.513,1
0.2,1,2.7,0.681385143869247,0.52,1
0.2,1,2.8,0.688674764056858,0.53,1
0.2,1,2.9,0.693585364642969,0.538,0.99975
0.2,1,3,0.701525042380401,0.549,0.99975
0.2,2,0.5,0.522102793173535,0.319,1
0.2,2,0.6,0.531653313967548,0.33,1
0.2,2,0.7,0.540227261032088,0.34,1
0.2,2,0.8,0.555416709156283,0.358,1
0.2,2,0.9,0.566204556599104,0.371,1
0.2,2,1,0.576035760447451,0.383,1
0.2,2,1.1,0.579286957888273,0.387,1
0.2,2,1.2,0.588163709630558,0.398,1
0.2,2,1.3,0.592967196171443,0.404,1
0.2,2,1.4,0.600915132899173,0.414,1
0.2,2,1.5,0.614268226548888,0.431,1
0.2,2,1.6,0.621260744197396,0.44,1
0.2,2,1.7,0.624352166444255,0.444,1
0.2,2,1.8,0.634332155682822,0.457,1
0.2,2,1.9,0.639664815225711,0.464,1
0.2,2,2,0.641183290761015,0.466,1
0.2,2,2.1,0.648742236818297,0.476,1
0.2,2,2.2,0.655498930802713,0.485,1
0.2,2,2.3,0.662213265672121,0.494,1
0.2,2,2.4,0.667407160804373,0.501,1
0.2,2,2.5,0.674049689867001,0.51,1
0.2,2,2.6,0.679014349650828,0.518,0.99975
0.2,2,2.7,0.686322231202262,0.528,0.99975
0.2,2,2.8,0.693585364642969,0.538,0.99975
0.2,2,2.9,0.699364734672939,0.546,0.99975
0.2,2,3,0.703681619377844,0.552,0.99975
0.2,3,0.5,0.49536163136532,0.289,1
0.2,3,0.6,0.515956978919331,0.312,1
0.2,3,0.7,0.521228135998542,0.318,1
0.2,3,0.8,0.534236076215032,0.333,1
0.2,3,0.9,0.548703261168734,0.35,1
0.2,3,1,0.55791933239629,0.361,1
0.2,3,1.1,0.571134932743151,0.377,1
0.2,3,1.2,0.581717108160184,0.39,1
0.2,3,1.3,0.590568769965991,0.401,1
0.2,3,1.4,0.602496261565745,0.416,1
0.2,3,1.5,0.608793372688444,0.424,1
0.2,3,1.6,0.613488072320603,0.43,1
0.2,3,1.7,0.620486332446144,0.439,1
0.2,3,1.8,0.627433750064947,0.448,1
