"nF","ipf","total_items","pct","rep","mcc_std","z_std","mcc_wt","z_wt","mcc_efaD","z_efaD","nF_detected","n_pairs_D"
8,3,24,0.1,4,0.130744090092123,2,0.0962583811018168,1.3,0.121589534023348,1.5,4,70
10,3,30,0.1,4,0.135400327519161,0.7,0.244989471753056,0.9,0.181461611768062,1,6,65
15,3,45,0.1,4,0.17937941173235,0.3,0.198618007689446,0.1,0.187737741143701,1.3,9,95
20,3,60,0.1,4,0.217617666393648,0.1,0.19628472120485,0.5,0.229567526614898,0.7,13,115
25,3,75,0.1,4,0.280109271688868,0.7,0.261488180184245,0.7,0.335484377390339,0.6,13,204
30,3,90,0.1,4,0.216953381464113,1.5,0.201916909273078,0.3,0.288973815621004,1,16,239
4,6,24,0.1,4,0.11315752819643,2.6,0.277868423778652,0.4,0.266667189492764,0.2,4,60
6,6,36,0.1,4,0.0982946374365981,2.8,0.193544196323975,1.1,0.248925650379405,0.5,5,114
8,6,48,0.1,4,0.200785566927188,0.1,0.224230527825581,1.4,0.227835580867107,1.1,6,176
10,6,60,0.1,4,0.133630620956212,0.5,0.2727959784275,0.6,0.191948984268666,1.6,6,287
15,6,90,0.1,4,0.335484377390339,0.1,0.270310252950645,0.7,0.348372040321964,1.1,10,397
20,6,120,0.1,4,0.348046470275086,0.3,0.340275279452825,2.1,0.464822816125926,0.1,16,417
25,6,150,0.1,4,0.420200771969556,0.2,0.43440870860315,2.3,0.59110710329516,0.7,19,552
30,6,180,0.1,4,0.534522483824849,0.9,0.251869883944942,1.1,0.407927113252268,0.6,20,756
4,10,40,0.1,4,0.175228256455587,1.1,0.225280519650379,0.7,0.197161880422637,0.9,3,263
6,10,60,0.1,4,0.196184353176809,0.9,0.34325501905455,0.8,0.375717308627385,0.3,4,457
8,10,80,0.1,4,0.284052365422086,0.8,0.278953739760377,1.1,0.244670767271466,1.4,6,588
10,10,100,0.1,4,0.297233885805958,0.6,0.348807241766432,0.3,0.382359556450936,0.2,6,828
15,10,150,0.1,4,0.502518907629606,2.1,0.333333333333333,1.9,0.460329452358808,0.9,10,1091
20,10,200,0.1,4,0.592952032910869,2.2,0.397876470110028,3,0.623609564462324,1.5,15,1324
