"nFactors","total_items","rep_id","z_threshold","mcc","sensitivity","specificity","tp","tn","fp","fn"
2,16,6,1.1,0.0736067704518188,0.933333333333333,0.125,56,30,210,4
2,16,6,1.3,0.0507608480787256,0.933333333333333,0.104166666666667,56,25,215,4
2,16,6,1.5,0.0552907335580864,0.95,0.0875,57,21,219,3
2,16,6,1.7,0.0445043121822695,0.966666666666667,0.0583333333333333,58,14,226,2
2,16,6,1.9,0.046423834544263,0.983333333333333,0.0375,59,9,231,1
2,16,6,2.1,0.022080920281276,0.983333333333333,0.025,59,6,234,1
2,16,6,2.3,0.0119047619047619,0.983333333333333,0.0208333333333333,59,5,235,1
2,16,6,2.5,-0.0145309548429774,0.983333333333333,0.0125,59,3,237,1
2,16,6,2.7,0.028915746598312,1,0.00416666666666667,60,1,239,0
2,16,6,2.9,0.028915746598312,1,0.00416666666666667,60,1,239,0
2,16,7,0.1,0.140528758321116,0.683333333333333,0.491666666666667,41,118,122,19
2,16,7,0.3,0.142504762356074,0.733333333333333,0.441666666666667,44,106,134,16
2,16,7,0.5,0.136580879828378,0.783333333333333,0.379166666666667,47,91,149,13
2,16,7,0.7,0.169880011265083,0.85,0.345833333333333,51,83,157,9
2,16,7,0.9,0.160258657619581,0.883333333333333,0.291666666666667,53,70,170,7
2,16,7,1.1,0.171174871736467,0.916666666666667,0.2625,55,63,177,5
2,16,7,1.3,0.157192262096496,0.933333333333333,0.220833333333333,56,53,187,4
2,16,7,1.5,0.144210715892613,0.933333333333333,0.204166666666667,56,49,191,4
2,16,7,1.7,0.153290069323752,0.95,0.191666666666667,57,46,194,3
2,16,7,1.9,0.129687843983453,0.95,0.1625,57,39,201,3
