"nFactors","total_items","z_threshold","mean_mcc","sd_mcc","mean_sens","mean_spec","n_reps"
2,16,0.1,0.0488242057061851,0.0483737319197843,0.655,0.405416666666667,10
2,16,0.3,0.0589835197893713,0.0417323408787157,0.723333333333333,0.3475,10
2,16,0.5,0.04163509796179,0.045520108634988,0.768333333333333,0.280416666666667,10
2,16,0.7,0.0552571902557373,0.0525946772859237,0.823333333333333,0.236666666666667,10
2,16,0.9,0.0574181579597764,0.049920175585899,0.865,0.193333333333333,10
2,16,1.1,0.0613365608045138,0.0579338624554634,0.9,0.15875,10
2,16,1.3,0.0734072638668619,0.0534950990322444,0.931666666666667,0.132916666666667,10
2,16,1.5,0.0806134685148738,0.0671480911183607,0.953333333333333,0.114166666666667,10
2,16,1.7,0.0869201464911514,0.0508412364239828,0.965,0.1,10
2,16,1.9,0.0733482007331291,0.0513687595875853,0.968333333333333,0.0841666666666667,10
2,16,2.1,0.0663211533605911,0.0564219620138084,0.973333333333333,0.0725,10
2,16,2.3,0.0529519910216482,0.052647133524891,0.975,0.0591666666666667,10
2,16,2.5,0.0517942711115697,0.0567148700124612,0.981666666666667,0.0508333333333333,10
2,16,2.7,0.0564473560002196,0.049875018987044,0.988333333333333,0.0429166666666667,10
2,16,2.9,0.0481987967434916,0.0597804672945031,0.99,0.0370833333333333,10
3,19,0.1,0.0584877785897929,0.0852957156354057,0.661666666666667,0.410833333333333,10
3,19,0.3,0.0532233256872941,0.0973680712054999,0.715,0.350416666666667,10
3,19,0.5,0.0550427202401495,0.101150168507911,0.775,0.290833333333333,10
3,19,0.7,0.0594610384401812,0.0930149137300476,0.825,0.242916666666667,10
3,19,0.9,0.0630141421598128,0.101171910577102,0.861666666666667,0.2075,10
3,19,1.1,0.064715363739624,0.103765657680176,0.9,0.167083333333333,10
3,19,1.3,0.0610634515229907,0.0974154952331562,0.921666666666667,0.137916666666667,10
3,19,1.5,0.0790594490466114,0.0877022743809153,0.951666666666667,0.116666666666667,10
