dataset,J,n_att,n_car,rc_d_att,rc_d_car,rc_diff,ls_d_att,ls_d_car,ls_diff
kay_s2,363,666,35,1.3073,-0.0101,-1.3174,-0.0811,-3.1143,-3.0332
warning300,301,600,212,0.5158,0.0696,-0.4462,-0.0467,-0.3585,-0.3118
kay_s1,250,356,144,0.5997,0.3501,-0.2496,4.4944,4.1458,-0.3485
opsy_16pf,163,3906,26,0.5651,0.4918,-0.0733,0.3405,0.1923,-0.1482
smarvus,141,3047,365,-0.2637,1.5659,1.8296,0.6383,-1.2932,-1.9315
kay_s6,67,355,207,0.3286,-0.1833,-0.5119,0.3296,-0.0628,-0.3924
kay_s5,62,574,55,-0.5412,-0.8353,-0.2940,2.8833,3.0000,0.1167
mastroianni22,100,975,29,4.3183,4.7889,0.4706,0.2256,0.1379,-0.0877
