index,mean_auc,mean_mcc_auto,mean_flag_share,n_abstain
ens,0.7070,0.1904,0.1365,0
rc,0.6374,0.1111,0.0396,3
PT,0.7203,0.1690,0.1751,1
Mahalanobis,0.4873,0.0164,0.1312,0
IRV,0.6489,0.1321,0.0330,1
LongString,0.5815,0.0972,0.2869,0
PsychSyn,0.6557,0.1075,0.1486,1
