study,true_rate,q,delta0_pp,delta1_pp,purity_lo,purity_hi,Delta_true
Study3_J180,0.1500,0.2,3.943,-4.367,1.000,0.750,22.956
Study3_J180,0.1500,0.3,3.062,-9.424,1.000,0.500,22.956
Study3_J180,0.2000,0.05,5.898,11.591,1.000,1.000,14.179
Study3_J180,0.2000,0.1,4.786,5.484,1.000,1.000,14.179
Study3_J180,0.2000,0.2,3.519,0.172,1.000,0.925,14.179
Study3_J180,0.2000,0.3,2.769,-3.272,1.000,0.650,14.179
Study3_J180,0.2500,0.05,4.065,32.421,1.000,1.000,21.011
Study3_J180,0.2500,0.1,3.392,15.278,1.000,1.000,21.011
Study3_J180,0.2500,0.2,2.644,3.229,1.000,1.000,21.011
Study3_J180,0.2500,0.3,2.087,-2.789,1.000,0.833,21.011
Study3_J180,0.3000,0.05,3.998,34.488,1.000,1.000,17.956
Study3_J180,0.3000,0.1,3.353,16.684,1.000,1.000,17.956
Study3_J180,0.3000,0.2,2.496,5.272,1.000,1.000,17.956
Study3_J180,0.3000,0.3,1.953,0.053,1.000,0.967,17.956
Study3_J180,0.3500,0.05,3.865,17.862,1.000,1.000,11.743
Study3_J180,0.3500,0.1,3.067,10.532,1.000,1.000,11.743
Study3_J180,0.3500,0.2,2.308,4.408,1.000,1.000,11.743
Study3_J180,0.3500,0.3,1.744,1.327,0.992,1.000,11.743
Study3_J180,0.4000,0.05,2.598,53.386,1.000,1.000,15.977
Study3_J180,0.4000,0.1,2.177,27.418,1.000,1.000,15.977
Study3_J180,0.4000,0.2,1.653,10.321,1.000,1.000,15.977
Study3_J180,0.4000,0.3,1.214,3.818,1.000,1.000,15.977
Study3_J180,0.4500,0.05,2.958,42.630,1.000,1.000,12.991
Study3_J180,0.4500,0.1,2.511,23.103,1.000,1.000,12.991
Study3_J180,0.4500,0.2,1.827,9.450,1.000,1.000,12.991
Study3_J180,0.4500,0.3,1.255,4.172,1.000,1.000,12.991
