eta
2.7520173995
5.7722037825
3.4368920660
0.7552728950
4.1720726901
-1.2719232569
-2.2562466510
1.2220406900
1.3293907370
-1.7757379815
-3.4057141425
-2.2115694186
3.3992594718
5.0500261998
4.0308329682
-2.7341565724
66.7497544627
62.7098121055
1.5754135749
-3.2661100707
-2.5915327865
-4.3100311644
63.1875842959
2.6642669367
97.6593232564
66.3972427167
4.6416494287
-3.5508843229
5.2802597133
-3.8517413473
12.0897834515
-2.3061358233
-2.1357883087
-3.0007034478
-2.3718167202
4.6248288630
-2.8320568826
-3.5422547415
-2.0759507755
-2.5274919102
-0.9211147573
15.3634618401
4.0337164766
6.1307655310
-1.5920367323
1.7446918196
-5.4813576299
-0.2405374335
-2.5752809642
6.4667599632
8.6786048784
-2.8203489745
-3.5854987899
-3.7809055822
5.7082921810
7.2888491954
0.8772111158
4.0965794075
66.7497544627
5.7157548532
-1.4930788248
-1.2084779788
1.9647338572
66.3972427167
1.2860251434
-3.4398130996
9.7273254047
-4.6298571550
2.6473921272
-3.0018041108
-2.7105935657
2.7944201852
1.9743540379
4.3243872956
1.2252811308
-4.9604609851
-3.9540388048
-1.4039079068
-4.5295103841
-2.2763573780
4.5253714451
-0.9421340880
-3.1423574883
-3.1124945416
3.9758771679
6.4656139305
-1.7486437506
-5.4033259231
-0.4250826321
-4.1613413999
-1.3835571780
-2.4039792589
0.3564637800
-2.9006098215
5.8320050392
1.1430021316
-0.7671122623
7.2311845805
8.9807788767
-3.0510181293
-0.4610428461
1.3192600947
9.7446028522
-3.3533482333
-2.8629553645
-4.9455382851
-4.1818584162
3.5703574659
12.3449288147
8.8798691566
2.8277031230
44.4014433845
4.1618416366
1.6269243637
3.2488140250
-0.6894414205
1.6306385127
-2.5271570620
44.6898686574
-3.1287497274
66.7497544627
-0.4692752984
2.6384525969
1.3792849255
-0.9157671376
3.0480651948
-3.2846986783
-4.3520291374
6.2642886774
5.2801894334
-5.8253985976
2.0362464638
4.7030163200
3.1968523160
1.9788844661
37.3736463301
1.1439206431
43.1308740773
0.5916215250
2.8219826936
-3.6535556288
-3.7327659830
7.4818685125
2.6021370292
1.3484629086
8.4246011125
-2.9846719772
-5.9913728081
-2.0999324154
-6.4098025756
-3.6456144762
0.3807481909
7.5112508029
0.3916712613
-0.2223274329
1.5072889817
9.8123664569
