rr,longstring,person_total,irv,d2,eta
-0.327955,0.000000,0.169679,-0.473337,-0.398857,-0.767112
0.854435,2.697963,1.073452,-1.247326,-0.622401,7.231185
1.255972,2.697963,1.515983,-0.343358,3.103134,8.980779
-0.451988,-0.674491,-0.581190,0.563121,0.456453,-3.051018
0.654573,-1.348982,-0.313581,-0.875993,-0.745250,-0.461043
0.048920,0.000000,0.892417,1.478802,2.079342,1.319260
1.290052,3.372454,1.387107,-2.752633,-1.598110,9.744603
-1.063160,-1.348982,0.970924,1.538764,2.601471,-3.353348
-0.674491,0.000000,-0.617649,-0.476942,-0.348129,-2.862955
-0.757237,-0.674491,-1.308190,0.443608,-0.362336,-4.945538
-0.692914,-0.674491,-0.902807,0.477185,0.060915,-4.181858
-0.082595,2.697963,0.332789,1.442201,2.529360,3.570357
0.899938,6.744908,0.971587,-2.049407,-1.568588,12.344929
0.726671,3.372454,1.866442,-0.258235,1.067260,8.879869
0.750741,-0.674491,1.185885,1.613567,2.266468,2.827703
-0.847797,37.096992,-0.153262,-2.954755,-1.967046,44.401443
0.670144,0.674491,1.078790,0.908559,1.741902,4.161842
-0.762641,1.348982,1.473306,0.763333,2.712517,1.626924
1.055885,-0.674491,0.893566,-0.017198,0.463682,3.248814
-0.702539,2.697963,-1.428881,-0.234845,-0.466081,-0.689441
1.002233,-0.674491,-0.123495,-1.112126,-1.063885,1.630639
-0.434088,0.000000,-0.845157,-0.273111,-0.638458,-2.527157
-1.835949,37.096992,1.936533,-2.225002,2.419678,44.689869
-0.872095,0.000000,-0.423571,0.671436,0.586269,-3.128750
0.698103,50.586807,0.509237,-3.503423,-2.081460,66.749754
-0.172548,0.674491,-0.513719,0.005336,-0.093811,-0.469275
0.325291,0.674491,0.684351,-1.395940,-0.903041,2.638453
0.377358,0.674491,-0.286522,0.714318,1.006255,1.379285
0.009774,-1.348982,0.605200,1.380130,1.931345,-0.915767
1.226238,-0.674491,0.428793,-1.225086,-1.003055,3.048065
-0.304570,-1.348982,-0.432668,0.353666,0.274988,-3.284699
-0.502847,-1.348982,-0.791921,0.688127,0.272428,-4.352029
-0.094387,5.395926,-0.149439,1.002932,2.964044,6.264289
0.677271,1.348982,1.246783,0.629426,1.239092,5.280189
-0.830287,-1.348982,-1.185059,0.591527,0.107520,-5.825399
0.185856,2.023472,-0.650039,1.459358,2.143354,2.036246
0.243048,3.372454,-0.098601,-1.432609,-1.138987,4.703016
-1.148191,5.395926,-0.256134,-0.691694,-0.639721,3.196852
0.592669,0.000000,0.308713,-0.826513,-0.562459,1.978884
-0.273265,30.352084,-0.193033,-2.185258,-1.706981,37.373646
0.310357,0.000000,0.270993,-0.097442,0.134856,1.143921
-1.266835,37.096992,-0.230857,-2.617688,0.219732,43.130874
-0.521494,0.000000,1.480065,1.846250,3.020259,0.591622
0.865753,0.000000,0.369713,-0.340513,-0.316751,2.821983
-0.815790,0.000000,-0.894412,0.395722,-0.002708,-3.653556
-0.214410,-1.348982,-0.915173,0.373740,0.265597,-3.732766
0.367198,4.721435,0.402312,0.016243,0.000000,7.481869
1.143638,-1.348982,0.870448,0.413279,0.671361,2.602137
0.383381,-0.674491,0.865048,0.533072,1.085090,1.348463
0.175565,6.070417,0.236783,-0.584444,-0.462605,8.424601
-0.019209,-0.674491,-1.363139,-0.292857,-0.915836,-2.984672
-0.983109,-1.348982,-1.007573,0.050718,-0.501126,-5.991373
-0.338374,0.000000,-0.732631,0.139715,-0.085702,-2.099932
-0.974349,-1.348982,-1.313861,0.262870,-0.414376,-6.409803
-0.894666,0.000000,-0.738037,0.364764,0.078141,-3.645614
0.442538,-1.348982,0.674491,1.049953,1.242243,0.380748
0.050694,6.070417,-0.156341,-0.466635,-0.395693,7.511251
0.499822,-0.674491,-0.019737,0.674491,1.105541,0.391671
0.452243,-0.674491,-0.353579,0.981508,1.219161,-0.222327
-0.430397,2.023472,0.162771,-0.429188,-0.458473,1.507289
1.522763,2.697963,1.581056,-2.014710,-1.231627,9.812366
