variant,weights,rate,mcc,precision,recall,pi_hat,pi_bias
V2 global mode, central-quantile scale,sim,0.1,0.7359,0.6815,0.8625,0.2287,0.1287
V2 global mode, central-quantile scale,sim,0.15,0.7533,0.7910,0.7903,0.2132,0.0632
V2 global mode, central-quantile scale,sim,0.2,0.7633,0.8742,0.7472,0.2193,0.0193
V2 global mode, central-quantile scale,sim,0.25,0.7557,0.9169,0.7116,0.2445,-0.0055
V2 global mode, central-quantile scale,sim,0.3,0.7298,0.9827,0.6350,0.2522,-0.0478
V2 global mode, central-quantile scale,sim,0.4,0.5322,1.0000,0.3989,0.2865,-0.1135
V2 global mode, central-quantile scale,sim,0.5,0.3644,1.0000,0.2348,0.3174,-0.1826
V3 global mode, max(left, central),sim,0.05,0.5815,0.4337,0.8625,0.2259,0.1759
V3 global mode, max(left, central),sim,0.1,0.7359,0.6815,0.8625,0.2287,0.1287
V3 global mode, max(left, central),sim,0.15,0.7491,0.8109,0.7681,0.2074,0.0574
V3 global mode, max(left, central),sim,0.2,0.7601,0.8779,0.7398,0.2164,0.0164
V3 global mode, max(left, central),sim,0.25,0.7546,0.9182,0.7087,0.2440,-0.0060
V3 global mode, max(left, central),sim,0.3,0.7298,0.9827,0.6350,0.2522,-0.0478
V3 global mode, max(left, central),sim,0.4,0.5322,1.0000,0.3989,0.2865,-0.1135
V3 global mode, max(left, central),sim,0.5,0.3644,1.0000,0.2348,0.3174,-0.1826
V4 global mode, central below 30% else left,sim,0.05,0.4624,0.2944,0.9250,0.3204,0.2704
V4 global mode, central below 30% else left,sim,0.1,0.6122,0.4969,0.9167,0.3201,0.2201
V4 global mode, central below 30% else left,sim,0.15,0.6904,0.6517,0.8681,0.2881,0.1381
V4 global mode, central below 30% else left,sim,0.2,0.7575,0.8065,0.8167,0.2740,0.0740
V4 global mode, central below 30% else left,sim,0.25,0.7839,0.8644,0.8123,0.2930,0.0430
V4 global mode, central below 30% else left,sim,0.3,0.7855,0.9278,0.7683,0.3081,0.0081
V4 global mode, central below 30% else left,sim,0.4,0.7633,0.9587,0.7422,0.3768,-0.0232
V4 global mode, central below 30% else left,sim,0.5,0.7379,0.9790,0.7281,0.4642,-0.0358
V5 global mode, adaptive upper quantile,sim,0.05,0.5733,0.4234,0.8625,0.2284,0.1784
V5 global mode, adaptive upper quantile,sim,0.1,0.7324,0.6767,0.8625,0.2277,0.1277
V5 global mode, adaptive upper quantile,sim,0.15,0.7527,0.7866,0.7944,0.2158,0.0658
V5 global mode, adaptive upper quantile,sim,0.2,0.7639,0.8743,0.7481,0.2200,0.0200
V5 global mode, adaptive upper quantile,sim,0.25,0.7561,0.9167,0.7123,0.2443,-0.0057
V5 global mode, adaptive upper quantile,sim,0.3,0.7307,0.9802,0.6383,0.2530,-0.0470
V5 global mode, adaptive upper quantile,sim,0.4,0.5534,1.0000,0.4262,0.2931,-0.1069
V5 global mode, adaptive upper quantile,sim,0.5,0.4286,1.0000,0.3119,0.3519,-0.1481
V0 shipped (first-local mode, left MAD),shipped,CLEAN,,,,0.0000,0.0000
V0 shipped (first-local mode, left MAD),sim,CLEAN,,,,0.0008,0.0420
V1 global mode, left MAD,shipped,CLEAN,,,,0.0000,0.0000
V1 global mode, left MAD,sim,CLEAN,,,,0.0008,0.0420
V2 global mode, central-quantile scale,shipped,CLEAN,,,,0.0000,0.0000
V2 global mode, central-quantile scale,sim,CLEAN,,,,0.0008,0.0360
V3 global mode, max(left, central),shipped,CLEAN,,,,0.0000,0.0000
V3 global mode, max(left, central),sim,CLEAN,,,,0.0007,0.0340
V4 global mode, central below 30% else left,shipped,CLEAN,,,,0.0000,0.0000
V4 global mode, central below 30% else left,sim,CLEAN,,,,0.0008,0.0360
V5 global mode, adaptive upper quantile,shipped,CLEAN,,,,0.0000,0.0000
V5 global mode, adaptive upper quantile,sim,CLEAN,,,,0.0008,0.0360
