dataset,n,J,rc_first,rc_second,pos_delta,dz,rand_delta_mean,rand_delta_sd,excess,ls_first,ls_second,ls_pos_delta,ls_rand_delta,ls_excess
kay_s2,701,363,6.5943,7.8358,1.2415,0.4378,0.1943,1.3145,1.0472,9.960,9.728,-0.233,-0.062,-0.170
warning300,812,301,-0.1766,0.2227,0.3993,0.2158,-0.0111,0.4958,0.4104,7.914,7.786,-0.128,0.091,-0.219
kay_s1,500,250,4.4140,4.9418,0.5278,0.1168,0.1081,0.5096,0.4197,7.754,12.148,4.394,0.077,4.317
opsy_16pf,2500,163,3.6043,3.9596,0.3553,0.1266,0.0547,0.3277,0.3005,5.826,6.184,0.358,0.046,0.312
smarvus,2500,141,6.5301,6.6121,0.0820,0.0208,0.3338,0.8313,-0.2518,7.677,7.993,0.316,-0.190,0.506
kay_s6,562,67,-0.1738,-0.0338,0.1400,0.0983,-0.0846,0.2583,0.2246,5.327,5.512,0.185,0.031,0.154
kay_s5,629,62,0.6246,0.0576,-0.5670,-0.2473,0.1901,0.8835,-0.7571,4.095,6.989,2.893,0.079,2.815
mastroianni22,1004,100,0.2005,4.5324,4.3319,2.0141,0.3401,1.9729,3.9918,1.961,2.184,0.223,0.046,0.177
study1,157,109,2.0796,2.5687,0.4891,0.1531,0.2534,0.2988,0.2357,8.465,6.255,-2.210,-0.513,-1.697
