dataset,J,n,pi_first,pi_second,flag_first,flag_second,to_flag,from_flag,asym,auc_first,auc_second,rand_asym_mean
kay_s2,363,701,0.1769,0.1612,0.1769,0.1612,25,36,-11,0.8900,0.9162,14.80
warning300,301,812,0.0369,0.0296,0.0369,0.0296,5,11,-6,0.6819,0.7218,8.00
kay_s1,250,500,0.2340,0.1000,0.2340,0.1000,12,79,-67,0.5946,0.5772,-20.40
opsy_16pf,163,2949,0.0000,0.0210,0.0000,0.0210,62,0,62,0.6298,0.6598,46.40
smarvus,141,2559,0.0930,0.1168,0.0930,0.1168,166,105,61,0.8362,0.8089,6.80
kay_s6,67,562,0.0516,0.0409,0.0516,0.0409,0,6,-6,0.6113,0.6348,6.80
kay_s5,62,629,0.0032,0.0302,0.0032,0.0302,18,1,17,0.6347,0.6191,7.80
mastroianni22,100,1004,0.0000,0.3028,0.0000,0.3028,304,0,304,0.6840,0.4042,-84.40
