scale
2
0
1
4
6
2
0
1
4
6
2
0
1
4
6
2
0
1
4
6
2
0
1
4
6
2
0
1
4
6
2
0
1
4
6
2
0
1
4
6
2
0
1
4
6
2
0
1
4
6
2
0
1
4
6
2
0
1
4
6
7
5
7
5
7
5
5
5
7
7
5
7
5
7
5
7
7
5
7
5
9
9
9
9
9
9
9
9
9
9
3
3
3
3
3
8
8
8
8
-1
-1
-1
-1
-1
-1
-1
-1
-1
-1
